# tag=combo2
# g_delta_factor=2.5000
# m_delta_mev=500.0
# lambda_3_factor=3.0000
# lambda_delta_factor=0.2500
# source=tov_resume_from_eos_file
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm3 radius_km mass_msun stable_flag
5.183517e-09 3.826528e+06 4.980185e-04 3.000000e+01 4.159537e-02 1
5.598199e-09 3.918532e+06 5.099928e-04 3.000000e+01 4.239860e-02 1
6.046054e-09 4.018075e+06 5.229482e-04 3.000000e+01 4.325920e-02 1
6.529739e-09 4.125776e+06 5.369653e-04 3.000000e+01 4.418064e-02 1
7.052118e-09 4.242301e+06 5.521310e-04 3.000000e+01 4.516647e-02 1
7.616287e-09 4.368371e+06 5.685388e-04 3.000000e+01 4.622034e-02 1
8.225590e-09 4.504757e+06 5.862893e-04 3.000000e+01 4.734594e-02 1
8.883638e-09 4.652289e+06 6.054905e-04 3.000000e+01 4.854702e-02 1
9.594329e-09 4.811854e+06 6.262576e-04 3.000000e+01 4.982731e-02 1
1.036187e-08 4.984397e+06 6.487139e-04 3.000000e+01 5.119056e-02 1
1.119082e-08 5.170921e+06 6.729899e-04 3.000000e+01 5.264042e-02 1
1.208609e-08 5.372488e+06 6.992236e-04 3.000000e+01 5.418049e-02 1
1.305298e-08 5.590211e+06 7.275599e-04 3.000000e+01 5.581419e-02 1
1.409722e-08 5.825247e+06 7.581496e-04 3.000000e+01 5.754482e-02 1
1.522499e-08 6.078788e+06 7.911477e-04 3.000000e+01 5.937546e-02 1
1.644299e-08 6.352045e+06 8.267118e-04 3.000000e+01 6.130898e-02 1
1.775843e-08 6.646221e+06 8.649986e-04 3.000000e+01 6.334800e-02 1
1.917911e-08 6.962484e+06 9.061598e-04 3.000000e+01 6.549494e-02 1
2.071344e-08 7.301916e+06 9.503365e-04 3.000000e+01 6.775202e-02 1
2.237051e-08 7.665460e+06 9.976514e-04 3.000000e+01 7.012134e-02 1
2.416015e-08 8.053838e+06 1.048198e-03 3.000000e+01 7.260503e-02 1
2.609296e-08 8.467444e+06 1.102029e-03 3.000000e+01 7.520537e-02 1
2.818040e-08 8.906214e+06 1.159134e-03 3.000000e+01 7.792511e-02 1
3.043483e-08 9.369438e+06 1.219422e-03 3.000000e+01 8.076779e-02 1
3.286962e-08 9.855561e+06 1.282691e-03 3.000000e+01 8.373827e-02 1
3.549919e-08 1.036316e+07 1.348754e-03 3.000000e+01 8.684288e-02 1
3.833912e-08 1.089190e+07 1.417569e-03 3.000000e+01 9.008839e-02 1
4.140625e-08 1.144148e+07 1.489096e-03 3.000000e+01 9.348159e-02 1
4.471875e-08 1.201155e+07 1.563290e-03 3.000000e+01 9.702957e-02 1
4.829625e-08 1.260181e+07 1.640112e-03 3.000000e+01 1.007398e-01 1
5.215995e-08 1.321212e+07 1.719543e-03 3.000000e+01 1.046199e-01 1
5.633275e-08 1.384268e+07 1.801610e-03 3.000000e+01 1.086781e-01 1
6.083937e-08 1.449428e+07 1.886415e-03 3.000000e+01 1.129219e-01 1
6.570652e-08 1.516866e+07 1.974185e-03 3.000000e+01 1.173585e-01 1
7.096304e-08 1.586899e+07 2.065333e-03 3.000000e+01 1.219933e-01 1
7.664009e-08 1.660054e+07 2.160542e-03 3.000000e+01 1.268287e-01 1
8.277129e-08 1.737156e+07 2.260889e-03 3.000000e+01 1.318625e-01 1
8.939300e-08 1.819415e+07 2.367949e-03 3.000000e+01 1.370849e-01 1
9.654444e-08 1.907790e+07 2.482968e-03 3.000000e+01 1.424794e-01 1
1.042680e-07 2.002717e+07 2.606515e-03 3.000000e+01 1.480289e-01 1
1.126094e-07 2.104629e+07 2.739152e-03 3.000000e+01 1.537183e-01 1
1.216182e-07 2.213973e+07 2.881463e-03 3.000000e+01 1.595341e-01 1
1.313476e-07 2.331214e+07 3.034050e-03 3.000000e+01 1.654642e-01 1
1.418555e-07 2.456828e+07 3.197535e-03 3.000000e+01 1.714975e-01 1
1.532039e-07 2.591298e+07 3.372547e-03 3.000000e+01 1.776244e-01 1
1.654602e-07 2.735115e+07 3.559723e-03 3.000000e+01 1.838359e-01 1
1.786970e-07 2.888762e+07 3.759693e-03 3.000000e+01 1.901240e-01 1
1.929928e-07 3.052611e+07 3.972941e-03 3.000000e+01 1.964819e-01 1
2.084322e-07 3.226352e+07 4.199062e-03 3.000000e+01 2.029063e-01 1
2.251068e-07 3.409033e+07 4.436820e-03 3.000000e+01 2.094022e-01 1
2.431153e-07 3.599025e+07 4.684093e-03 3.000000e+01 2.159846e-01 1
2.625645e-07 3.793782e+07 4.937567e-03 3.000000e+01 2.226822e-01 1
2.835697e-07 3.989536e+07 5.192338e-03 3.000000e+01 2.295416e-01 1
3.062553e-07 4.180900e+07 5.441396e-03 3.000000e+01 2.366340e-01 1
3.307557e-07 4.360364e+07 5.674966e-03 3.000000e+01 2.440660e-01 1
3.572162e-07 4.521364e+07 5.884507e-03 3.000000e+01 2.519898e-01 1
3.857935e-07 4.667025e+07 6.074083e-03 3.000000e+01 2.605677e-01 1
4.166569e-07 4.806259e+07 6.255294e-03 3.000000e+01 2.699222e-01 1
4.499895e-07 4.954233e+07 6.447880e-03 3.000000e+01 2.800936e-01 1
4.859886e-07 5.134790e+07 6.682875e-03 3.000000e+01 2.909755e-01 1
5.248677e-07 5.383649e+07 7.006762e-03 3.000000e+01 3.022349e-01 1
5.668571e-07 5.749480e+07 7.482887e-03 3.000000e+01 3.132585e-01 1
6.122057e-07 6.254035e+07 8.139560e-03 3.000000e+01 3.233212e-01 1
6.611822e-07 6.884299e+07 8.959841e-03 3.000000e+01 3.319870e-01 1
7.140768e-07 7.610299e+07 9.904723e-03 3.000000e+01 3.391774e-01 1
7.712029e-07 8.378924e+07 1.090508e-02 3.000000e+01 3.450809e-01 1
8.328991e-07 9.114709e+07 1.186270e-02 3.000000e+01 3.500553e-01 1
8.995311e-07 9.786213e+07 1.273665e-02 3.000000e+01 3.544937e-01 1
9.714935e-07 1.039392e+08 1.352758e-02 3.000000e+01 3.586967e-01 1
1.049213e-06 1.094633e+08 1.424653e-02 3.000000e+01 3.628886e-01 1
1.133150e-06 1.146347e+08 1.491958e-02 3.000000e+01 3.672347e-01 1
1.223802e-06 1.198190e+08 1.559432e-02 3.000000e+01 3.718331e-01 1
1.321706e-06 1.255424e+08 1.633921e-02 3.000000e+01 3.766836e-01 1
1.427443e-06 1.319774e+08 1.717671e-02 3.000000e+01 3.816988e-01 1
1.541638e-06 1.390179e+08 1.809303e-02 3.000000e+01 3.867883e-01 1
1.664969e-06 1.464666e+08 1.906247e-02 3.000000e+01 3.918965e-01 1
1.798167e-06 1.540019e+08 2.004318e-02 3.000000e+01 3.970215e-01 1
1.942020e-06 1.613650e+08 2.100148e-02 3.000000e+01 4.022252e-01 1
2.097382e-06 1.689056e+08 2.198289e-02 3.000000e+01 4.075710e-01 1
2.265172e-06 1.773281e+08 2.307907e-02 3.000000e+01 4.130390e-01 1
2.446386e-06 1.877048e+08 2.442958e-02 3.000000e+01 4.184746e-01 1
2.642097e-06 2.014758e+08 2.622186e-02 3.000000e+01 4.235559e-01 1
2.853465e-06 2.191466e+08 2.852169e-02 3.000000e+01 4.278898e-01 1
3.081742e-06 2.402317e+08 3.126589e-02 3.000000e+01 4.312346e-01 1
3.328281e-06 2.637315e+08 3.432437e-02 3.000000e+01 4.335486e-01 1
3.594544e-06 2.881678e+08 3.750473e-02 3.000000e+01 4.349387e-01 1
3.882107e-06 3.125567e+08 4.067891e-02 3.000000e+01 4.355735e-01 1
4.192676e-06 3.359221e+08 4.371990e-02 3.000000e+01 4.356159e-01 1
4.528090e-06 3.568825e+08 4.644788e-02 3.000000e+01 4.352171e-01 1
4.890337e-06 3.736698e+08 4.863273e-02 3.000000e+01 4.345288e-01 1
5.281564e-06 3.866307e+08 5.031957e-02 3.000000e+01 4.337220e-01 1
5.704089e-06 3.991922e+08 5.195444e-02 3.000000e+01 4.329699e-01 1
6.160416e-06 4.169519e+08 5.426585e-02 3.000000e+01 4.323803e-01 1
6.653249e-06 4.477013e+08 5.826785e-02 3.000000e+01 4.318864e-01 1
7.185509e-06 4.932904e+08 6.420122e-02 3.000000e+01 4.312265e-01 1
7.760350e-06 5.485649e+08 7.139513e-02 3.000000e+01 4.301727e-01 1
8.381178e-06 6.047176e+08 7.870335e-02 2.995000e+01 4.284771e-01 1
9.051672e-06 6.545333e+08 8.518681e-02 2.972000e+01 4.257326e-01 1
9.775806e-06 6.975362e+08 9.078359e-02 2.949000e+01 4.226432e-01 1
1.055787e-05 7.345327e+08 9.559864e-02 2.925000e+01 4.192316e-01 1
1.140250e-05 7.673963e+08 9.987581e-02 2.898000e+01 4.155006e-01 1
1.231470e-05 7.977876e+08 1.038312e-01 2.869000e+01 4.115713e-01 1
1.329988e-05 8.260513e+08 1.075097e-01 2.837000e+01 4.075064e-01 1
1.436387e-05 8.528146e+08 1.109929e-01 2.801000e+01 4.033846e-01 1
1.551298e-05 8.793026e+08 1.144403e-01 2.761000e+01 3.993365e-01 1
1.675401e-05 9.076104e+08 1.181245e-01 2.717000e+01 3.955064e-01 1
1.809433e-05 9.410121e+08 1.224717e-01 2.671000e+01 3.920871e-01 1
1.954188e-05 9.824562e+08 1.278656e-01 2.622000e+01 3.891320e-01 1
2.110523e-05 1.030075e+09 1.340632e-01 2.573000e+01 3.867208e-01 1
2.279365e-05 1.079550e+09 1.405023e-01 2.524000e+01 3.848064e-01 1
2.461714e-05 1.126871e+09 1.466611e-01 2.474000e+01 3.833438e-01 1
2.658651e-05 1.168594e+09 1.520913e-01 2.423000e+01 3.823774e-01 1
2.871344e-05 1.202136e+09 1.564568e-01 2.371000e+01 3.820365e-01 1
3.101051e-05 1.231498e+09 1.602782e-01 2.316000e+01 3.824836e-01 1
3.349135e-05 1.263418e+09 1.644325e-01 2.259000e+01 3.839324e-01 1
3.617066e-05 1.300003e+09 1.691941e-01 2.201000e+01 3.864970e-01 1
3.906431e-05 1.341034e+09 1.745341e-01 2.143000e+01 3.902086e-01 1
4.218946e-05 1.383701e+09 1.800873e-01 2.087000e+01 3.950843e-01 1
4.556461e-05 1.424349e+09 1.853775e-01 2.033000e+01 4.011580e-01 1
4.920978e-05 1.461561e+09 1.902206e-01 1.979000e+01 4.085096e-01 1
5.314657e-05 1.497867e+09 1.949458e-01 1.928000e+01 4.173238e-01 1
5.739829e-05 1.534215e+09 1.996764e-01 1.878000e+01 4.276109e-01 1
6.199015e-05 1.544854e+09 2.010611e-01 1.830000e+01 4.398351e-01 1
6.694937e-05 1.574145e+09 2.048733e-01 1.782000e+01 4.546563e-01 1
7.230532e-05 1.677944e+09 2.183826e-01 1.741000e+01 4.700217e-01 1
7.808974e-05 1.770222e+09 2.303925e-01 1.707000e+01 4.845360e-01 1
8.433692e-05 1.784068e+09 2.321946e-01 1.674000e+01 5.000130e-01 1
9.108387e-05 1.798033e+09 2.340121e-01 1.641000e+01 5.183909e-01 1
9.837058e-05 1.833507e+09 2.386290e-01 1.610000e+01 5.390350e-01 1
1.062402e-04 1.882657e+09 2.450258e-01 1.581000e+01 5.613953e-01 1
1.147394e-04 1.931934e+09 2.514391e-01 1.555000e+01 5.850635e-01 1
1.239186e-04 1.970640e+09 2.564766e-01 1.531000e+01 6.105187e-01 1
1.338321e-04 2.027873e+09 2.639255e-01 1.509000e+01 6.374427e-01 1
1.445387e-04 2.069153e+09 2.692980e-01 1.490000e+01 6.658730e-01 1
1.561018e-04 2.120514e+09 2.759826e-01 1.472000e+01 6.961381e-01 1
1.685899e-04 2.167033e+09 2.820370e-01 1.456000e+01 7.278041e-01 1
1.820771e-04 2.218187e+09 2.886947e-01 1.441000e+01 7.614680e-01 1
1.966433e-04 2.274349e+09 2.960041e-01 1.428000e+01 7.961718e-01 1
2.123747e-04 2.322600e+09 3.022840e-01 1.416000e+01 8.326860e-01 1
2.293647e-04 2.384533e+09 3.103445e-01 1.405000e+01 8.707692e-01 1
2.477139e-04 2.436564e+09 3.171162e-01 1.396000e+01 9.099639e-01 1
2.675310e-04 2.495851e+09 3.248324e-01 1.387000e+01 9.507392e-01 1
2.889334e-04 2.555351e+09 3.325761e-01 1.379000e+01 9.928415e-01 1
3.120481e-04 2.620682e+09 3.410790e-01 1.372000e+01 1.036045e+00 1
3.370120e-04 2.683444e+09 3.492474e-01 1.366000e+01 1.080398e+00 1
3.639729e-04 2.746803e+09 3.574934e-01 1.360000e+01 1.125599e+00 1
3.930908e-04 2.832931e+09 3.687029e-01 1.355000e+01 1.171447e+00 1
4.245380e-04 2.903063e+09 3.778305e-01 1.350000e+01 1.217920e+00 1
4.585011e-04 2.983572e+09 3.883087e-01 1.345000e+01 1.264777e+00 1
4.951812e-04 3.069997e+09 3.995568e-01 1.340000e+01 1.311891e+00 1
5.347956e-04 3.157505e+09 4.109458e-01 1.336000e+01 1.358927e+00 1
5.775793e-04 3.256628e+09 4.238467e-01 1.332000e+01 1.405776e+00 1
6.237856e-04 3.349956e+09 4.359932e-01 1.328000e+01 1.452150e+00 1
