# tag=combo2
# g_delta_factor=2.5000
# m_delta_mev=500.0
# lambda_3_factor=3.0000
# lambda_delta_factor=0.2500
# t_loop4_factor=4.0
# include_omega_1_num=True
# omega_vac_mev4=-5.8164593665e+08
# num_raw_points=700
# mu_min_mev=250.0
# mu_max_mev=900.0
# branch=stable
# columns=mu_q_mev mu_B_mev phi_mev delta_mev gap_mev mu_e_mev mu_8_mev delta_mu_mev gap_minus_delta_mu_mev pressure_mev4 quark_density_mev3 baryon_density_mev3 energy_density_mev4 cs2 omega_min_mev4 phase success neutrality_residual_norm
2.8533619456e+02 8.5600858369e+02 9.2999991325e+01 1.1395096946e-03 9.1895943113e-03 6.8261426744e-01 -2.1626936184e+01 3.4130713372e-01 -3.3211753941e-01 6.4638853073e-03 2.1445392136e+03 7.1484640454e+02 6.1191465185e+05 4.2747525720e-04 -5.8164593666e+08 normal 1 6.2767435026e-03
2.8626609442e+02 8.5879828326e+02 9.2798631230e+01 9.1530769943e-01 7.3815137050e+00 5.1531463623e+00 -2.4845512015e+01 2.5765731812e+00 4.8049405239e+00 3.9885515716e+03 1.3341229548e+04 4.4470765161e+03 3.8151531260e+06 2.0628451732e-03 -5.8164992521e+08 2SC 1 1.2383979071e-06
2.8719599428e+02 8.6158798283e+02 9.2692857907e+01 1.2342600610e+00 9.9537101690e+00 7.6542604834e+00 -2.5520373421e+01 3.8271302417e+00 6.1265799273e+00 2.4812021361e+04 3.3753629446e+04 1.1251209815e+04 9.6690951478e+06 4.2399962864e-03 -5.8167074868e+08 2SC 1 2.5036930421e-07
2.8812589413e+02 8.6437768240e+02 9.2386637785e+01 1.7479699158e+00 1.4096531579e+01 1.1972634349e+01 -2.7175848533e+01 5.9863171743e+00 8.1102144047e+00 6.6763541957e+04 6.1877268919e+04 2.0625756306e+04 1.7761679892e+07 5.7275181529e-03 -5.8171270020e+08 2SC 1 1.1555331720e-07
2.8905579399e+02 8.6716738197e+02 9.2109619345e+01 2.0806720490e+00 1.6779613299e+01 1.5080576293e+01 -2.7761619779e+01 7.5402881463e+00 9.2393251523e+00 1.3989134839e+05 1.0094281602e+05 3.3647605340e+04 2.9038214484e+07 7.1476829191e-03 -5.8178582800e+08 2SC 1 4.1539610857e-07
2.8998569385e+02 8.6995708155e+02 9.1655649002e+01 2.6140524055e+00 2.1081067786e+01 2.0019452971e+01 -2.9550806768e+01 1.0009726485e+01 1.1071341300e+01 2.5449696231e+05 1.5047383468e+05 5.0157944893e+04 4.3380762393e+07 1.1405938104e-02 -5.8190043362e+08 2SC 1 3.8577027197e-07
2.9091559371e+02 8.7274678112e+02 9.1186453364e+01 3.0808782241e+00 2.4845792130e+01 2.4535250914e+01 -3.0918188010e+01 1.2267625457e+01 1.2578166673e+01 4.1974254307e+05 1.9061644690e+05 6.3538815635e+04 5.5033554278e+07 1.1976738250e-02 -5.8206567920e+08 2SC 1 3.5145307158e-06
2.9184549356e+02 8.7553648069e+02 9.1186453364e+01 3.0808782241e+00 2.4845792130e+01 2.4976303837e+01 -3.0019873876e+01 1.2488151919e+01 1.2357640211e+01 6.0900537572e+05 2.9459507304e+05 9.8198357680e+04 8.5367239117e+07 7.9924882248e-03 -5.8225494203e+08 2SC 1 1.5764757153e-06
2.9277539342e+02 8.7832618026e+02 8.9316493163e+01 4.3489142900e+00 3.5071889435e+01 3.7428400857e+01 -3.4072607940e+01 1.8714200429e+01 1.6357689007e+01 9.6763037563e+05 4.1671772897e+05 1.3890590966e+05 1.2103706667e+08 1.1606683056e-02 -5.8261356703e+08 2SC 1 1.6198886814e-06
2.9370529328e+02 8.8111587983e+02 8.7858580760e+01 5.1467540559e+00 4.1506081096e+01 4.5763863118e+01 -3.5833967752e+01 2.2881931559e+01 1.8624149537e+01 1.3840168888e+06 5.2586321532e+05 1.7528773844e+05 1.5306479299e+08 1.3748431139e-02 -5.8302995354e+08 2SC 1 3.5323473742e-07
2.9463519313e+02 8.8390557940e+02 8.6575321261e+01 5.8631857384e+00 4.7283755955e+01 5.3065813100e+01 -3.7520504803e+01 2.6532906550e+01 2.0750849405e+01 1.9456306330e+06 6.5627731618e+05 2.1875910539e+05 1.9141676317e+08 1.2673109099e-02 -5.8359156729e+08 2SC 1 1.4350630712e-05
2.9556509299e+02 8.8669527897e+02 8.6575321261e+01 5.8631857384e+00 4.7283755955e+01 5.3658728356e+01 -3.6885486914e+01 2.6829364178e+01 2.0454391777e+01 2.6045612537e+06 9.0847566016e+05 3.0282522005e+05 2.6590913172e+08 9.5346297566e-03 -5.8425049791e+08 2SC 1 1.8721703066e-05
2.9649499285e+02 8.8948497854e+02 8.1953174310e+01 7.9525789577e+00 6.4133701272e+01 7.4341872363e+01 -4.1527206859e+01 3.7170936182e+01 2.6962765090e+01 3.6352134059e+06 1.2418369272e+06 4.1394564240e+05 3.6456321744e+08 1.6950595504e-02 -5.8528115006e+08 2SC 1 3.5143214239e-06
