# tag=lam3_3lam0
# g_delta_factor=2.0000
# m_delta_mev=500.0
# lambda_3_factor=3.0000
# lambda_delta_factor=0.2500
# source=tov_resume_from_eos_file
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm3 radius_km mass_msun stable_flag
1.149752e-08 5.939979e+06 7.730819e-04 3.000000e+01 6.129740e-02 1
1.241732e-08 6.110344e+06 7.952548e-04 3.000000e+01 6.263318e-02 1
1.341071e-08 6.294582e+06 8.192330e-04 3.000000e+01 6.405774e-02 1
1.448357e-08 6.493804e+06 8.451616e-04 3.000000e+01 6.557541e-02 1
1.564225e-08 6.709204e+06 8.731957e-04 3.000000e+01 6.719051e-02 1
1.689363e-08 6.942057e+06 9.035013e-04 3.000000e+01 6.890727e-02 1
1.824512e-08 7.193723e+06 9.362554e-04 3.000000e+01 7.072982e-02 1
1.970473e-08 7.465645e+06 9.716456e-04 3.000000e+01 7.266212e-02 1
2.128111e-08 7.759344e+06 1.009870e-03 3.000000e+01 7.470790e-02 1
2.298360e-08 8.076420e+06 1.051137e-03 3.000000e+01 7.687063e-02 1
2.482229e-08 8.418536e+06 1.095663e-03 3.000000e+01 7.915348e-02 1
2.680807e-08 8.787407e+06 1.143672e-03 3.000000e+01 8.155927e-02 1
2.895271e-08 9.184774e+06 1.195388e-03 3.000000e+01 8.409045e-02 1
3.126893e-08 9.612377e+06 1.251040e-03 3.000000e+01 8.674911e-02 1
3.377045e-08 1.007191e+07 1.310848e-03 3.000000e+01 8.953699e-02 1
3.647208e-08 1.056494e+07 1.375016e-03 3.000000e+01 9.245556e-02 1
3.938985e-08 1.109288e+07 1.443727e-03 3.000000e+01 9.550609e-02 1
4.254104e-08 1.165682e+07 1.517123e-03 3.000000e+01 9.868990e-02 1
4.594432e-08 1.225743e+07 1.595291e-03 3.000000e+01 1.020085e-01 1
4.961987e-08 1.289474e+07 1.678236e-03 3.000000e+01 1.054641e-01 1
5.358945e-08 1.356849e+07 1.765925e-03 3.000000e+01 1.090598e-01 1
