# tag=lam3_3lam0
# g_delta_factor=2.0000
# m_delta_mev=500.0
# lambda_3_factor=3.0000
# lambda_delta_factor=0.2500
# t_loop4_factor=4.0
# include_omega_1_num=True
# omega_vac_mev4=-5.8164593665e+08
# num_raw_points=700
# mu_min_mev=250.0
# mu_max_mev=900.0
# branch=stable
# columns=mu_q_mev mu_B_mev phi_mev delta_mev gap_mev mu_e_mev mu_8_mev delta_mu_mev gap_minus_delta_mu_mev pressure_mev4 quark_density_mev3 baryon_density_mev3 energy_density_mev4 cs2 omega_min_mev4 phase success neutrality_residual_norm
2.8347639485e+02 8.5042918455e+02 9.2999999787e+01 5.2101466820e-09 3.3613849561e-08 5.1100000619e-01 0.0000000000e+00 2.5550000309e-01 -2.5549996948e-01 1.1920928955e-07 6.4097917997e-08 2.1365972666e-08 1.8051037422e-05 2.1333167081e-04 -5.8164593665e+08 normal 1 6.5438076405e-14
2.9091559371e+02 8.7274678112e+02 9.2911822315e+01 1.0716883670e+00 6.9141184967e+00 5.6489047115e+00 -1.8928038562e+01 2.8244523557e+00 4.0896661410e+00 8.8469769458e+03 2.0376211839e+04 6.7920706129e+03 5.9189107876e+06 2.7760619062e-03 -5.8165478363e+08 2SC 1 3.7517273616e-07
2.9184549356e+02 8.7553648069e+02 9.2566885886e+01 1.6172718590e+00 1.0434011993e+01 9.7203072310e+00 -2.0092951233e+01 4.8601536155e+00 5.5738583778e+00 3.7895672947e+04 4.3807238610e+04 1.4602412870e+04 1.2747049501e+07 4.8319498687e-03 -5.8168383233e+08 2SC 1 3.3591793670e-07
2.9277539342e+02 8.7832618026e+02 9.2286250655e+01 1.9388822273e+00 1.2508917596e+01 1.2488901523e+01 -2.0264302933e+01 6.2444507613e+00 6.2644668343e+00 9.0319666779e+04 7.5702456155e+04 2.5234152052e+04 2.2073496717e+07 7.5711690616e-03 -5.8173625632e+08 2SC 1 7.0421814626e-07
2.9370529328e+02 8.8111587983e+02 9.2106313785e+01 2.4914913601e+00 1.6074137807e+01 1.6809778533e+01 -2.2639598416e+01 8.4048892667e+00 7.6692485404e+00 1.7868707924e+05 1.0738953813e+05 3.5796512711e+04 3.1362188713e+07 8.2314370624e-03 -5.8182462373e+08 2SC 1 3.7819019055e-07
2.9463519313e+02 8.8390557940e+02 9.1905099378e+01 2.5210505034e+00 1.6264841957e+01 1.7692613997e+01 -2.1232449382e+01 8.8463069986e+00 7.4185349586e+00 2.9004269907e+05 1.7782548438e+05 5.9275161461e+04 5.2103603236e+07 7.0818405703e-03 -5.8193597935e+08 2SC 1 1.3920393831e-07
2.9556509299e+02 8.8669527897e+02 9.0472792403e+01 4.0190033156e+00 2.5929053649e+01 3.0166547275e+01 -2.6922204373e+01 1.5083273637e+01 1.0845780011e+01 5.0940686422e+05 2.5976741462e+05 8.6589138207e+04 7.6268773194e+07 1.2333418618e-02 -5.8215534352e+08 2SC 1 1.0974934227e-05
2.9649499285e+02 8.8948497854e+02 9.0380556254e+01 4.0149059847e+00 2.5902619256e+01 3.0838240351e+01 -2.5859948754e+01 1.5419120175e+01 1.0483499081e+01 7.7315806246e+05 3.2017788961e+05 1.0672596320e+05 9.4157983027e+07 1.2627090583e-02 -5.8241909472e+08 2SC 1 2.0241874610e-05
2.9742489270e+02 8.9227467811e+02 8.9993654578e+01 4.3781654961e+00 2.8246229007e+01 3.4294509545e+01 -2.6637647269e+01 1.7147254773e+01 1.1098974234e+01 1.1048736117e+06 4.7742408174e+05 1.5914136058e+05 1.4089293267e+08 8.0809353005e-03 -5.8275081027e+08 2SC 1 2.8497623371e-06
2.9835479256e+02 8.9506437768e+02 8.6602666273e+01 6.8536946911e+00 4.4217385104e+01 5.5024140738e+01 -3.4587356024e+01 2.7512070369e+01 1.6705314735e+01 1.6610712331e+06 6.7751482893e+05 2.2583827631e+05 2.0047872501e+08 8.2438883587e-03 -5.8330700789e+08 2SC 1 1.9050096239e-05
