# source=baseline
# integrator=rk4  rstep_km=0.01
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm3 radius_km mass_msun stable_flag
1.285845e-11 9.291976e+05 1.209341e-04 5.670000e+00 8.265025e-05 1.000000e+00
1.388713e-11 9.293552e+05 1.209546e-04 5.890000e+00 9.265541e-05 1.000000e+00
1.499810e-11 9.295253e+05 1.209767e-04 6.130000e+00 1.044567e-04 1.000000e+00
1.619794e-11 9.297090e+05 1.210006e-04 6.360000e+00 1.166709e-04 1.000000e+00
1.749378e-11 9.299073e+05 1.210264e-04 6.610000e+00 1.309882e-04 1.000000e+00
1.889328e-11 9.301214e+05 1.210543e-04 6.870000e+00 1.470746e-04 1.000000e+00
2.040474e-11 9.303524e+05 1.210844e-04 7.140000e+00 1.651220e-04 1.000000e+00
2.203712e-11 9.306018e+05 1.211168e-04 7.420000e+00 1.853397e-04 1.000000e+00
2.380009e-11 9.308709e+05 1.211519e-04 7.710000e+00 2.079553e-04 1.000000e+00
2.570410e-11 9.311614e+05 1.211897e-04 8.010000e+00 2.332163e-04 1.000000e+00
2.776043e-11 9.314749e+05 1.212305e-04 8.320000e+00 2.613910e-04 1.000000e+00
2.998126e-11 9.318132e+05 1.212745e-04 8.650000e+00 2.937857e-04 1.000000e+00
3.237976e-11 9.321782e+05 1.213220e-04 8.980000e+00 3.287621e-04 1.000000e+00
3.497015e-11 9.325721e+05 1.213733e-04 9.330000e+00 3.687833e-04 1.000000e+00
3.776776e-11 9.329971e+05 1.214286e-04 9.690000e+00 4.132171e-04 1.000000e+00
4.078918e-11 9.334555e+05 1.214882e-04 1.007000e+01 4.638528e-04 1.000000e+00
4.405231e-11 9.339500e+05 1.215526e-04 1.046000e+01 5.199719e-04 1.000000e+00
4.757650e-11 9.344834e+05 1.216220e-04 1.087000e+01 5.836762e-04 1.000000e+00
5.138262e-11 9.350587e+05 1.216969e-04 1.129000e+01 6.541443e-04 1.000000e+00
5.549323e-11 9.356790e+05 1.217776e-04 1.173000e+01 7.338395e-04 1.000000e+00
5.993268e-11 9.363479e+05 1.218647e-04 1.218000e+01 8.218187e-04 1.000000e+00
6.472730e-11 9.370690e+05 1.219585e-04 1.266000e+01 9.231381e-04 1.000000e+00
6.990548e-11 9.378464e+05 1.220597e-04 1.315000e+01 1.034875e-03 1.000000e+00
7.549792e-11 9.386842e+05 1.221687e-04 1.365000e+01 1.157895e-03 1.000000e+00
8.153775e-11 9.395871e+05 1.222863e-04 1.418000e+01 1.298576e-03 1.000000e+00
8.806078e-11 9.405599e+05 1.224129e-04 1.473000e+01 1.456221e-03 1.000000e+00
9.510564e-11 9.416078e+05 1.225492e-04 1.530000e+01 1.632630e-03 1.000000e+00
1.027141e-10 9.427364e+05 1.226961e-04 1.588000e+01 1.826335e-03 1.000000e+00
1.109312e-10 9.439516e+05 1.228543e-04 1.649000e+01 2.046059e-03 1.000000e+00
1.198057e-10 9.452598e+05 1.230246e-04 1.713000e+01 2.294925e-03 1.000000e+00
1.293902e-10 9.466678e+05 1.232078e-04 1.778000e+01 2.567781e-03 1.000000e+00
1.397414e-10 9.481826e+05 1.234049e-04 1.846000e+01 2.875680e-03 1.000000e+00
1.509207e-10 9.498120e+05 1.236170e-04 1.916000e+01 3.217652e-03 1.000000e+00
1.629943e-10 9.515639e+05 1.238450e-04 1.989000e+01 3.602334e-03 1.000000e+00
1.760339e-10 9.534471e+05 1.240901e-04 2.065000e+01 4.034487e-03 1.000000e+00
1.901166e-10 9.554705e+05 1.243535e-04 2.143000e+01 4.513092e-03 1.000000e+00
2.053259e-10 9.576437e+05 1.246363e-04 2.224000e+01 5.049143e-03 1.000000e+00
2.217520e-10 9.599767e+05 1.249399e-04 2.307000e+01 5.641546e-03 1.000000e+00
2.394922e-10 9.624801e+05 1.252658e-04 2.394000e+01 6.310925e-03 1.000000e+00
2.586515e-10 9.651651e+05 1.256152e-04 2.484000e+01 7.057877e-03 1.000000e+00
2.793437e-10 9.680431e+05 1.259898e-04 2.576000e+01 7.881351e-03 1.000000e+00
3.016912e-10 9.711261e+05 1.263910e-04 2.672000e+01 8.807385e-03 1.000000e+00
3.258265e-10 9.744268e+05 1.268206e-04 2.771000e+01 9.837031e-03 1.000000e+00
3.518926e-10 9.779580e+05 1.272802e-04 2.873000e+01 1.098054e-02 1.000000e+00
3.800440e-10 9.817329e+05 1.277715e-04 2.978000e+01 1.224906e-02 1.000000e+00
4.104475e-10 9.857653e+05 1.282963e-04 3.000000e+01 1.257035e-02 1.000000e+00
4.432833e-10 9.900690e+05 1.288564e-04 3.000000e+01 1.262835e-02 1.000000e+00
4.787460e-10 9.946580e+05 1.294537e-04 3.000000e+01 1.269028e-02 1.000000e+00
5.170456e-10 9.995464e+05 1.300899e-04 3.000000e+01 1.275633e-02 1.000000e+00
5.584093e-10 1.004748e+06 1.307669e-04 3.000000e+01 1.282671e-02 1.000000e+00
6.030820e-10 1.010278e+06 1.314866e-04 3.000000e+01 1.290163e-02 1.000000e+00
6.513286e-10 1.016148e+06 1.322506e-04 3.000000e+01 1.298129e-02 1.000000e+00
7.034349e-10 1.022373e+06 1.330607e-04 3.000000e+01 1.306588e-02 1.000000e+00
7.597097e-10 1.028964e+06 1.339185e-04 3.000000e+01 1.315560e-02 1.000000e+00
8.204865e-10 1.035934e+06 1.348257e-04 3.000000e+01 1.325062e-02 1.000000e+00
