# model=QMDStellarModel
# label=qmd_stellar_baseline
# include_omega_1_num=True
# t_loop4_factor=4.0
# m_delta_mev=500.0
# g_delta_factor=2.0000
# mu_min_mev=250.0
# mu_max_mev=900.0
# num_raw_points=700
# omega_vac_mev4=-5.8164593665e+08
# omega_vac_source=neutral_equilibrium
# equilibrium_cache_reused=false
# branch=stable
# maxwell_indices=[0, 4]
# monotone_removed=3
# cs2_removed=0
# columns=mu_q_mev mu_B_mev phi_mev delta_mev gap_mev mu_e_mev mu_8_mev delta_mu_mev gap_minus_delta_mu_mev pressure_mev4 quark_density_mev3 baryon_density_mev3 energy_density_mev4 cs2 omega_min_mev4 phase success neutrality_residual_norm
2.5371959943e+02 7.6115879828e+02 9.2999999619e+01 0.0000000000e+00 0.0000000000e+00 5.8422127844e-01 0.0000000000e+00 2.9211063922e-01 -2.9211063922e-01 2.1815299988e-05 8.9608889360e-05 2.9869629787e-05 2.2713716214e-02 4.8248538085e-03 -5.8164593665e+08 normal 1 7.6698658896e-04
2.7324749642e+02 8.1974248927e+02 9.3001752000e+01 6.9218037765e-03 4.4656798558e-02 1.2327913797e+00 0.0000000000e+00 6.1639568984e-01 -5.7173889128e-01 2.1600499153e+00 1.4812562857e+00 4.9375209524e-01 4.0258952172e+02 5.9064238680e-03 -5.8164593881e+08 normal 1 1.4340777944e-01
2.7510729614e+02 8.2532188841e+02 9.3002281608e+01 8.6287226840e-03 5.5669178606e-02 5.1100000001e-01 0.0000000000e+00 2.5550000000e-01 -1.9983082140e-01 4.6028901339e+00 2.8637206939e+00 9.5457356462e-01 7.8322756685e+02 6.4151232252e-03 -5.8164594126e+08 normal 1 2.5825602701e-01
2.7789699571e+02 8.3369098712e+02 9.3000922546e+01 9.9876247212e-03 6.4436288524e-02 5.1100000000e-01 0.0000000000e+00 2.5550000000e-01 -1.9106371148e-01 9.8941681385e+00 3.3436415420e+03 1.1145471807e+03 9.2917804507e+05 2.1799934255e-03 -5.8164594655e+08 normal 1 3.7266737098e-01
2.7882689557e+02 8.3648068670e+02 9.2952134399e+01 8.6928607673e-01 5.6082972692e+00 3.2140548755e+00 -3.4767288610e+01 1.6070274378e+00 4.0012698315e+00 6.2274797385e+03 7.7629630970e+03 2.5876543657e+03 2.1582954210e+06 4.5152674784e-03 -5.8165216413e+08 2SC 1 3.3400178876e-09
2.7975679542e+02 8.3927038627e+02 9.2952134402e+01 8.6928607671e-01 5.6082972691e+00 3.2753099950e+00 -3.3434688179e+01 1.6376549975e+00 3.9706422716e+00 1.4447450715e+04 3.5805551608e+04 1.1935183869e+04 1.0002398925e+07 3.4162433201e-03 -5.8166038410e+08 2SC 1 1.4393477928e-09
2.8068669528e+02 8.4206008584e+02 9.2448749365e+01 2.4223320943e+00 1.5627948995e+01 1.2157403285e+01 -3.8830917543e+01 6.0787016423e+00 9.5492473529e+00 7.2818634374e+04 6.9219542687e+04 2.3073180896e+04 1.9356186051e+07 7.9286254584e-03 -5.8171875529e+08 2SC 1 1.8128358025e-07
2.8161659514e+02 8.4484978541e+02 9.2010677121e+01 3.1091906066e+00 2.0059294236e+01 1.6767968106e+01 -4.0265274240e+01 8.3839840532e+00 1.1675310183e+01 1.4318193640e+05 9.6121606968e+04 3.2040535656e+04 2.6926257737e+07 8.9939494744e-03 -5.8178911859e+08 2SC 1 5.2822403272e-06
2.8254649499e+02 8.4763948498e+02 9.1932026037e+01 3.2565290279e+00 2.1009864696e+01 1.7981124683e+01 -3.9810049058e+01 8.9905623417e+00 1.2019302355e+01 2.5158557151e+05 1.4140037587e+05 4.7133458625e+04 3.9700595022e+07 1.1424824603e-02 -5.8189752223e+08 2SC 1 9.6292061487e-08
2.8347639485e+02 8.5042918455e+02 9.1323202677e+01 4.0967809295e+00 2.6430844706e+01 2.3898093313e+01 -4.2020931771e+01 1.1949046656e+01 1.4481798050e+01 4.0615831499e+05 1.8051305058e+05 6.0171016859e+04 5.0765030486e+07 1.2212776904e-02 -5.8205209497e+08 2SC 1 2.2281714032e-08
