# mu_q_mev  pressure_mev4  energy_density_mev4
0.0000000000e+00 -0.0000000000e+00 0.0000000000e+00
3.0000000000e+02 1.4362760876e+08 2.6064047281e+09
3.2213281088e+02 3.6070050365e+08 3.0703466462e+09
3.4589849282e+02 6.3534952293e+08 3.7868954350e+09
3.7141751257e+02 9.9526184497e+08 4.7174972903e+09
3.9881922444e+02 1.4543081929e+09 5.8306714158e+09
4.2824252601e+02 2.0395953408e+09 7.4436395475e+09
4.5983656214e+02 2.8156494944e+09 9.4666118418e+09
4.9376148102e+02 3.7999872331e+09 1.1958526823e+10
5.3018924595e+02 5.0760242463e+09 1.5303052189e+10
5.6930450698e+02 6.7226562921e+09 1.9614282755e+10
6.1130553694e+02 8.8535171747e+09 2.5320505865e+10
6.5640523640e+02 1.1625099119e+10 3.2957949099e+10
7.0483221292e+02 1.5250461456e+10 4.2907599516e+10
7.5683193982e+02 1.9968328041e+10 5.5898801150e+10
8.1266800046e+02 2.6135941185e+10 7.3157450340e+10
8.7262342433e+02 3.4216104274e+10 9.5966712968e+10
9.3700212173e+02 4.4817033833e+10 1.2613252447e+11
1.0061304242e+03 5.8748638889e+10 1.6606993963e+11
1.0803587389e+03 7.7081681288e+10 2.1895907710e+11
1.1600633244e+03 1.0123652425e+11 2.8903914006e+11
1.2456481983e+03 1.3309632758e+11 3.8194841509e+11
1.3375471849e+03 1.7516139247e+11 5.0516427522e+11
1.4362261146e+03 2.3074699323e+11 6.6862338118e+11
1.5421851845e+03 3.0425622371e+11 8.8553964797e+11
1.6559614946e+03 4.0153324116e+11 1.1734501331e+12
1.7781317699e+03 5.3033787238e+11 1.5556782856e+12
1.9093152838e+03 7.0097677183e+11 2.0632178527e+12
2.0501769974e+03 9.2713886844e+11 2.7372486452e+12
2.2014309299e+03 1.2270079872e+12 3.6325102691e+12
2.3638437780e+03 1.6247422791e+12 4.8217569965e+12
2.5382388023e+03 2.1524386410e+12 6.4016850258e+12
2.7255000002e+03 2.8527453324e+12 8.5008230322e+12
2.9265765871e+03 3.7823341556e+12 1.1290013593e+13
3.1424878075e+03 5.0165163955e+12 1.4996344338e+13
3.3743281020e+03 6.6553776221e+12 1.9921671504e+13
3.6232726544e+03 8.8319338560e+12 2.6467246207e+13
3.8905833491e+03 1.1722972662e+13 3.5166446222e+13
4.1776151674e+03 1.5563464962e+13 4.6728292151e+13
4.4858230555e+03 2.0665722522e+13 6.2095295556e+13
4.8167692999e+03 2.7444865168e+13 8.2520364830e+13
5.1721314464e+03 3.6452675486e+13 1.0966903592e+14
5.5537108036e+03 4.8422603182e+13 1.4575537471e+14
5.9634415732e+03 6.4329591762e+13 1.9372265602e+14
6.4034006550e+03 8.5469611315e+13 2.5748354627e+14
6.8758181739e+03 1.1356538511e+14 3.4223939565e+14
7.3830887848e+03 1.5090694059e+14 4.5490470830e+14
7.9277838108e+03 2.0053845344e+14 6.0467142725e+14
8.5126642767e+03 2.6650663489e+14 8.0375909201e+14
9.1406949051e+03 3.5419093236e+14 1.0684119241e+15
9.8150591439e+03 4.7074246785e+14 1.4202253686e+15
1.0539175303e+04 6.2566771183e+14 1.8879070963e+15
1.1316713883e+04 8.3160400144e+14 2.5096206295e+15
1.2151616176e+04 1.1053510765e+15 3.3361011606e+15
1.3048114252e+04 1.4692419529e+15 4.4347944535e+15
1.4010752402e+04 1.9529655092e+15 5.8953623882e+15
1.5044410180e+04 2.5959894177e+15 7.8370006519e+15
1.6154327131e+04 3.4507811476e+15 1.0418166943e+16
1.7346129355e+04 4.5870899584e+15 1.3849500259e+16
1.8625858023e+04 6.0976372872e+15 1.8411077969e+16
2.0000000000e+04 8.1056941097e+15 2.4030108692e+16
