# mu_q_mev  pressure_mev4  energy_density_mev4
0.0000000000e+00 -0.0000000000e+00 0.0000000000e+00
3.0000000000e+02 1.4643273898e+08 2.2433377689e+09
3.0639849325e+02 1.9842299449e+08 2.5517195799e+09
3.1293345556e+02 2.6275418268e+08 2.8549250088e+09
3.1960779757e+02 3.3005746352e+08 3.0715277264e+09
3.2642449203e+02 4.0650013899e+08 3.2606263640e+09
3.3338657506e+02 4.8485729589e+08 3.3711271244e+09
3.4049714757e+02 5.6935938676e+08 3.5944775976e+09
3.4775937657e+02 6.6072361775e+08 3.8319579872e+09
3.5517649665e+02 7.5910686230e+08 4.0765246710e+09
3.6275181138e+02 8.6495358514e+08 4.3462233016e+09
3.7048869477e+02 9.7920539827e+08 4.6807107357e+09
3.7839059282e+02 1.1040355953e+09 5.0035255738e+09
3.8646102500e+02 1.2371300154e+09 5.3511303020e+09
3.9470358587e+02 1.3823275995e+09 5.7292941905e+09
4.0312194664e+02 1.5374631417e+09 6.0902997556e+09
4.1171985683e+02 1.7044839122e+09 6.5121835868e+09
4.2050114592e+02 1.8844956358e+09 6.9629486732e+09
4.2946972507e+02 2.0781500927e+09 7.4385413027e+09
4.3862958886e+02 2.2864259156e+09 7.9506283035e+09
4.4798481708e+02 2.5105059584e+09 8.6059125720e+09
4.5753957651e+02 2.7560111681e+09 9.2636299517e+09
4.6729812282e+02 3.0181068369e+09 9.8765600237e+09
4.7726480244e+02 3.3006204952e+09 1.0592484149e+10
4.8744405450e+02 3.6048800824e+09 1.1382830993e+10
4.9784041282e+02 3.9336463861e+09 1.2227514444e+10
5.0845850789e+02 4.2874386524e+09 1.3129076991e+10
5.1930306900e+02 4.6692463012e+09 1.4115776780e+10
5.3037892628e+02 5.0808292156e+09 1.5174628265e+10
5.4169101288e+02 5.5247458673e+09 1.6390336113e+10
5.5324436719e+02 6.0064837576e+09 1.7739818728e+10
5.6504413502e+02 6.5277165750e+09 1.9126759876e+10
5.7709557198e+02 7.0900160563e+09 2.0562307249e+10
5.8940404572e+02 7.6956086391e+09 2.2136833948e+10
6.0197503842e+02 8.3500299419e+09 2.3893547206e+10
6.1481414916e+02 9.0574651167e+09 2.5784061056e+10
6.2792709645e+02 9.8216024385e+09 2.7827437746e+10
6.4131972075e+02 1.0647629290e+10 3.0067584267e+10
6.5499798710e+02 1.1541285850e+10 3.2490226927e+10
6.6896798777e+02 1.2507367778e+10 3.5100153924e+10
6.8323594496e+02 1.3552069146e+10 3.7949817204e+10
6.9780821358e+02 1.4682653643e+10 4.1043501922e+10
7.1269128406e+02 1.5905767119e+10 4.4385593664e+10
7.2789178531e+02 1.7229175482e+10 4.8027957811e+10
7.4341648756e+02 1.8662047087e+10 5.1982634183e+10
7.5927230550e+02 2.0213001697e+10 5.6268050123e+10
7.7546630125e+02 2.1892397361e+10 6.0925813244e+10
7.9200568757e+02 2.3711019221e+10 6.5978671816e+10
8.0889783106e+02 2.5680652588e+10 7.1477621573e+10
8.2615025544e+02 2.7814746072e+10 7.7447699895e+10
8.4377064490e+02 3.0126672468e+10 8.3919606111e+10
8.6176684749e+02 3.2631783667e+10 9.0952542805e+10
8.8014687869e+02 3.5346581301e+10 9.8610527664e+10
8.9891892491e+02 3.8289839004e+10 1.0692048092e+11
9.1809134716e+02 4.1479930390e+10 1.1593791415e+11
9.3767268480e+02 4.4938831642e+10 1.2576048632e+11
9.5767165929e+02 4.8689918714e+10 1.3641954721e+11
9.7809717813e+02 5.2757466753e+10 1.4800822977e+11
9.9895833878e+02 5.7169874588e+10 1.6061087951e+11
1.0202644327e+03 6.1956100167e+10 1.7428410212e+11
1.0420249497e+03 6.7148206994e+10 1.8915392247e+11
1.0642495817e+03 7.2781834561e+10 2.0532260424e+11
1.0869482276e+03 7.8894837422e+10 2.2289082363e+11
1.1101309973e+03 8.5528731844e+10 2.4199375788e+11
1.1338082163e+03 9.2728832045e+10 2.6276613265e+11
1.1579904304e+03 1.0054425235e+11 2.8534352076e+11
1.1826884102e+03 1.0902810529e+11 3.0988476267e+11
1.2079131563e+03 1.1823847044e+11 3.3656668417e+11
1.2336759035e+03 1.2823837331e+11 3.6557539822e+11
1.2599881267e+03 1.3909642100e+11 3.9711846691e+11
1.2868615451e+03 1.5088730447e+11 4.3143342938e+11
1.3143081282e+03 1.6369282922e+11 4.6873484230e+11
1.3423401005e+03 1.7760015613e+11 5.0927758741e+11
1.3709699474e+03 1.9270560581e+11 5.5337721369e+11
1.4002104206e+03 2.0911370055e+11 6.0133345215e+11
1.4300745437e+03 2.2693783537e+11 6.5348218344e+11
1.4605756181e+03 2.4630151899e+11 7.1019443032e+11
1.4917272289e+03 2.6733903041e+11 7.7187017271e+11
1.5235432509e+03 2.9019644675e+11 8.3894403449e+11
1.5560378550e+03 3.1503257326e+11 9.1188942716e+11
1.5892255140e+03 3.4202019418e+11 9.9122859516e+11
1.6231210098e+03 3.7134747583e+11 1.0775167110e+12
1.6577394392e+03 4.0321858577e+11 1.1713614824e+12
1.6930962213e+03 4.3785600168e+11 1.2734333061e+12
1.7292071038e+03 4.7550159488e+11 1.3844523426e+12
1.7660881704e+03 5.1641848163e+11 1.5052064373e+12
1.8037558479e+03 5.6089292592e+11 1.6365497228e+12
1.8422269133e+03 6.0923621027e+11 1.7794120722e+12
1.8815185015e+03 6.6178702822e+11 1.9348078133e+12
1.9216481130e+03 7.1891381134e+11 2.1038374250e+12
1.9626336213e+03 7.8101729808e+11 2.2876999670e+12
2.0044932812e+03 8.4853349696e+11 2.4877002128e+12
2.0472457370e+03 9.2193667363e+11 2.7052564134e+12
2.0909100305e+03 1.0017427765e+12 2.9419126314e+12
2.1355056095e+03 1.0885130845e+12 3.1993488951e+12
2.1810523370e+03 1.1828582180e+12 3.4793919896e+12
2.2275704992e+03 1.2854424088e+12 3.7840299420e+12
2.2750808152e+03 1.3969883090e+12 4.1154268856e+12
2.3236044461e+03 1.5182820855e+12 4.4759364682e+12
2.3731630040e+03 1.6501790143e+12 4.8681203670e+12
