# pipeline=quark_stars
# product=mass_radius
# m_sigma_mev=400.000000
# units=central pressure is npemu-dimensionless; central energy density in MeV^4/GeV fm^-3; radius in km; mass in Msun
# B0_mev4=3.138943658406e+08
# B0_gev_fm3=4.085301464549e-02
# B_mev4=9.115287385268e+07
# B_gev_fm3=1.186344864939e-02
# B_1_4_mev=97.710805
# B_min_mev4=1.345975290658e+08
# B_min_gev_fm3=1.751772387328e-02
# B_min_1_4_mev=107.710805
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm-3 radius_km mass_msun stable_flag
8.295e-07 1.497e+09 1.949e-01 9.000e-01 5.329e-04 1.000e+00
8.959e-07 1.498e+09 1.949e-01 9.300e-01 5.880e-04 1.000e+00
9.675e-07 1.498e+09 1.949e-01 9.700e-01 6.672e-04 1.000e+00
1.045e-06 1.498e+09 1.950e-01 1.010e+00 7.532e-04 1.000e+00
1.129e-06 1.498e+09 1.950e-01 1.040e+00 8.224e-04 1.000e+00
1.219e-06 1.499e+09 1.950e-01 1.090e+00 9.469e-04 1.000e+00
1.316e-06 1.499e+09 1.951e-01 1.130e+00 1.055e-03 1.000e+00
1.422e-06 1.499e+09 1.951e-01 1.170e+00 1.171e-03 1.000e+00
1.535e-06 1.499e+09 1.952e-01 1.220e+00 1.328e-03 1.000e+00
1.658e-06 1.500e+09 1.952e-01 1.260e+00 1.463e-03 1.000e+00
1.791e-06 1.500e+09 1.952e-01 1.310e+00 1.644e-03 1.000e+00
1.934e-06 1.501e+09 1.953e-01 1.360e+00 1.840e-03 1.000e+00
2.089e-06 1.501e+09 1.954e-01 1.420e+00 2.095e-03 1.000e+00
2.256e-06 1.501e+09 1.954e-01 1.470e+00 2.324e-03 1.000e+00
2.436e-06 1.502e+09 1.955e-01 1.530e+00 2.621e-03 1.000e+00
2.631e-06 1.502e+09 1.955e-01 1.590e+00 2.942e-03 1.000e+00
2.842e-06 1.503e+09 1.956e-01 1.650e+00 3.288e-03 1.000e+00
3.069e-06 1.504e+09 1.957e-01 1.710e+00 3.661e-03 1.000e+00
3.315e-06 1.504e+09 1.958e-01 1.780e+00 4.130e-03 1.000e+00
3.580e-06 1.505e+09 1.959e-01 1.850e+00 4.638e-03 1.000e+00
3.866e-06 1.506e+09 1.960e-01 1.920e+00 5.185e-03 1.000e+00
4.176e-06 1.507e+09 1.961e-01 1.990e+00 5.775e-03 1.000e+00
4.510e-06 1.508e+09 1.962e-01 2.070e+00 6.501e-03 1.000e+00
4.870e-06 1.509e+09 1.964e-01 2.150e+00 7.286e-03 1.000e+00
5.260e-06 1.510e+09 1.965e-01 2.230e+00 8.133e-03 1.000e+00
5.681e-06 1.511e+09 1.967e-01 2.320e+00 9.160e-03 1.000e+00
6.135e-06 1.512e+09 1.968e-01 2.400e+00 1.014e-02 1.000e+00
6.626e-06 1.514e+09 1.970e-01 2.500e+00 1.147e-02 1.000e+00
7.156e-06 1.515e+09 1.972e-01 2.590e+00 1.276e-02 1.000e+00
7.729e-06 1.517e+09 1.974e-01 2.690e+00 1.430e-02 1.000e+00
8.347e-06 1.518e+09 1.976e-01 2.790e+00 1.596e-02 1.000e+00
9.015e-06 1.520e+09 1.979e-01 2.900e+00 1.793e-02 1.000e+00
9.736e-06 1.522e+09 1.981e-01 3.000e+00 1.987e-02 1.000e+00
1.051e-05 1.524e+09 1.984e-01 3.120e+00 2.236e-02 1.000e+00
1.136e-05 1.527e+09 1.987e-01 3.230e+00 2.482e-02 1.000e+00
1.226e-05 1.529e+09 1.990e-01 3.350e+00 2.771e-02 1.000e+00
1.325e-05 1.532e+09 1.994e-01 3.480e+00 3.109e-02 1.000e+00
1.431e-05 1.535e+09 1.998e-01 3.610e+00 3.473e-02 1.000e+00
1.545e-05 1.538e+09 2.002e-01 3.740e+00 3.865e-02 1.000e+00
1.669e-05 1.541e+09 2.006e-01 3.880e+00 4.319e-02 1.000e+00
1.802e-05 1.545e+09 2.011e-01 4.020e+00 4.808e-02 1.000e+00
1.946e-05 1.549e+09 2.016e-01 4.160e+00 5.334e-02 1.000e+00
2.102e-05 1.553e+09 2.021e-01 4.310e+00 5.939e-02 1.000e+00
2.270e-05 1.558e+09 2.027e-01 4.470e+00 6.632e-02 1.000e+00
2.452e-05 1.563e+09 2.034e-01 4.620e+00 7.333e-02 1.000e+00
2.648e-05 1.568e+09 2.041e-01 4.790e+00 8.183e-02 1.000e+00
2.860e-05 1.574e+09 2.048e-01 4.950e+00 9.044e-02 1.000e+00
3.088e-05 1.580e+09 2.056e-01 5.130e+00 1.008e-01 1.000e+00
3.335e-05 1.587e+09 2.065e-01 5.300e+00 1.114e-01 1.000e+00
3.602e-05 1.594e+09 2.074e-01 5.480e+00 1.233e-01 1.000e+00
3.890e-05 1.601e+09 2.084e-01 5.660e+00 1.362e-01 1.000e+00
4.202e-05 1.610e+09 2.095e-01 5.850e+00 1.507e-01 1.000e+00
4.538e-05 1.619e+09 2.107e-01 6.040e+00 1.662e-01 1.000e+00
4.901e-05 1.628e+09 2.119e-01 6.240e+00 1.837e-01 1.000e+00
5.293e-05 1.639e+09 2.133e-01 6.440e+00 2.024e-01 1.000e+00
5.716e-05 1.650e+09 2.147e-01 6.640e+00 2.225e-01 1.000e+00
6.174e-05 1.662e+09 2.163e-01 6.840e+00 2.440e-01 1.000e+00
6.668e-05 1.675e+09 2.180e-01 7.050e+00 2.680e-01 1.000e+00
7.201e-05 1.689e+09 2.198e-01 7.260e+00 2.936e-01 1.000e+00
7.777e-05 1.704e+09 2.217e-01 7.470e+00 3.210e-01 1.000e+00
8.399e-05 1.720e+09 2.238e-01 7.690e+00 3.515e-01 1.000e+00
9.071e-05 1.737e+09 2.261e-01 7.900e+00 3.827e-01 1.000e+00
9.797e-05 1.756e+09 2.285e-01 8.110e+00 4.158e-01 1.000e+00
1.058e-04 1.776e+09 2.311e-01 8.330e+00 4.526e-01 1.000e+00
1.143e-04 1.797e+09 2.339e-01 8.540e+00 4.902e-01 1.000e+00
1.234e-04 1.821e+09 2.369e-01 8.760e+00 5.317e-01 1.000e+00
1.333e-04 1.846e+09 2.402e-01 8.970e+00 5.741e-01 1.000e+00
1.439e-04 1.872e+09 2.437e-01 9.180e+00 6.190e-01 1.000e+00
1.555e-04 1.901e+09 2.474e-01 9.380e+00 6.646e-01 1.000e+00
1.679e-04 1.932e+09 2.515e-01 9.590e+00 7.148e-01 1.000e+00
1.813e-04 1.966e+09 2.558e-01 9.790e+00 7.657e-01 1.000e+00
1.958e-04 2.002e+09 2.605e-01 9.980e+00 8.173e-01 1.000e+00
2.115e-04 2.040e+09 2.655e-01 1.017e+01 8.715e-01 1.000e+00
