# source=A  g_Δ=1.5g
# integrator=rk4  rstep_km=0.01
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm3 radius_km mass_msun stable_flag
3.895583e-13 1.117519e+06 1.454439e-04 8.200000e-01 3.010279e-07 1.000000e+00
4.207230e-13 1.117530e+06 1.454453e-04 8.600000e-01 3.472653e-07 1.000000e+00
4.543808e-13 1.117542e+06 1.454469e-04 8.900000e-01 3.848913e-07 1.000000e+00
4.907313e-13 1.117555e+06 1.454486e-04 9.200000e-01 4.251419e-07 1.000000e+00
5.299898e-13 1.117569e+06 1.454505e-04 9.600000e-01 4.830430e-07 1.000000e+00
5.723889e-13 1.117585e+06 1.454525e-04 1.000000e+00 5.459767e-07 1.000000e+00
6.181801e-13 1.117601e+06 1.454546e-04 1.040000e+00 6.141529e-07 1.000000e+00
6.676345e-13 1.117619e+06 1.454569e-04 1.080000e+00 6.877814e-07 1.000000e+00
7.210452e-13 1.117638e+06 1.454594e-04 1.120000e+00 7.670724e-07 1.000000e+00
7.787288e-13 1.117659e+06 1.454621e-04 1.160000e+00 8.522359e-07 1.000000e+00
8.410271e-13 1.117682e+06 1.454651e-04 1.210000e+00 9.672636e-07 1.000000e+00
9.083093e-13 1.117706e+06 1.454682e-04 1.260000e+00 1.092204e-06 1.000000e+00
9.809740e-13 1.117732e+06 1.454716e-04 1.310000e+00 1.227467e-06 1.000000e+00
1.059452e-12 1.117760e+06 1.454753e-04 1.360000e+00 1.373463e-06 1.000000e+00
1.144208e-12 1.117791e+06 1.454793e-04 1.410000e+00 1.530604e-06 1.000000e+00
1.235745e-12 1.117824e+06 1.454836e-04 1.460000e+00 1.699299e-06 1.000000e+00
1.334604e-12 1.117859e+06 1.454882e-04 1.520000e+00 1.917552e-06 1.000000e+00
1.441373e-12 1.117898e+06 1.454932e-04 1.580000e+00 2.153741e-06 1.000000e+00
1.556683e-12 1.117940e+06 1.454986e-04 1.640000e+00 2.408576e-06 1.000000e+00
1.681217e-12 1.117984e+06 1.455045e-04 1.710000e+00 2.730381e-06 1.000000e+00
1.815715e-12 1.118033e+06 1.455108e-04 1.770000e+00 3.028052e-06 1.000000e+00
1.960972e-12 1.118085e+06 1.455176e-04 1.840000e+00 3.401770e-06 1.000000e+00
2.117849e-12 1.118142e+06 1.455249e-04 1.920000e+00 3.865116e-06 1.000000e+00
2.287277e-12 1.118203e+06 1.455329e-04 1.990000e+00 4.303565e-06 1.000000e+00
2.470260e-12 1.118269e+06 1.455415e-04 2.070000e+00 4.843842e-06 1.000000e+00
2.667880e-12 1.118340e+06 1.455507e-04 2.150000e+00 5.427570e-06 1.000000e+00
2.881311e-12 1.118417e+06 1.455608e-04 2.230000e+00 6.056440e-06 1.000000e+00
3.111816e-12 1.118500e+06 1.455716e-04 2.320000e+00 6.819916e-06 1.000000e+00
3.360761e-12 1.118590e+06 1.455833e-04 2.410000e+00 7.645049e-06 1.000000e+00
3.629622e-12 1.118687e+06 1.455959e-04 2.510000e+00 8.637020e-06 1.000000e+00
3.919991e-12 1.118791e+06 1.456095e-04 2.600000e+00 9.600215e-06 1.000000e+00
4.233591e-12 1.118904e+06 1.456242e-04 2.700000e+00 1.075153e-05 1.000000e+00
4.572278e-12 1.119026e+06 1.456401e-04 2.810000e+00 1.212036e-05 1.000000e+00
4.938060e-12 1.119158e+06 1.456572e-04 2.920000e+00 1.360084e-05 1.000000e+00
5.333105e-12 1.119301e+06 1.456758e-04 3.030000e+00 1.519736e-05 1.000000e+00
5.759753e-12 1.119454e+06 1.456958e-04 3.150000e+00 1.707637e-05 1.000000e+00
6.220534e-12 1.119620e+06 1.457174e-04 3.280000e+00 1.928008e-05 1.000000e+00
6.718176e-12 1.119800e+06 1.457408e-04 3.400000e+00 2.147605e-05 1.000000e+00
7.255631e-12 1.119994e+06 1.457660e-04 3.540000e+00 2.424126e-05 1.000000e+00
7.836081e-12 1.120203e+06 1.457932e-04 3.680000e+00 2.723457e-05 1.000000e+00
8.462967e-12 1.120429e+06 1.458226e-04 3.820000e+00 3.046515e-05 1.000000e+00
9.140005e-12 1.120673e+06 1.458544e-04 3.970000e+00 3.419969e-05 1.000000e+00
9.871205e-12 1.120936e+06 1.458887e-04 4.120000e+00 3.822830e-05 1.000000e+00
1.066090e-11 1.121221e+06 1.459257e-04 4.280000e+00 4.286167e-05 1.000000e+00
1.151377e-11 1.121529e+06 1.459657e-04 4.450000e+00 4.817971e-05 1.000000e+00
1.243488e-11 1.121861e+06 1.460089e-04 4.630000e+00 5.427198e-05 1.000000e+00
1.342967e-11 1.122219e+06 1.460556e-04 4.810000e+00 6.085880e-05 1.000000e+00
1.450404e-11 1.122607e+06 1.461060e-04 4.990000e+00 6.795995e-05 1.000000e+00
1.566436e-11 1.123025e+06 1.461605e-04 5.190000e+00 7.647427e-05 1.000000e+00
1.691751e-11 1.123477e+06 1.462193e-04 5.390000e+00 8.567425e-05 1.000000e+00
1.827091e-11 1.123965e+06 1.462828e-04 5.600000e+00 9.609996e-05 1.000000e+00
1.973259e-11 1.124492e+06 1.463514e-04 5.820000e+00 1.078967e-04 1.000000e+00
