# section=2
# run_id=A
# param_name=gdelta
# param_value=1.5g
# m_delta_mev=500.0
# g_delta_factor=1.5000
# lambda_3_factor=1.0000
# lambda_delta_factor=0.2500
# t_loop4_factor=4.0
# include_omega_1_num=True
# mu_min_mev=250.0
# mu_max_mev=900.0
# num_raw_points=700
# omega_vac_mev4=-5.8164593665e+08
# branch=stable
# columns=mu_q_mev mu_B_mev phi_mev delta_mev gap_mev mu_e_mev mu_8_mev delta_mu_mev gap_minus_delta_mu_mev pressure_mev4 quark_density_mev3 baryon_density_mev3 energy_density_mev4 cs2 omega_min_mev4 phase success neutrality_residual_norm
2.7138769671e+02 8.1416309013e+02 9.2999999841e+01 1.2392554238e-06 5.9963972118e-06 5.1100001133e-01 0.0000000000e+00 2.5550000566e-01 -2.5549400927e-01 4.4584274292e-05 1.9295396255e-03 6.4317987515e-04 5.2360873039e-01 4.9223310479e-04 -5.8164593665e+08 normal 1 3.8909995181e-09
2.5929899857e+02 7.7789699571e+02 9.2999955840e+01 0.0000000000e+00 0.0000000000e+00 9.7931622291e-01 0.0000000000e+00 4.8965811146e-01 -4.8965811146e-01 2.8797388077e-03 2.4243435034e-02 8.0811450115e-03 6.2834186875e+00 4.9222803351e-04 -5.8164593666e+08 normal 1 1.9692708259e-02
2.8068669528e+02 8.4206008584e+02 9.3005642301e+01 9.0524762371e-03 4.3802304373e-02 3.0637266575e+00 0.0000000000e+00 1.5318633287e+00 -1.4880610244e+00 2.9975271225e-01 3.9813706564e+03 1.3271235521e+03 1.1175174725e+06 5.2963304398e-04 -5.8164593695e+08 normal 1 8.5687432991e-01
2.8161659514e+02 8.4484978541e+02 9.2852320585e+01 1.4247842864e+00 6.8941175147e+00 5.0133699006e+00 -3.1936175859e+01 2.5066849503e+00 4.3874325644e+00 7.4055361942e+03 1.6188790790e+04 5.3962635965e+03 4.5516266053e+06 2.9335294590e-03 -5.8165334219e+08 2SC 1 1.5367592767e-07
2.8254649499e+02 8.4763948498e+02 9.2726844954e+01 2.0408104758e+00 9.8748893991e+00 8.0307271468e+00 -3.3050289476e+01 4.0153635734e+00 5.8595258257e+00 3.0108208231e+04 3.5500232378e+04 1.1833410793e+04 1.0000358022e+07 4.6535800823e-03 -5.8167604486e+08 2SC 1 2.1446130118e-08
2.8347639485e+02 8.5042918455e+02 9.2440969391e+01 2.9461168029e+00 1.4255403885e+01 1.2842638146e+01 -3.5337037677e+01 6.4213190732e+00 7.8340848116e+00 7.3428858214e+04 6.3973150017e+04 2.1324383339e+04 1.8061449076e+07 6.2166232661e-03 -5.8171936551e+08 2SC 1 9.1243496571e-07
2.8440629471e+02 8.5321888412e+02 9.2191299291e+01 3.4564452722e+00 1.6724735188e+01 1.5849449759e+01 -3.5959354501e+01 7.9247248793e+00 8.8000103089e+00 1.4908545433e+05 1.0047094551e+05 3.3490315169e+04 2.8425483883e+07 8.1306340314e-03 -5.8179502211e+08 2SC 1 1.3031098964e-07
2.8533619456e+02 8.5600858369e+02 9.1898831683e+01 4.1159661557e+00 1.9915965270e+01 1.9761357504e+01 -3.7415053866e+01 9.8806787521e+00 1.0035286517e+01 2.6028469392e+05 1.4331600948e+05 4.7772003160e+04 4.0632960071e+07 9.5725430424e-03 -5.8190622135e+08 2SC 1 1.3876655913e-06
2.8626609442e+02 8.5879828326e+02 9.1423815059e+01 4.9361963294e+00 2.3884820949e+01 2.4768584339e+01 -3.9299486866e+01 1.2384292169e+01 1.1500528779e+01 4.1562452775e+05 1.9683765358e+05 6.5612551192e+04 5.5932321797e+07 1.0752160750e-02 -5.8206156118e+08 2SC 1 9.7200754877e-06
2.8719599428e+02 8.6158798283e+02 9.0951261687e+01 5.6015408413e+00 2.7104229877e+01 2.9046769119e+01 -4.0490404301e+01 1.4523384559e+01 1.2580845318e+01 6.2636330572e+05 2.6090131554e+05 8.6967105179e+04 7.4303449418e+07 1.2059184039e-02 -5.8227229996e+08 2SC 1 2.2465161662e-06
2.8812589413e+02 8.6437768240e+02 9.0430172083e+01 6.2790307652e+00 3.0382406928e+01 3.3481373932e+01 -4.1729931616e+01 1.6740686966e+01 1.3641719962e+01 9.0084871974e+05 3.3574009533e+05 1.1191336511e+05 9.5834566444e+07 1.3273478094e-02 -5.8254678537e+08 2SC 1 4.3800016875e-06
2.8905579399e+02 8.6716738197e+02 8.9740013301e+01 7.0754714330e+00 3.4236152095e+01 3.8743612291e+01 -4.3256852608e+01 1.9371806145e+01 1.4864345950e+01 1.2507726390e+06 4.2303739398e+05 1.4101246466e+05 1.2103063717e+08 1.4244634008e-02 -5.8289670929e+08 2SC 1 8.5851624350e-06
2.8998569385e+02 8.6995708155e+02 8.9043346003e+01 7.7417082678e+00 3.7459878715e+01 4.3394606728e+01 -4.4159469924e+01 2.1697303364e+01 1.5762575351e+01 1.6876135440e+06 5.2590122053e+05 1.7530040684e+05 1.5081621679e+08 1.4987708355e-02 -5.8333355020e+08 2SC 1 4.0479500192e-06
2.9091559371e+02 8.7274678112e+02 8.7894341178e+01 8.7457185033e+00 4.2317992758e+01 5.0298087804e+01 -4.5859517171e+01 2.5149043902e+01 1.7168948856e+01 2.2288435784e+06 6.4714076861e+05 2.1571358954e+05 1.8603449733e+08 1.5769559124e-02 -5.8387478023e+08 2SC 1 4.7801160107e-07
