# source=B  g_Δ=2.5g
# integrator=rk4  rstep_km=0.01
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm3 radius_km mass_msun stable_flag
7.848950e-09 3.656061e+06 4.758324e-04 3.000000e+01 3.857724e-02 1.000000e+00
8.476866e-09 3.826454e+06 4.980088e-04 3.000000e+01 3.996891e-02 1.000000e+00
9.155015e-09 4.011034e+06 5.220318e-04 3.000000e+01 4.144488e-02 1.000000e+00
9.887417e-09 4.210936e+06 5.480487e-04 3.000000e+01 4.300778e-02 1.000000e+00
1.067841e-08 4.427353e+06 5.762153e-04 3.000000e+01 4.465995e-02 1.000000e+00
1.153268e-08 4.661543e+06 6.066948e-04 3.000000e+01 4.640341e-02 1.000000e+00
1.245530e-08 4.914811e+06 6.396573e-04 3.000000e+01 4.823977e-02 1.000000e+00
1.345172e-08 5.188497e+06 6.752773e-04 3.000000e+01 5.017023e-02 1.000000e+00
1.452786e-08 5.483956e+06 7.137310e-04 3.000000e+01 5.219556e-02 1.000000e+00
1.569009e-08 5.802524e+06 7.551923e-04 3.000000e+01 5.431614e-02 1.000000e+00
1.694529e-08 6.145478e+06 7.998273e-04 3.000000e+01 5.653193e-02 1.000000e+00
1.830092e-08 6.513974e+06 8.477867e-04 3.000000e+01 5.884265e-02 1.000000e+00
1.976499e-08 6.908972e+06 8.991953e-04 3.000000e+01 6.124784e-02 1.000000e+00
2.134619e-08 7.331126e+06 9.541382e-04 3.000000e+01 6.374713e-02 1.000000e+00
2.305389e-08 7.780650e+06 1.012643e-03 3.000000e+01 6.634046e-02 1.000000e+00
2.489820e-08 8.257130e+06 1.074657e-03 3.000000e+01 6.902855e-02 1.000000e+00
2.689005e-08 8.759285e+06 1.140011e-03 3.000000e+01 7.181336e-02 1.000000e+00
2.904126e-08 9.284659e+06 1.208388e-03 3.000000e+01 7.469881e-02 1.000000e+00
3.136456e-08 9.829214e+06 1.279262e-03 3.000000e+01 7.769169e-02 1.000000e+00
3.387372e-08 1.038765e+07 1.351942e-03 3.000000e+01 8.080265e-02 1.000000e+00
3.658362e-08 1.095665e+07 1.425996e-03 3.000000e+01 8.404514e-02 1.000000e+00
3.951031e-08 1.153334e+07 1.501052e-03 3.000000e+01 8.743376e-02 1.000000e+00
4.267113e-08 1.211458e+07 1.576699e-03 3.000000e+01 9.098477e-02 1.000000e+00
4.608483e-08 1.269694e+07 1.652493e-03 3.000000e+01 9.471645e-02 1.000000e+00
4.977161e-08 1.327695e+07 1.727981e-03 3.000000e+01 9.864942e-02 1.000000e+00
5.375334e-08 1.385128e+07 1.802729e-03 3.000000e+01 1.028067e-01 1.000000e+00
5.805361e-08 1.441712e+07 1.876373e-03 3.000000e+01 1.072133e-01 1.000000e+00
6.269790e-08 1.497269e+07 1.948680e-03 3.000000e+01 1.118960e-01 1.000000e+00
6.771373e-08 1.551792e+07 2.019641e-03 3.000000e+01 1.168812e-01 1.000000e+00
7.313083e-08 1.605549e+07 2.089604e-03 3.000000e+01 1.221933e-01 1.000000e+00
7.898129e-08 1.659213e+07 2.159448e-03 3.000000e+01 1.278499e-01 1.000000e+00
8.529980e-08 1.714047e+07 2.230814e-03 3.000000e+01 1.338566e-01 1.000000e+00
9.212378e-08 1.772146e+07 2.306429e-03 3.000000e+01 1.401989e-01 1.000000e+00
9.949368e-08 1.836288e+07 2.389909e-03 3.000000e+01 1.468327e-01 1.000000e+00
1.074532e-07 1.907743e+07 2.482907e-03 3.000000e+01 1.536953e-01 1.000000e+00
1.160494e-07 1.987086e+07 2.586172e-03 3.000000e+01 1.607258e-01 1.000000e+00
1.253334e-07 2.074840e+07 2.700382e-03 3.000000e+01 1.678704e-01 1.000000e+00
1.353601e-07 2.171428e+07 2.826090e-03 3.000000e+01 1.750847e-01 1.000000e+00
1.461889e-07 2.277111e+07 2.963636e-03 3.000000e+01 1.823357e-01 1.000000e+00
1.578840e-07 2.391906e+07 3.113039e-03 3.000000e+01 1.896036e-01 1.000000e+00
1.705147e-07 2.515464e+07 3.273849e-03 3.000000e+01 1.968832e-01 1.000000e+00
1.841559e-07 2.646925e+07 3.444944e-03 3.000000e+01 2.041846e-01 1.000000e+00
1.988883e-07 2.785065e+07 3.624733e-03 3.000000e+01 2.115338e-01 1.000000e+00
2.147994e-07 2.929642e+07 3.812897e-03 3.000000e+01 2.189645e-01 1.000000e+00
2.319833e-07 3.080786e+07 4.009610e-03 3.000000e+01 2.265088e-01 1.000000e+00
2.505420e-07 3.238675e+07 4.215101e-03 3.000000e+01 2.341959e-01 1.000000e+00
2.705854e-07 3.403571e+07 4.429711e-03 3.000000e+01 2.420523e-01 1.000000e+00
2.922322e-07 3.575867e+07 4.653953e-03 3.000000e+01 2.501014e-01 1.000000e+00
3.156108e-07 3.756160e+07 4.888602e-03 3.000000e+01 2.583628e-01 1.000000e+00
3.408596e-07 3.945280e+07 5.134740e-03 3.000000e+01 2.668510e-01 1.000000e+00
3.681284e-07 4.143864e+07 5.393194e-03 3.000000e+01 2.755766e-01 1.000000e+00
3.975787e-07 4.352500e+07 5.664732e-03 3.000000e+01 2.845479e-01 1.000000e+00
4.293850e-07 4.571995e+07 5.950402e-03 3.000000e+01 2.937707e-01 1.000000e+00
4.637358e-07 4.803474e+07 6.251670e-03 3.000000e+01 3.032465e-01 1.000000e+00
5.008346e-07 5.048513e+07 6.570585e-03 3.000000e+01 3.129707e-01 1.000000e+00
5.409014e-07 5.309208e+07 6.909878e-03 3.000000e+01 3.229302e-01 1.000000e+00
5.841735e-07 5.587403e+07 7.271946e-03 3.000000e+01 3.331035e-01 1.000000e+00
6.309074e-07 5.884898e+07 7.659132e-03 3.000000e+01 3.434647e-01 1.000000e+00
6.813800e-07 6.203948e+07 8.074372e-03 3.000000e+01 3.539824e-01 1.000000e+00
7.358904e-07 6.547418e+07 8.521395e-03 3.000000e+01 3.646177e-01 1.000000e+00
7.947616e-07 6.918799e+07 9.004743e-03 3.000000e+01 3.753229e-01 1.000000e+00
8.583426e-07 7.319463e+07 9.526203e-03 3.000000e+01 3.860459e-01 1.000000e+00
