# source=G  λ₃=0
# integrator=rk4  rstep_km=0.01
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm3 radius_km mass_msun stable_flag
7.388522e-10 3.172074e+06 4.128420e-04 1.287000e+01 3.191394e-03 1.000000e+00
7.979603e-10 3.186312e+06 4.146951e-04 1.334000e+01 3.560239e-03 1.000000e+00
8.617972e-10 3.201699e+06 4.166977e-04 1.382000e+01 3.966164e-03 1.000000e+00
9.307409e-10 3.218327e+06 4.188619e-04 1.432000e+01 4.421383e-03 1.000000e+00
1.005200e-09 3.236299e+06 4.212008e-04 1.483000e+01 4.921666e-03 1.000000e+00
1.085616e-09 3.255722e+06 4.237288e-04 1.535000e+01 5.470871e-03 1.000000e+00
1.172466e-09 3.276717e+06 4.264612e-04 1.589000e+01 6.084234e-03 1.000000e+00
1.266263e-09 3.299410e+06 4.294147e-04 1.645000e+01 6.768586e-03 1.000000e+00
1.367564e-09 3.323941e+06 4.326073e-04 1.702000e+01 7.518684e-03 1.000000e+00
1.476969e-09 3.350460e+06 4.360588e-04 1.760000e+01 8.340020e-03 1.000000e+00
1.595126e-09 3.379130e+06 4.397902e-04 1.819000e+01 9.238517e-03 1.000000e+00
1.722736e-09 3.410128e+06 4.438245e-04 1.880000e+01 1.023607e-02 1.000000e+00
1.860555e-09 3.443645e+06 4.481867e-04 1.943000e+01 1.134268e-02 1.000000e+00
2.009400e-09 3.479888e+06 4.529036e-04 2.006000e+01 1.253390e-02 1.000000e+00
2.170152e-09 3.519081e+06 4.580046e-04 2.071000e+01 1.385223e-02 1.000000e+00
2.343764e-09 3.561468e+06 4.635213e-04 2.136000e+01 1.527000e-02 1.000000e+00
2.531265e-09 3.607313e+06 4.694879e-04 2.203000e+01 1.683564e-02 1.000000e+00
2.733766e-09 3.656901e+06 4.759418e-04 2.271000e+01 1.854062e-02 1.000000e+00
2.952468e-09 3.710542e+06 4.829230e-04 2.339000e+01 2.037197e-02 1.000000e+00
3.188665e-09 3.768570e+06 4.904754e-04 2.408000e+01 2.236259e-02 1.000000e+00
3.443758e-09 3.831350e+06 4.986461e-04 2.477000e+01 2.449794e-02 1.000000e+00
3.719259e-09 3.899274e+06 5.074863e-04 2.547000e+01 2.681499e-02 1.000000e+00
4.016800e-09 3.972767e+06 5.170514e-04 2.617000e+01 2.929742e-02 1.000000e+00
4.338144e-09 4.052290e+06 5.274012e-04 2.688000e+01 3.198646e-02 1.000000e+00
4.685195e-09 4.138341e+06 5.386006e-04 2.758000e+01 3.483028e-02 1.000000e+00
5.060011e-09 4.231454e+06 5.507192e-04 2.827000e+01 3.783414e-02 1.000000e+00
5.464812e-09 4.332211e+06 5.638326e-04 2.897000e+01 4.107695e-02 1.000000e+00
5.901996e-09 4.441234e+06 5.780218e-04 2.965000e+01 4.445879e-02 1.000000e+00
6.374156e-09 4.559193e+06 5.933741e-04 3.000000e+01 4.673715e-02 1.000000e+00
6.884089e-09 4.686807e+06 6.099828e-04 3.000000e+01 4.771682e-02 1.000000e+00
7.434816e-09 4.824843e+06 6.279481e-04 3.000000e+01 4.876214e-02 1.000000e+00
8.029601e-09 4.974121e+06 6.473765e-04 3.000000e+01 4.987637e-02 1.000000e+00
8.671969e-09 5.135508e+06 6.683808e-04 3.000000e+01 5.106274e-02 1.000000e+00
9.365727e-09 5.309919e+06 6.910803e-04 3.000000e+01 5.232445e-02 1.000000e+00
1.011498e-08 5.498315e+06 7.155998e-04 3.000000e+01 5.366463e-02 1.000000e+00
1.092418e-08 5.701691e+06 7.420689e-04 3.000000e+01 5.508630e-02 1.000000e+00
1.179812e-08 5.921067e+06 7.706205e-04 3.000000e+01 5.659237e-02 1.000000e+00
1.274197e-08 6.157476e+06 8.013888e-04 3.000000e+01 5.818562e-02 1.000000e+00
1.376133e-08 6.411937e+06 8.345067e-04 3.000000e+01 5.986866e-02 1.000000e+00
1.486223e-08 6.685428e+06 8.701012e-04 3.000000e+01 6.164399e-02 1.000000e+00
1.605121e-08 6.978843e+06 9.082889e-04 3.000000e+01 6.351401e-02 1.000000e+00
1.733531e-08 7.292939e+06 9.491681e-04 3.000000e+01 6.548107e-02 1.000000e+00
1.872213e-08 7.628258e+06 9.928096e-04 3.000000e+01 6.754761e-02 1.000000e+00
2.021990e-08 7.985036e+06 1.039244e-03 3.000000e+01 6.971627e-02 1.000000e+00
2.183749e-08 8.363069e+06 1.088444e-03 3.000000e+01 7.199018e-02 1.000000e+00
2.358449e-08 8.761555e+06 1.140307e-03 3.000000e+01 7.437324e-02 1.000000e+00
2.547125e-08 9.178874e+06 1.194621e-03 3.000000e+01 7.687058e-02 1.000000e+00
2.750895e-08 9.612311e+06 1.251032e-03 3.000000e+01 7.948918e-02 1.000000e+00
2.970967e-08 1.005797e+07 1.309034e-03 3.000000e+01 8.223861e-02 1.000000e+00
3.208644e-08 1.051291e+07 1.368243e-03 3.000000e+01 8.513090e-02 1.000000e+00
3.465336e-08 1.097481e+07 1.428359e-03 3.000000e+01 8.817932e-02 1.000000e+00
3.742563e-08 1.144105e+07 1.489040e-03 3.000000e+01 9.139851e-02 1.000000e+00
4.041968e-08 1.190871e+07 1.549906e-03 3.000000e+01 9.480482e-02 1.000000e+00
4.365325e-08 1.237465e+07 1.610548e-03 3.000000e+01 9.841659e-02 1.000000e+00
4.714551e-08 1.283565e+07 1.670546e-03 3.000000e+01 1.022543e-01 1.000000e+00
5.091715e-08 1.328859e+07 1.729495e-03 3.000000e+01 1.063402e-01 1.000000e+00
5.499052e-08 1.373078e+07 1.787046e-03 3.000000e+01 1.106985e-01 1.000000e+00
5.938977e-08 1.416039e+07 1.842959e-03 3.000000e+01 1.153537e-01 1.000000e+00
6.414095e-08 1.457704e+07 1.897187e-03 3.000000e+01 1.203293e-01 1.000000e+00
6.927222e-08 1.498270e+07 1.949982e-03 3.000000e+01 1.256449e-01 1.000000e+00
7.481400e-08 1.538276e+07 2.002050e-03 3.000000e+01 1.313120e-01 1.000000e+00
8.079912e-08 1.578770e+07 2.054752e-03 3.000000e+01 1.373273e-01 1.000000e+00
8.726305e-08 1.621507e+07 2.110375e-03 3.000000e+01 1.436655e-01 1.000000e+00
9.424409e-08 1.668577e+07 2.171635e-03 3.000000e+01 1.502721e-01 1.000000e+00
1.017836e-07 1.720801e+07 2.239603e-03 3.000000e+01 1.570772e-01 1.000000e+00
1.099263e-07 1.778735e+07 2.315005e-03 3.000000e+01 1.640119e-01 1.000000e+00
1.187204e-07 1.842985e+07 2.398625e-03 3.000000e+01 1.710126e-01 1.000000e+00
1.282180e-07 1.914196e+07 2.491306e-03 3.000000e+01 1.780263e-01 1.000000e+00
1.384755e-07 1.993059e+07 2.593945e-03 3.000000e+01 1.850161e-01 1.000000e+00
1.495535e-07 2.080292e+07 2.707478e-03 3.000000e+01 1.919645e-01 1.000000e+00
1.615178e-07 2.176636e+07 2.832868e-03 3.000000e+01 1.988718e-01 1.000000e+00
1.744392e-07 2.282829e+07 2.971077e-03 3.000000e+01 2.057528e-01 1.000000e+00
1.883944e-07 2.399566e+07 3.123009e-03 3.000000e+01 2.126327e-01 1.000000e+00
2.034659e-07 2.527435e+07 3.289429e-03 3.000000e+01 2.195438e-01 1.000000e+00
2.197432e-07 2.666868e+07 3.470900e-03 3.000000e+01 2.265213e-01 1.000000e+00
2.373227e-07 2.818060e+07 3.667675e-03 3.000000e+01 2.336003e-01 1.000000e+00
2.563085e-07 2.980853e+07 3.879548e-03 3.000000e+01 2.408142e-01 1.000000e+00
2.768131e-07 3.154581e+07 4.105653e-03 3.000000e+01 2.481951e-01 1.000000e+00
2.989582e-07 3.337942e+07 4.344295e-03 3.000000e+01 2.557762e-01 1.000000e+00
3.228749e-07 3.529874e+07 4.594093e-03 3.000000e+01 2.635923e-01 1.000000e+00
3.487048e-07 3.729618e+07 4.854058e-03 3.000000e+01 2.716758e-01 1.000000e+00
3.766012e-07 3.936025e+07 5.122694e-03 3.000000e+01 2.800591e-01 1.000000e+00
4.067293e-07 4.147425e+07 5.397830e-03 3.000000e+01 2.887790e-01 1.000000e+00
4.392677e-07 4.361480e+07 5.676419e-03 3.000000e+01 2.978814e-01 1.000000e+00
4.744091e-07 4.575156e+07 5.954517e-03 3.000000e+01 3.074265e-01 1.000000e+00
5.123618e-07 4.787540e+07 6.230932e-03 3.000000e+01 3.174862e-01 1.000000e+00
5.533508e-07 5.000969e+07 6.508707e-03 3.000000e+01 3.281208e-01 1.000000e+00
5.976188e-07 5.219903e+07 6.793648e-03 3.000000e+01 3.393648e-01 1.000000e+00
6.454283e-07 5.451716e+07 7.095350e-03 3.000000e+01 3.512106e-01 1.000000e+00
6.970626e-07 5.707622e+07 7.428409e-03 3.000000e+01 3.635857e-01 1.000000e+00
7.528276e-07 5.995789e+07 7.803455e-03 3.000000e+01 3.763494e-01 1.000000e+00
8.130538e-07 6.315248e+07 8.219227e-03 3.000000e+01 3.893642e-01 1.000000e+00
8.780981e-07 6.662038e+07 8.670571e-03 3.000000e+01 4.025381e-01 1.000000e+00
9.483460e-07 7.028770e+07 9.147869e-03 3.000000e+01 4.158373e-01 1.000000e+00
1.024214e-06 7.406762e+07 9.639822e-03 3.000000e+01 4.292964e-01 1.000000e+00
1.106151e-06 7.795685e+07 1.014600e-02 3.000000e+01 4.429771e-01 1.000000e+00
1.194643e-06 8.198530e+07 1.067030e-02 3.000000e+01 4.569228e-01 1.000000e+00
1.290214e-06 8.620265e+07 1.121918e-02 3.000000e+01 4.711501e-01 1.000000e+00
1.393431e-06 9.066860e+07 1.180042e-02 3.000000e+01 4.856417e-01 1.000000e+00
1.504906e-06 9.539871e+07 1.241604e-02 3.000000e+01 5.003647e-01 1.000000e+00
1.625298e-06 1.003928e+08 1.306601e-02 3.000000e+01 5.152932e-01 1.000000e+00
1.755322e-06 1.056464e+08 1.374977e-02 3.000000e+01 5.304111e-01 1.000000e+00
1.895748e-06 1.111767e+08 1.446952e-02 3.000000e+01 5.457083e-01 1.000000e+00
2.047408e-06 1.170409e+08 1.523275e-02 3.000000e+01 5.611605e-01 1.000000e+00
2.211200e-06 1.233240e+08 1.605049e-02 3.000000e+01 5.767156e-01 1.000000e+00
2.388096e-06 1.300538e+08 1.692636e-02 3.000000e+01 5.922974e-01 1.000000e+00
2.579144e-06 1.369963e+08 1.782992e-02 3.000000e+01 6.078936e-01 1.000000e+00
2.785476e-06 1.437416e+08 1.870782e-02 3.000000e+01 6.236461e-01 1.000000e+00
3.008314e-06 1.500426e+08 1.952789e-02 3.000000e+01 6.398633e-01 1.000000e+00
3.248979e-06 1.566338e+08 2.038572e-02 3.000000e+01 6.567318e-01 1.000000e+00
3.508897e-06 1.648524e+08 2.145537e-02 3.000000e+01 6.739669e-01 1.000000e+00
