# section=2
# run_id=G
# param_name=lam3
# param_value=0
# m_delta_mev=500.0
# g_delta_factor=2.0000
# lambda_3_factor=0.0000
# lambda_delta_factor=0.2500
# t_loop4_factor=4.0
# include_omega_1_num=True
# mu_min_mev=250.0
# mu_max_mev=900.0
# num_raw_points=700
# omega_vac_mev4=-5.8164593665e+08
# branch=stable
# columns=mu_q_mev mu_B_mev phi_mev delta_mev gap_mev mu_e_mev mu_8_mev delta_mu_mev gap_minus_delta_mu_mev pressure_mev4 quark_density_mev3 baryon_density_mev3 energy_density_mev4 cs2 omega_min_mev4 phase success neutrality_residual_norm
2.7045779685e+02 8.1137339056e+02 9.2998739818e+01 2.2315546968e-01 1.4397127076e+00 5.1100025867e-01 -4.4741143361e+01 2.5550012934e-01 1.1842125782e+00 5.6852322853e+02 1.1724123112e+04 3.9080410374e+03 3.1703119837e+06 1.3127572251e-03 -5.8164650518e+08 2SC 1 4.2427238677e-12
2.7138769671e+02 8.1416309013e+02 9.2579692673e+01 2.3175231168e+00 1.4951762044e+01 9.8401125458e+00 -5.0967269497e+01 4.9200562729e+00 1.0031705771e+01 2.1804520809e+04 3.5916348514e+04 1.1972116171e+04 9.7254505767e+06 5.1664338033e-03 -5.8166774117e+08 2SC 1 6.7493880847e-07
2.7231759657e+02 8.1695278970e+02 9.2487069465e+01 2.5186915080e+00 1.6249622633e+01 1.1078742705e+01 -5.0428211758e+01 5.5393713523e+00 1.0710251280e+01 6.7365737919e+04 5.9650258835e+04 1.9883419612e+04 1.6176449383e+07 8.6908840745e-03 -5.8171330239e+08 2SC 1 3.0726044316e-07
2.7324749642e+02 8.1974248927e+02 9.2327309778e+01 3.0557510195e+00 1.9714522706e+01 1.4196269322e+01 -5.1576633310e+01 7.0981346608e+00 1.2616388045e+01 1.3274205512e+05 8.2929171076e+04 2.7643057025e+04 2.2527446322e+07 9.8406636810e-03 -5.8177867871e+08 2SC 1 2.3058527140e-06
2.7417739628e+02 8.2253218884e+02 9.1849318252e+01 3.9326970209e+00 2.5372238845e+01 1.9512665908e+01 -5.3640839428e+01 9.7563329538e+00 1.5615905891e+01 2.2159738656e+05 1.1840019146e+05 3.9466730485e+04 3.2241058826e+07 9.8228330431e-03 -5.8186753404e+08 2SC 1 5.4304906226e-07
2.7510729614e+02 8.2532188841e+02 9.1849318252e+01 3.9326970209e+00 2.5372238845e+01 1.9765270306e+01 -5.2523654282e+01 9.8826351531e+00 1.5489603692e+01 3.5294269732e+05 1.6318920345e+05 5.4396401151e+04 4.4541597823e+07 1.2926846551e-02 -5.8199887935e+08 2SC 1 1.0661926980e-06
2.7603719599e+02 8.2811158798e+02 9.1391158116e+01 4.7153412670e+00 3.0421556561e+01 2.4726406191e+01 -5.4437900908e+01 1.2363203096e+01 1.8058353465e+01 5.2509662045e+05 2.0477962416e+05 6.8259874721e+04 5.6001696630e+07 1.4935433365e-02 -5.8217103327e+08 2SC 1 5.9668467765e-06
2.7696709585e+02 8.3090128755e+02 9.0812325853e+01 5.2649410287e+00 3.3967361476e+01 2.8640288430e+01 -5.4698530665e+01 1.4320144215e+01 1.9647217261e+01 7.3379178374e+05 2.5565798152e+05 8.5219327173e+04 7.0075056889e+07 1.5688385820e-02 -5.8237972844e+08 2SC 1 1.5674023025e-06
2.7789699571e+02 8.3369098712e+02 9.0596784420e+01 5.7057036202e+00 3.6810991098e+01 3.1576130994e+01 -5.5652835209e+01 1.5788065497e+01 2.1022925601e+01 1.0005692613e+06 3.1336478344e+05 1.0445492781e+05 8.6082562617e+07 1.7538750422e-02 -5.8264650592e+08 2SC 1 4.4407688887e-06
2.7882689557e+02 8.3648068670e+02 9.0038906367e+01 6.5026054060e+00 4.1952292942e+01 3.6792913516e+01 -5.7705711817e+01 1.8396456758e+01 2.3555836184e+01 1.3165875183e+06 3.7481082994e+05 1.2493694331e+05 1.0319075262e+08 1.9167447189e-02 -5.8296252417e+08 2SC 1 4.2324353505e-07
