# source=E  λ_Δ=λ₀/8
# integrator=rk4  rstep_km=0.01
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm3 radius_km mass_msun stable_flag
1.339119e-11 1.005493e+06 1.308638e-04 5.360000e+00 7.542235e-05 1.000000e+00
1.446249e-11 1.005897e+06 1.309164e-04 5.570000e+00 8.465255e-05 1.000000e+00
1.561949e-11 1.006332e+06 1.309731e-04 5.780000e+00 9.460988e-05 1.000000e+00
1.686905e-11 1.006803e+06 1.310344e-04 6.010000e+00 1.063787e-04 1.000000e+00
1.821857e-11 1.007312e+06 1.311005e-04 6.240000e+00 1.190898e-04 1.000000e+00
1.967606e-11 1.007861e+06 1.311720e-04 6.480000e+00 1.333957e-04 1.000000e+00
2.125014e-11 1.008454e+06 1.312492e-04 6.730000e+00 1.494738e-04 1.000000e+00
2.295015e-11 1.009095e+06 1.313326e-04 7.000000e+00 1.682359e-04 1.000000e+00
2.478616e-11 1.009787e+06 1.314226e-04 7.270000e+00 1.885156e-04 1.000000e+00
2.676906e-11 1.010534e+06 1.315199e-04 7.550000e+00 2.112099e-04 1.000000e+00
2.891058e-11 1.011341e+06 1.316249e-04 7.840000e+00 2.365710e-04 1.000000e+00
3.122343e-11 1.012213e+06 1.317384e-04 8.140000e+00 2.648733e-04 1.000000e+00
3.372130e-11 1.013154e+06 1.318609e-04 8.460000e+00 2.974631e-04 1.000000e+00
3.641901e-11 1.014171e+06 1.319933e-04 8.780000e+00 3.326476e-04 1.000000e+00
3.933253e-11 1.015269e+06 1.321362e-04 9.120000e+00 3.729682e-04 1.000000e+00
4.247913e-11 1.016455e+06 1.322906e-04 9.470000e+00 4.177732e-04 1.000000e+00
4.587746e-11 1.017737e+06 1.324573e-04 9.840000e+00 4.689094e-04 1.000000e+00
4.954766e-11 1.019120e+06 1.326374e-04 1.022000e+01 5.256410e-04 1.000000e+00
5.351147e-11 1.020615e+06 1.328320e-04 1.061000e+01 5.884878e-04 1.000000e+00
5.779239e-11 1.022229e+06 1.330421e-04 1.101000e+01 6.580098e-04 1.000000e+00
6.241578e-11 1.023973e+06 1.332690e-04 1.143000e+01 7.367233e-04 1.000000e+00
6.740904e-11 1.025856e+06 1.335141e-04 1.187000e+01 8.257161e-04 1.000000e+00
7.280176e-11 1.027891e+06 1.337789e-04 1.232000e+01 9.239623e-04 1.000000e+00
7.862591e-11 1.030088e+06 1.340649e-04 1.278000e+01 1.032267e-03 1.000000e+00
8.491598e-11 1.032462e+06 1.343738e-04 1.327000e+01 1.156650e-03 1.000000e+00
9.170926e-11 1.035025e+06 1.347074e-04 1.377000e+01 1.293657e-03 1.000000e+00
9.904600e-11 1.037794e+06 1.350678e-04 1.428000e+01 1.444352e-03 1.000000e+00
1.069697e-10 1.040786e+06 1.354571e-04 1.482000e+01 1.616304e-03 1.000000e+00
1.155273e-10 1.044017e+06 1.358777e-04 1.537000e+01 1.805257e-03 1.000000e+00
1.247694e-10 1.047507e+06 1.363319e-04 1.594000e+01 2.016322e-03 1.000000e+00
1.347510e-10 1.051277e+06 1.368226e-04 1.653000e+01 2.251816e-03 1.000000e+00
1.455311e-10 1.055350e+06 1.373527e-04 1.714000e+01 2.514268e-03 1.000000e+00
