# section=2
# run_id=E
# param_name=lamdelta
# param_value=lam0div8
# m_delta_mev=500.0
# g_delta_factor=2.0000
# lambda_3_factor=1.0000
# lambda_delta_factor=0.1250
# t_loop4_factor=4.0
# include_omega_1_num=True
# mu_min_mev=250.0
# mu_max_mev=900.0
# num_raw_points=700
# omega_vac_mev4=-5.8164593665e+08
# branch=stable
# columns=mu_q_mev mu_B_mev phi_mev delta_mev gap_mev mu_e_mev mu_8_mev delta_mu_mev gap_minus_delta_mu_mev pressure_mev4 quark_density_mev3 baryon_density_mev3 energy_density_mev4 cs2 omega_min_mev4 phase success neutrality_residual_norm
2.6766809728e+02 8.0300429185e+02 9.2999966424e+01 0.0000000000e+00 0.0000000000e+00 1.8784187595e+00 0.0000000000e+00 9.3920937973e-01 -9.3920937973e-01 8.3956718445e-02 4.3774833413e-01 1.4591611138e-01 1.1708730697e+02 4.0291844939e-02 -5.8164593674e+08 normal 1 1.9946637905e-01
2.6859799714e+02 8.0579399142e+02 9.3000979531e+01 6.9366513673e-03 4.4752589467e-02 2.4170892676e+00 0.0000000000e+00 1.2085446338e+00 -1.1637920443e+00 8.1498694420e-01 5.1724898182e-01 1.7241632727e-01 1.3811705360e+02 2.9231600936e-02 -5.8164593747e+08 normal 1 4.0233141566e-01
2.6952789700e+02 8.0858369099e+02 9.3000979535e+01 6.9366513670e-03 4.4752589465e-02 5.1100001303e-01 0.0000000000e+00 2.5550000651e-01 -2.1074741705e-01 1.0459362268e+00 8.9699081540e-01 2.9899693847e-01 2.4071811187e+02 1.1548388705e-02 -5.8164593770e+08 normal 1 1.4628989807e-01
2.7045779685e+02 8.1137339056e+02 9.2998805670e+01 9.1103312411e-03 5.8776330588e-02 5.1100000000e-01 0.0000000000e+00 2.5550000000e-01 -1.9672366941e-01 2.4832102060e+00 1.1854835580e+00 3.9516118600e-01 3.1814006109e+02 3.8765532604e-02 -5.8164593914e+08 normal 1 2.5765841002e-01
2.7231759657e+02 8.1695278970e+02 9.2999147461e+01 9.1102977595e-03 5.8776114578e-02 5.1100000000e-01 0.0000000000e+00 2.5550000000e-01 -1.9672388542e-01 3.9145599604e+00 1.2950661919e+00 4.3168873062e-01 3.4875475281e+02 6.0023671159e-02 -5.8164594057e+08 normal 1 2.6893687648e-01
2.7324749642e+02 8.1974248927e+02 9.3000308459e+01 9.9965156260e-03 6.4493649200e-02 5.1100003323e-01 0.0000000000e+00 2.5550001661e-01 -1.9100636741e-01 5.6592619419e+00 1.3873336065e+00 4.6244453549e-01 3.7342617273e+02 7.0715798416e-02 -5.8164594231e+08 normal 1 3.3104741382e-01
2.7789699571e+02 8.3369098712e+02 9.3000308459e+01 9.9965156260e-03 6.4493649200e-02 3.0655439597e+00 0.0000000000e+00 1.5327719798e+00 -1.4682783306e+00 1.0304097414e+01 3.6180791180e+03 1.2060263727e+03 1.0054430130e+06 4.8959367850e-04 -5.8164594696e+08 normal 1 8.3562422094e-01
2.7882689557e+02 8.3648068670e+02 9.2808041205e+01 1.2317150033e+00 7.9465484081e+00 5.0565823732e+00 -3.5950802295e+01 2.5282911866e+00 5.4182572215e+00 6.7383982090e+03 1.5325855688e+04 5.1086185626e+03 4.2665223651e+06 2.8618526590e-03 -5.8165267505e+08 2SC 1 4.3648097739e-08
2.7975679542e+02 8.3927038627e+02 9.2634176287e+01 1.8889670907e+00 1.2186884456e+01 8.8158593929e+00 -3.7604919746e+01 4.4079296965e+00 7.7789547600e+00 2.8513326121e+04 3.4118783436e+04 1.1372927812e+04 9.5164481915e+06 4.5366834139e-03 -5.8167444998e+08 2SC 1 1.1216588576e-06
2.8068669528e+02 8.4206008584e+02 9.2560324265e+01 2.0352790669e+00 1.3130832690e+01 9.8496370213e+00 -3.6935099529e+01 4.9248185106e+00 8.2060141791e+00 7.0192501881e+04 6.3055711046e+04 2.1018570349e+04 1.7628706650e+07 6.1422149851e-03 -5.8171612916e+08 2SC 1 3.3024561723e-07
2.8161659514e+02 8.4484978541e+02 9.2168724969e+01 2.9806772877e+00 1.9230176050e+01 1.5868861348e+01 -4.0055790466e+01 7.9344306740e+00 1.1295745376e+01 1.4578431948e+05 9.9359787184e+04 3.3119929061e+04 2.7835580641e+07 8.4284188716e-03 -5.8179172097e+08 2SC 1 1.4634477032e-07
2.8254649499e+02 8.4763948498e+02 9.1819525569e+01 3.5020319871e+00 2.2593754756e+01 1.9542943985e+01 -4.0976610636e+01 9.7714719927e+00 1.2822282763e+01 2.5498180566e+05 1.3979801615e+05 4.6599338716e+04 3.9244457664e+07 1.0043434969e-02 -5.8190091846e+08 2SC 1 2.2203317869e-06
2.8347639485e+02 8.5042918455e+02 9.1391463405e+01 3.9745950727e+00 2.5642548856e+01 2.3104543792e+01 -4.1462007415e+01 1.1552271896e+01 1.4090276960e+01 4.0578062991e+05 1.8991252009e+05 6.3304173362e+04 5.3429935901e+07 1.1034447697e-02 -5.8205171728e+08 2SC 1 1.1212127074e-06
2.8440629471e+02 8.5321888412e+02 9.1115572958e+01 4.4798756403e+00 2.8902423486e+01 2.6723109303e+01 -4.2813292744e+01 1.3361554651e+01 1.5540868835e+01 6.0818105618e+05 2.5170351506e+05 8.3901171686e+04 7.0977883026e+07 1.2061278387e-02 -5.8225411771e+08 2SC 1 1.7246343749e-07
2.8533619456e+02 8.5600858369e+02 9.0159276326e+01 5.4949928827e+00 3.5451566985e+01 3.4152514196e+01 -4.5399680071e+01 1.7076257098e+01 1.8375309888e+01 8.7389875520e+05 3.2519696541e+05 1.0839898847e+05 9.1916565838e+07 1.3525853522e-02 -5.8251983541e+08 2SC 1 1.4143606822e-07
2.8626609442e+02 8.5879828326e+02 8.9535030543e+01 5.9890428361e+00 3.8638986039e+01 3.8220042354e+01 -4.5831042104e+01 1.9110021177e+01 1.9528964862e+01 1.2129822794e+06 4.0723235621e+05 1.3574411874e+05 1.1536383385e+08 1.4991132499e-02 -5.8285891893e+08 2SC 1 7.3314033662e-06
