# section=2
# run_id=C
# param_name=mdelta
# param_value=400
# m_delta_mev=400.0
# g_delta_factor=2.0000
# lambda_3_factor=1.0000
# lambda_delta_factor=0.2500
# t_loop4_factor=4.0
# include_omega_1_num=True
# mu_min_mev=250.0
# mu_max_mev=900.0
# num_raw_points=700
# omega_vac_mev4=-5.8164593665e+08
# branch=stable
# columns=mu_q_mev mu_B_mev phi_mev delta_mev gap_mev mu_e_mev mu_8_mev delta_mu_mev gap_minus_delta_mu_mev pressure_mev4 quark_density_mev3 baryon_density_mev3 energy_density_mev4 cs2 omega_min_mev4 phase success neutrality_residual_norm
2.5464949928e+02 7.6394849785e+02 9.3000024762e+01 7.5782912964e-03 4.8892201912e-02 5.1100026777e-01 0.0000000000e+00 2.5550013388e-01 -2.0660793197e-01 5.8785641193e-01 4.5724410048e-01 1.5241470016e-01 1.1584912483e+02 4.3065997474e+00 -5.8164593724e+08 normal 1 1.3107584212e-01
2.5929899857e+02 7.7789699571e+02 9.3000024945e+01 7.5782912810e-03 4.8892201813e-02 1.2394444667e+00 0.0000000000e+00 6.1972223337e-01 -5.7083003155e-01 2.2570606470e+00 4.5697911969e-01 1.5232637323e-01 1.1623716745e+02 4.2966005783e+00 -5.8164593891e+08 normal 1 1.2788210655e-01
2.6766809728e+02 8.0300429185e+02 9.3000012428e+01 7.5782896795e-03 4.8892191481e-02 2.1338544332e+00 0.0000000000e+00 1.0669272166e+00 -1.0180350251e+00 5.7843055725e+00 1.6986673217e+00 5.6622244055e-01 4.4889474433e+02 9.1249278881e-02 -5.8164594244e+08 normal 1 2.7057939020e-01
2.6859799714e+02 8.0579399142e+02 9.2999235518e+01 8.7903877442e-03 5.6712178995e-02 2.8559985159e+00 0.0000000000e+00 1.4279992580e+00 -1.3712870790e+00 8.4889378548e+00 1.8056643096e+00 6.0188810321e-01 4.7650887922e+02 9.7943380043e-02 -5.8164594514e+08 normal 1 6.7865293655e-01
2.7045779685e+02 8.1137339056e+02 9.3000331766e+01 8.7902841273e-03 5.6711510499e-02 2.8559985159e+00 0.0000000000e+00 1.4279992580e+00 -1.3712877475e+00 9.7296004295e+00 2.6115649288e+04 8.7052164294e+03 7.0631712403e+06 2.4031390038e-03 -5.8164594638e+08 normal 1 6.7722877894e-01
2.7138769671e+02 8.1416309013e+02 9.2411665044e+01 2.3945120143e+00 1.5448464609e+01 1.0323518995e+01 -5.0662588849e+01 5.1617594973e+00 1.0286705111e+01 4.8579019554e+04 5.9100262758e+04 1.9700087586e+04 1.5990505165e+07 9.6380336817e-03 -5.8169451567e+08 2SC 1 1.3118260263e-06
2.7231759657e+02 8.1695278970e+02 9.2423198906e+01 2.7486445717e+00 1.7733190785e+01 1.2322880834e+01 -5.1436696344e+01 6.1614404168e+00 1.1571750368e+01 1.0992438137e+05 7.7842138356e+04 2.5947379452e+04 2.1087859647e+07 1.0903096227e-02 -5.8175586104e+08 2SC 1 1.0767827562e-07
2.7324749642e+02 8.1974248927e+02 9.2214474523e+01 3.1258751294e+00 2.0166936319e+01 1.4651705047e+01 -5.1519798089e+01 7.3258525235e+00 1.2841083795e+01 1.9334980619e+05 1.1258507834e+05 3.7528359447e+04 3.0570240985e+07 9.0957162337e-03 -5.8183928646e+08 2SC 1 2.3251333724e-06
2.7417739628e+02 8.2253218884e+02 9.1911241741e+01 3.6969131680e+00 2.3851052697e+01 1.8186853651e+01 -5.2487828644e+01 9.0934268256e+00 1.4757625871e+01 3.1931007785e+05 1.6096287554e+05 5.3654291846e+04 4.3813072035e+07 1.0323174926e-02 -5.8196524673e+08 2SC 1 3.7546700371e-07
2.7510729614e+02 8.2532188841e+02 9.0695238425e+01 5.0079509609e+00 3.2309361038e+01 2.6757638075e+01 -5.4775546843e+01 1.3378819037e+01 1.8930542001e+01 4.9270851607e+05 2.1699363727e+05 7.2331212424e+04 5.9203824313e+07 1.0777010574e-02 -5.8213864517e+08 2SC 1 4.7348614941e-07
2.7603719599e+02 8.2811158798e+02 9.0106176548e+01 6.2881687728e+00 4.0568830792e+01 3.4480146548e+01 -5.9478250883e+01 1.7240073274e+01 2.3328757518e+01 7.2287478237e+05 3.0007490259e+05 1.0002496753e+05 8.2108959917e+07 1.2849819023e-02 -5.8236881144e+08 2SC 1 7.6265555077e-06
2.7696709585e+02 8.3090128755e+02 8.9943679267e+01 6.3203024275e+00 4.0776144694e+01 3.5233628040e+01 -5.8190901613e+01 1.7616814020e+01 2.3159330674e+01 1.0507877340e+06 3.7690149327e+05 1.2563383109e+05 1.0333852428e+08 1.9590460788e-02 -5.8269672439e+08 2SC 1 5.1743150545e-08
2.7789699571e+02 8.3369098712e+02 8.9231370759e+01 7.0067618564e+00 4.5204915203e+01 4.0060405733e+01 -5.9140418979e+01 2.0030202866e+01 2.5174712336e+01 1.4238360717e+06 4.3589473577e+05 1.4529824526e+05 1.1971000144e+08 1.9975215129e-02 -5.8306977273e+08 2SC 1 1.0932783546e-05
