# source=D  m_Δ=700
# integrator=rk4  rstep_km=0.01
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm3 radius_km mass_msun stable_flag
3.023973e-09 1.677668e+06 2.183467e-04 3.000000e+01 1.893504e-02 1.000000e+00
3.265891e-09 1.773829e+06 2.308619e-04 3.000000e+01 1.984909e-02 1.000000e+00
3.527163e-09 1.877863e+06 2.444018e-04 3.000000e+01 2.082026e-02 1.000000e+00
3.809336e-09 1.990406e+06 2.590493e-04 3.000000e+01 2.185070e-02 1.000000e+00
4.114082e-09 2.112140e+06 2.748928e-04 3.000000e+01 2.294247e-02 1.000000e+00
4.443209e-09 2.243792e+06 2.920271e-04 3.000000e+01 2.409743e-02 1.000000e+00
4.798666e-09 2.386135e+06 3.105530e-04 3.000000e+01 2.531725e-02 1.000000e+00
5.182559e-09 2.539991e+06 3.305771e-04 3.000000e+01 2.660333e-02 1.000000e+00
5.597164e-09 2.706223e+06 3.522120e-04 3.000000e+01 2.795681e-02 1.000000e+00
6.044937e-09 2.885735e+06 3.755753e-04 3.000000e+01 2.937850e-02 1.000000e+00
6.528532e-09 3.079463e+06 4.007888e-04 3.000000e+01 3.086892e-02 1.000000e+00
7.050814e-09 3.288364e+06 4.279770e-04 3.000000e+01 3.242818e-02 1.000000e+00
7.614879e-09 3.513402e+06 4.572656e-04 3.000000e+01 3.405612e-02 1.000000e+00
8.224070e-09 3.755528e+06 4.887779e-04 3.000000e+01 3.575221e-02 1.000000e+00
8.881995e-09 4.015644e+06 5.226317e-04 3.000000e+01 3.751568e-02 1.000000e+00
9.592555e-09 4.294569e+06 5.589335e-04 3.000000e+01 3.934559e-02 1.000000e+00
1.035996e-08 4.592982e+06 5.977716e-04 3.000000e+01 4.124092e-02 1.000000e+00
1.118876e-08 4.911351e+06 6.392071e-04 3.000000e+01 4.320074e-02 1.000000e+00
1.208386e-08 5.249840e+06 6.832611e-04 3.000000e+01 4.522447e-02 1.000000e+00
1.305057e-08 5.608182e+06 7.298989e-04 3.000000e+01 4.731214e-02 1.000000e+00
1.409461e-08 5.985554e+06 7.790134e-04 3.000000e+01 4.946474e-02 1.000000e+00
1.522218e-08 6.381260e+06 8.305141e-04 3.000000e+01 5.168434e-02 1.000000e+00
1.643995e-08 6.795119e+06 8.843774e-04 3.000000e+01 5.397330e-02 1.000000e+00
1.775515e-08 7.226806e+06 9.405611e-04 3.000000e+01 5.633427e-02 1.000000e+00
1.917556e-08 7.675798e+06 9.989968e-04 3.000000e+01 5.877043e-02 1.000000e+00
2.070961e-08 8.141356e+06 1.059589e-03 3.000000e+01 6.128576e-02 1.000000e+00
2.236638e-08 8.622526e+06 1.122212e-03 3.000000e+01 6.388512e-02 1.000000e+00
2.415569e-08 9.118140e+06 1.186716e-03 3.000000e+01 6.657450e-02 1.000000e+00
2.608814e-08 9.626843e+06 1.252923e-03 3.000000e+01 6.936104e-02 1.000000e+00
2.817519e-08 1.014714e+07 1.320640e-03 3.000000e+01 7.225317e-02 1.000000e+00
3.042921e-08 1.067749e+07 1.389663e-03 3.000000e+01 7.526061e-02 1.000000e+00
3.286354e-08 1.121641e+07 1.459803e-03 3.000000e+01 7.839435e-02 1.000000e+00
3.549263e-08 1.176271e+07 1.530904e-03 3.000000e+01 8.166645e-02 1.000000e+00
3.833204e-08 1.231577e+07 1.602884e-03 3.000000e+01 8.508970e-02 1.000000e+00
4.139860e-08 1.287594e+07 1.675790e-03 3.000000e+01 8.867697e-02 1.000000e+00
4.471049e-08 1.344512e+07 1.749867e-03 3.000000e+01 9.244014e-02 1.000000e+00
4.828733e-08 1.402751e+07 1.825665e-03 3.000000e+01 9.638847e-02 1.000000e+00
5.215031e-08 1.463045e+07 1.904137e-03 3.000000e+01 1.005262e-01 1.000000e+00
5.632234e-08 1.525855e+07 1.985884e-03 3.000000e+01 1.048521e-01 1.000000e+00
6.082812e-08 1.591070e+07 2.070761e-03 3.000000e+01 1.093659e-01 1.000000e+00
6.569437e-08 1.658492e+07 2.158510e-03 3.000000e+01 1.140709e-01 1.000000e+00
7.094992e-08 1.727853e+07 2.248782e-03 3.000000e+01 1.189738e-01 1.000000e+00
7.662592e-08 1.798803e+07 2.341123e-03 3.000000e+01 1.240855e-01 1.000000e+00
8.275599e-08 1.870902e+07 2.434959e-03 3.000000e+01 1.294211e-01 1.000000e+00
8.937647e-08 1.943602e+07 2.529577e-03 3.000000e+01 1.350007e-01 1.000000e+00
9.652659e-08 2.016233e+07 2.624106e-03 3.000000e+01 1.408500e-01 1.000000e+00
1.042487e-07 2.087990e+07 2.717497e-03 3.000000e+01 1.470013e-01 1.000000e+00
1.125886e-07 2.157918e+07 2.808507e-03 3.000000e+01 1.534944e-01 1.000000e+00
1.215957e-07 2.224896e+07 2.895678e-03 3.000000e+01 1.603777e-01 1.000000e+00
1.313234e-07 2.287627e+07 2.977321e-03 3.000000e+01 1.677098e-01 1.000000e+00
