# section=2
# run_id=B
# param_name=gdelta
# param_value=2.5g
# m_delta_mev=500.0
# g_delta_factor=2.5000
# lambda_3_factor=1.0000
# lambda_delta_factor=0.2500
# t_loop4_factor=4.0
# include_omega_1_num=True
# mu_min_mev=250.0
# mu_max_mev=900.0
# num_raw_points=700
# omega_vac_mev4=-5.8164593665e+08
# branch=stable
# columns=mu_q_mev mu_B_mev phi_mev delta_mev gap_mev mu_e_mev mu_8_mev delta_mu_mev gap_minus_delta_mu_mev pressure_mev4 quark_density_mev3 baryon_density_mev3 energy_density_mev4 cs2 omega_min_mev4 phase success neutrality_residual_norm
2.7603719599e+02 8.2811158798e+02 9.3000295339e+01 5.6842795105e-03 4.5840963794e-02 9.3644871866e-01 0.0000000000e+00 4.6822435933e-01 -4.2238339554e-01 4.6743952036e+00 3.2475093565e+03 1.0825031188e+03 8.9642870233e+05 1.9718027040e-03 -5.8164594133e+08 normal 1 1.5749272723e-01
2.7696709585e+02 8.3090128755e+02 9.2943793345e+01 7.2610077937e-01 5.8556514465e+00 3.0527526209e+00 -3.7352799725e+01 1.5263763104e+00 4.3292751361e+00 6.0395174023e+03 1.3146148108e+04 4.3820493693e+03 3.6350109457e+06 2.4354726457e-03 -5.8165197617e+08 2SC 1 1.0854276888e-08
2.7789699571e+02 8.3369098712e+02 9.2879249435e+01 1.1529233403e+00 9.2977688735e+00 5.6179742831e+00 -3.8266549983e+01 2.8089871416e+00 6.4887817319e+00 2.4453876885e+04 3.5541066212e+04 1.1847022071e+04 9.8523016476e+06 4.3031794774e-03 -5.8167039053e+08 2SC 1 6.5739191929e-08
2.7882689557e+02 8.3648068670e+02 9.2500601754e+01 1.9450850112e+00 1.5686169445e+01 1.1031528851e+01 -4.0679861156e+01 5.5157644256e+00 1.0170405019e+01 7.2138782174e+04 6.4031013031e+04 2.1343671010e+04 1.7781429801e+07 7.0395861495e-03 -5.8171807544e+08 2SC 1 2.7598021713e-07
2.7975679542e+02 8.3927038627e+02 9.2182503644e+01 2.4756410126e+00 1.9964846876e+01 1.5037893252e+01 -4.2016409848e+01 7.5189466262e+00 1.2445900249e+01 1.4353873660e+05 9.5311985477e+04 3.1770661826e+04 2.6520636886e+07 8.6384223701e-03 -5.8178947539e+08 2SC 1 2.0096518072e-06
2.8068669528e+02 8.4206008584e+02 9.1798738047e+01 3.0013414430e+00 2.4204366476e+01 1.9211210218e+01 -4.3301718499e+01 9.6056051090e+00 1.4598761367e+01 2.4939998549e+05 1.3613920658e+05 4.5379735527e+04 3.7963064008e+07 1.0158605153e-02 -5.8189533664e+08 2SC 1 3.8273988022e-07
2.8161659514e+02 8.4484978541e+02 9.1389097594e+01 3.4921423562e+00 2.8162438357e+01 2.3263188488e+01 -4.4417595755e+01 1.1631594244e+01 1.6530844112e+01 3.9673039405e+05 1.8291865508e+05 6.0972885026e+04 5.1116198436e+07 1.1660642776e-02 -5.8204266705e+08 2SC 1 6.8043637000e-07
2.8254649499e+02 8.4763948498e+02 9.0716995384e+01 3.9746716328e+00 3.2053803490e+01 2.7660598945e+01 -4.4749942286e+01 1.3830299472e+01 1.8223504018e+01 5.8959204787e+05 2.3889227869e+05 7.9630759562e+04 6.6908583976e+07 1.2410237195e-02 -5.8223552870e+08 2SC 1 5.6233550390e-06
2.8347639485e+02 8.5042918455e+02 8.9996532264e+01 4.6393015623e+00 3.7413722277e+01 3.3340336447e+01 -4.6454446088e+01 1.6670168223e+01 2.0743554054e+01 8.4102218560e+05 3.0905972799e+05 1.0301990933e+05 8.6770115298e+07 1.3844232251e-02 -5.8248695884e+08 2SC 1 5.3189047845e-07
2.8440629471e+02 8.5321888412e+02 8.9668834475e+01 5.0143345791e+00 4.0438182089e+01 3.6595165223e+01 -4.7325116645e+01 1.8297582612e+01 2.2140599478e+01 1.1643812416e+06 3.8438075643e+05 1.2812691881e+05 1.0815592545e+08 1.5963139080e-02 -5.8281031790e+08 2SC 1 3.7709407101e-06
