# source=H  λ₃=2λ₀
# integrator=rk4  rstep_km=0.01
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm3 radius_km mass_msun stable_flag
6.013545e-09 3.260985e+06 4.244137e-04 3.000000e+01 3.409155e-02 1.000000e+00
6.494628e-09 3.414148e+06 4.443477e-04 3.000000e+01 3.532000e-02 1.000000e+00
7.014198e-09 3.580060e+06 4.659410e-04 3.000000e+01 3.662135e-02 1.000000e+00
7.575334e-09 3.759758e+06 4.893285e-04 3.000000e+01 3.799769e-02 1.000000e+00
8.181361e-09 3.954347e+06 5.146540e-04 3.000000e+01 3.945085e-02 1.000000e+00
8.835870e-09 4.164997e+06 5.420699e-04 3.000000e+01 4.098228e-02 1.000000e+00
9.542739e-09 4.392945e+06 5.717371e-04 3.000000e+01 4.259309e-02 1.000000e+00
1.030616e-08 4.639481e+06 6.038235e-04 3.000000e+01 4.428396e-02 1.000000e+00
1.113065e-08 4.905942e+06 6.385031e-04 3.000000e+01 4.605515e-02 1.000000e+00
1.202110e-08 5.193691e+06 6.759533e-04 3.000000e+01 4.790644e-02 1.000000e+00
1.298279e-08 5.504092e+06 7.163517e-04 3.000000e+01 4.983721e-02 1.000000e+00
1.402142e-08 5.838478e+06 7.598716e-04 3.000000e+01 5.184644e-02 1.000000e+00
1.514313e-08 6.198096e+06 8.066756e-04 3.000000e+01 5.393278e-02 1.000000e+00
1.635458e-08 6.584049e+06 8.569069e-04 3.000000e+01 5.609472e-02 1.000000e+00
1.766294e-08 6.997198e+06 9.106778e-04 3.000000e+01 5.833072e-02 1.000000e+00
1.907598e-08 7.438050e+06 9.680542e-04 3.000000e+01 6.063949e-02 1.000000e+00
2.060206e-08 7.906601e+06 1.029036e-03 3.000000e+01 6.302030e-02 1.000000e+00
2.225022e-08 8.402130e+06 1.093528e-03 3.000000e+01 6.547341e-02 1.000000e+00
2.403024e-08 8.922935e+06 1.161310e-03 3.000000e+01 6.800061e-02 1.000000e+00
2.595266e-08 9.465988e+06 1.231988e-03 3.000000e+01 7.060597e-02 1.000000e+00
2.802887e-08 1.002653e+07 1.304942e-03 3.000000e+01 7.329674e-02 1.000000e+00
3.027118e-08 1.059982e+07 1.379556e-03 3.000000e+01 7.608387e-02 1.000000e+00
3.269288e-08 1.118288e+07 1.455440e-03 3.000000e+01 7.898023e-02 1.000000e+00
3.530831e-08 1.177246e+07 1.532173e-03 3.000000e+01 8.200019e-02 1.000000e+00
3.813297e-08 1.236490e+07 1.609279e-03 3.000000e+01 8.516018e-02 1.000000e+00
4.118361e-08 1.295621e+07 1.686237e-03 3.000000e+01 8.847915e-02 1.000000e+00
4.447830e-08 1.354220e+07 1.762502e-03 3.000000e+01 9.197896e-02 1.000000e+00
4.803656e-08 1.411866e+07 1.837528e-03 3.000000e+01 9.568470e-02 1.000000e+00
5.187949e-08 1.468174e+07 1.910813e-03 3.000000e+01 9.962472e-02 1.000000e+00
5.602985e-08 1.522841e+07 1.981961e-03 3.000000e+01 1.038305e-01 1.000000e+00
6.051224e-08 1.575709e+07 2.050769e-03 3.000000e+01 1.083356e-01 1.000000e+00
6.535321e-08 1.626867e+07 2.117350e-03 3.000000e+01 1.131742e-01 1.000000e+00
7.058147e-08 1.676772e+07 2.182301e-03 3.000000e+01 1.183781e-01 1.000000e+00
7.622799e-08 1.726432e+07 2.246933e-03 3.000000e+01 1.239706e-01 1.000000e+00
8.232623e-08 1.777636e+07 2.313574e-03 3.000000e+01 1.299593e-01 1.000000e+00
8.891233e-08 1.833267e+07 2.385978e-03 3.000000e+01 1.363239e-01 1.000000e+00
9.602531e-08 1.896652e+07 2.468472e-03 3.000000e+01 1.430053e-01 1.000000e+00
1.037073e-07 1.969131e+07 2.562803e-03 3.000000e+01 1.499229e-01 1.000000e+00
1.120039e-07 2.051617e+07 2.670157e-03 3.000000e+01 1.569959e-01 1.000000e+00
1.209642e-07 2.144995e+07 2.791688e-03 3.000000e+01 1.641482e-01 1.000000e+00
1.306414e-07 2.250078e+07 2.928452e-03 3.000000e+01 1.713128e-01 1.000000e+00
1.410927e-07 2.367533e+07 3.081319e-03 3.000000e+01 1.784352e-01 1.000000e+00
1.523801e-07 2.497784e+07 3.250839e-03 3.000000e+01 1.854756e-01 1.000000e+00
1.645705e-07 2.640873e+07 3.437068e-03 3.000000e+01 1.924111e-01 1.000000e+00
1.777362e-07 2.796283e+07 3.639332e-03 3.000000e+01 1.992355e-01 1.000000e+00
1.919550e-07 2.962904e+07 3.856188e-03 3.000000e+01 2.059604e-01 1.000000e+00
2.073114e-07 3.140191e+07 4.086925e-03 3.000000e+01 2.126090e-01 1.000000e+00
2.238964e-07 3.327716e+07 4.330987e-03 3.000000e+01 2.192073e-01 1.000000e+00
2.418081e-07 3.524590e+07 4.587216e-03 3.000000e+01 2.257849e-01 1.000000e+00
2.611527e-07 3.729293e+07 4.853635e-03 3.000000e+01 2.323764e-01 1.000000e+00
2.820449e-07 3.939465e+07 5.127171e-03 3.000000e+01 2.390244e-01 1.000000e+00
3.046085e-07 4.151622e+07 5.403292e-03 3.000000e+01 2.457841e-01 1.000000e+00
3.289772e-07 4.360820e+07 5.675560e-03 3.000000e+01 2.527286e-01 1.000000e+00
3.552954e-07 4.562858e+07 5.938510e-03 3.000000e+01 2.599537e-01 1.000000e+00
3.837190e-07 4.758987e+07 6.193770e-03 3.000000e+01 2.675557e-01 1.000000e+00
4.144165e-07 4.953354e+07 6.446736e-03 3.000000e+01 2.756091e-01 1.000000e+00
4.475699e-07 5.153360e+07 6.707042e-03 3.000000e+01 2.841521e-01 1.000000e+00
4.833755e-07 5.370966e+07 6.990255e-03 3.000000e+01 2.931635e-01 1.000000e+00
5.220455e-07 5.624424e+07 7.320127e-03 3.000000e+01 3.025315e-01 1.000000e+00
5.638091e-07 5.939390e+07 7.730053e-03 3.000000e+01 3.120208e-01 1.000000e+00
6.089139e-07 6.330406e+07 8.238956e-03 3.000000e+01 3.213037e-01 1.000000e+00
6.576270e-07 6.794829e+07 8.843396e-03 3.000000e+01 3.301100e-01 1.000000e+00
7.102371e-07 7.323177e+07 9.531036e-03 3.000000e+01 3.382851e-01 1.000000e+00
7.670561e-07 7.896849e+07 1.027766e-02 3.000000e+01 3.457964e-01 1.000000e+00
8.284206e-07 8.485117e+07 1.104329e-02 3.000000e+01 3.527273e-01 1.000000e+00
8.946942e-07 9.063784e+07 1.179642e-02 3.000000e+01 3.592498e-01 1.000000e+00
9.662698e-07 9.629854e+07 1.253315e-02 3.000000e+01 3.655329e-01 1.000000e+00
1.043571e-06 1.018382e+08 1.325413e-02 3.000000e+01 3.717132e-01 1.000000e+00
1.127057e-06 1.072938e+08 1.396417e-02 3.000000e+01 3.778991e-01 1.000000e+00
1.217222e-06 1.127502e+08 1.467431e-02 3.000000e+01 3.841697e-01 1.000000e+00
1.314599e-06 1.182964e+08 1.539615e-02 3.000000e+01 3.905704e-01 1.000000e+00
1.419767e-06 1.237451e+08 1.610529e-02 3.000000e+01 3.971503e-01 1.000000e+00
1.533349e-06 1.287139e+08 1.675198e-02 3.000000e+01 4.040311e-01 1.000000e+00
1.656017e-06 1.326538e+08 1.726475e-02 3.000000e+01 4.114564e-01 1.000000e+00
1.788498e-06 1.348174e+08 1.754633e-02 3.000000e+01 4.198744e-01 1.000000e+00
1.931578e-06 1.353349e+08 1.761370e-02 3.000000e+01 4.299913e-01 1.000000e+00
2.086104e-06 1.363240e+08 1.774242e-02 3.000000e+01 4.423245e-01 1.000000e+00
2.252992e-06 1.412504e+08 1.838359e-02 3.000000e+01 4.563601e-01 1.000000e+00
2.433232e-06 1.550285e+08 2.017680e-02 3.000000e+01 4.697492e-01 1.000000e+00
2.627890e-06 1.793857e+08 2.334686e-02 3.000000e+01 4.795288e-01 1.000000e+00
2.838121e-06 2.110970e+08 2.747405e-02 3.000000e+01 4.850253e-01 1.000000e+00
3.065171e-06 2.445844e+08 3.183240e-02 3.000000e+01 4.873025e-01 1.000000e+00
3.310385e-06 2.760547e+08 3.592822e-02 3.000000e+01 4.875945e-01 1.000000e+00
3.575216e-06 3.049143e+08 3.968427e-02 3.000000e+01 4.866584e-01 1.000000e+00
3.861233e-06 3.307478e+08 4.304647e-02 3.000000e+01 4.849103e-01 1.000000e+00
4.170132e-06 3.532396e+08 4.597375e-02 3.000000e+01 4.825935e-01 1.000000e+00
4.503742e-06 3.722966e+08 4.845401e-02 3.000000e+01 4.798647e-01 1.000000e+00
4.864041e-06 3.883881e+08 5.054830e-02 3.000000e+01 4.768436e-01 1.000000e+00
5.253165e-06 4.026522e+08 5.240475e-02 3.000000e+01 4.736418e-01 1.000000e+00
5.673418e-06 4.170982e+08 5.428488e-02 3.000000e+01 4.703763e-01 1.000000e+00
6.127291e-06 4.347495e+08 5.658218e-02 3.000000e+01 4.671620e-01 1.000000e+00
6.617475e-06 4.572046e+08 5.950469e-02 3.000000e+01 4.640684e-01 1.000000e+00
