# section=2
# run_id=H
# param_name=lam3
# param_value=2lam0
# m_delta_mev=500.0
# g_delta_factor=2.0000
# lambda_3_factor=2.0000
# lambda_delta_factor=0.2500
# t_loop4_factor=4.0
# include_omega_1_num=True
# mu_min_mev=250.0
# mu_max_mev=900.0
# num_raw_points=700
# omega_vac_mev4=-5.8164593665e+08
# branch=stable
# columns=mu_q_mev mu_B_mev phi_mev delta_mev gap_mev mu_e_mev mu_8_mev delta_mu_mev gap_minus_delta_mu_mev pressure_mev4 quark_density_mev3 baryon_density_mev3 energy_density_mev4 cs2 omega_min_mev4 phase success neutrality_residual_norm
2.5278969957e+02 7.5836909871e+02 9.2999980617e+01 0.0000000000e+00 0.0000000000e+00 6.7919614631e-01 0.0000000000e+00 3.3959807315e-01 -3.3959807315e-01 1.2767314911e-04 4.5830011368e-04 1.5276670456e-04 1.1572587490e-01 4.7977925343e-02 -5.8164593665e+08 normal 1 3.0250382545e-03
2.5650929900e+02 7.6952789700e+02 9.3000002758e+01 0.0000000000e+00 0.0000000000e+00 1.9284878674e+00 0.0000000000e+00 9.6424393370e-01 -9.6424393370e-01 9.4572544098e-02 8.4940637992e-03 2.8313545997e-03 2.0842338067e+00 4.7977868814e-02 -5.8164593675e+08 normal 1 2.1717309428e-01
2.8533619456e+02 8.5600858369e+02 9.2802969316e+01 1.1054391367e+00 7.1318653981e+00 5.0852017980e+00 -2.6191662354e+01 2.5426008990e+00 4.5892644991e+00 4.6272312509e+03 1.1378469504e+04 3.7928231679e+03 3.2420619569e+06 1.7868585324e-03 -5.8165056389e+08 2SC 1 4.5623708815e-09
2.8626609442e+02 8.5879828326e+02 9.2802969316e+01 1.1054391367e+00 7.1318653981e+00 5.2036643888e+00 -2.4918328297e+01 2.6018321944e+00 4.5300332037e+00 2.1161709472e+04 3.4357040757e+04 1.1452346919e+04 9.8140941639e+06 3.8655294708e-03 -5.8166709836e+08 2SC 1 9.7678888098e-09
2.8719599428e+02 8.6158798283e+02 9.2484731910e+01 2.0569624957e+00 1.3270725779e+01 1.1425910986e+01 -2.8466107645e+01 5.7129554928e+00 7.5577702859e+00 6.8524445820e+04 6.3850054005e+04 2.1283351335e+04 1.8268955299e+07 6.3192221845e-03 -5.8171446110e+08 2SC 1 1.2443034221e-06
2.8812589413e+02 8.6437768240e+02 9.2185184277e+01 2.4437406605e+00 1.5766068777e+01 1.4417579612e+01 -2.8809375948e+01 7.2087898062e+00 8.5572789709e+00 1.3991002164e+05 9.8472512153e+04 3.2824170718e+04 2.8232570590e+07 7.2884492216e-03 -5.8178584668e+08 2SC 1 1.2449950374e-06
2.8905579399e+02 8.6716738197e+02 9.1913111252e+01 2.9679278320e+00 1.9147921497e+01 1.8367156691e+01 -3.0376204459e+01 9.1835783456e+00 9.9643431513e+00 2.5166359575e+05 1.5026863170e+05 5.0089543901e+04 4.3184355053e+07 9.6367043892e-03 -5.8189760025e+08 2SC 1 1.9943137667e-06
2.8998569385e+02 8.6995708155e+02 9.1173588295e+01 3.8283428976e+00 2.4698986436e+01 2.5088336897e+01 -3.2873830941e+01 1.2544168448e+01 1.2154817988e+01 4.1937957989e+05 1.9976205791e+05 6.6587352636e+04 5.7508759387e+07 1.0425270495e-02 -5.8206531623e+08 2SC 1 4.0805329955e-06
2.9091559371e+02 8.7274678112e+02 8.9847617485e+01 4.9260649666e+00 3.1781064301e+01 3.4138456457e+01 -3.5516353964e+01 1.7069228229e+01 1.4711836072e+01 6.2318101389e+05 2.8527243601e+05 9.5090812002e+04 8.2367019075e+07 9.2956666049e-03 -5.8226911767e+08 2SC 1 7.0747980953e-06
2.9184549356e+02 8.7553648069e+02 8.9660361457e+01 5.2573211538e+00 3.3918200993e+01 3.6824504945e+01 -3.6398299422e+01 1.8412252473e+01 1.5505948520e+01 9.4992917475e+05 3.9061124735e+05 1.3020374912e+05 1.1304820310e+08 1.5501743800e-02 -5.8259586583e+08 2SC 1 8.3992749407e-07
2.9277539342e+02 8.7832618026e+02 8.8617473640e+01 5.8934819523e+00 3.8022464209e+01 4.2704312669e+01 -3.7092987681e+01 2.1352156335e+01 1.6670307874e+01 1.3496396999e+06 4.6314610169e+05 1.5438203390e+05 1.3424814243e+08 3.2179182078e-02 -5.8299557635e+08 2SC 1 1.6998771778e-05
2.9370529328e+02 8.8111587983e+02 8.8617473640e+01 5.8934819523e+00 3.8022464209e+01 4.3237280662e+01 -3.6349944228e+01 2.1618640331e+01 1.6403823878e+01 1.8112881622e+06 5.0302290634e+05 1.6767430211e+05 1.4592920207e+08 3.5267745258e-02 -5.8345722482e+08 2SC 1 3.2845528352e-07
2.9463519313e+02 8.8390557940e+02 8.8584716903e+01 5.8993399476e+00 3.8060257727e+01 4.3872535378e+01 -3.5577211264e+01 2.1936267689e+01 1.6123990038e+01 2.2851615572e+06 7.7706767413e+05 2.5902255804e+05 2.2666632269e+08 6.5378664977e-03 -5.8393109821e+08 2SC 1 7.1076423162e-07
2.9556509299e+02 8.8669527897e+02 8.1258113592e+01 1.0154896005e+01 6.5515458098e+01 7.8506440046e+01 -4.5598489947e+01 3.9253220023e+01 2.6262238074e+01 3.2564784002e+06 1.2105109250e+06 4.0350364168e+05 3.5452829572e+08 1.4805436917e-02 -5.8490241505e+08 2SC 1 1.0946950087e-05
2.9649499285e+02 8.8948497854e+02 8.1258113592e+01 1.0154896005e+01 6.5515458098e+01 7.9102635653e+01 -4.5057311897e+01 3.9551317827e+01 2.5964140271e+01 4.5364694293e+06 1.4422542023e+06 4.8075140077e+05 4.2308467997e+08 1.7469769604e-02 -5.8618240608e+08 2SC 1 1.8073285386e-06
2.9742489270e+02 8.9227467811e+02 7.9796377815e+01 1.0758426737e+01 6.9409204753e+01 8.4919462015e+01 -4.5361716663e+01 4.2459731008e+01 2.6949473745e+01 5.9387823530e+06 1.7384778391e+06 5.7949261303e+05 5.1112780240e+08 1.5298045380e-02 -5.8758471901e+08 2SC 1 2.8890298381e-06
2.9835479256e+02 8.9506437768e+02 7.3888134838e+01 1.2898465687e+01 8.3215907656e+01 1.0434988891e+02 -4.7102593620e+01 5.2174944454e+01 3.1040963202e+01 7.7696900170e+06 2.1657044866e+06 7.2190149554e+05 6.3837862284e+08 1.5844907923e-02 -5.8941562667e+08 2SC 1 2.3250387439e-06
2.9928469242e+02 8.9785407725e+02 7.2326694958e+01 1.3500484723e+01 8.7099901436e+01 1.0971155494e+02 -4.7513537193e+01 5.4855777472e+01 3.2244123964e+01 9.9665589376e+06 2.5906477797e+06 8.6354925989e+05 7.6537466496e+08 1.8609744539e-02 -5.9161249559e+08 2SC 1 2.6432535505e-06
3.0021459227e+02 9.0064377682e+02 6.8406823340e+01 1.4658485347e+01 9.4570873206e+01 1.2073392000e+02 -4.7716210035e+01 6.0366959999e+01 3.4203913207e+01 1.2587776016e+07 3.0286749455e+06 1.0095583152e+06 8.9666463789e+08 2.6086736874e-02 -5.9423371267e+08 2SC 1 2.7806049498e-05
