# source=F  λ_Δ=λ₀/2
# integrator=rk4  rstep_km=0.01
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm3 radius_km mass_msun stable_flag
2.223396e-10 1.025491e+06 1.334666e-04 2.208000e+01 5.122977e-03 1.000000e+00
2.401268e-10 1.032226e+06 1.343431e-04 2.285000e+01 5.692722e-03 1.000000e+00
2.593370e-10 1.039502e+06 1.352900e-04 2.365000e+01 6.329255e-03 1.000000e+00
2.800839e-10 1.047363e+06 1.363131e-04 2.446000e+01 7.023193e-03 1.000000e+00
3.024906e-10 1.055856e+06 1.374186e-04 2.530000e+01 7.796551e-03 1.000000e+00
3.266899e-10 1.065034e+06 1.386130e-04 2.615000e+01 8.638752e-03 1.000000e+00
3.528251e-10 1.074950e+06 1.399035e-04 2.703000e+01 9.575157e-03 1.000000e+00
3.810511e-10 1.085665e+06 1.412981e-04 2.792000e+01 1.059389e-02 1.000000e+00
4.115352e-10 1.097243e+06 1.428050e-04 2.883000e+01 1.171260e-02 1.000000e+00
4.444580e-10 1.109755e+06 1.444334e-04 2.976000e+01 1.294021e-02 1.000000e+00
4.800146e-10 1.123276e+06 1.461932e-04 3.000000e+01 1.338015e-02 1.000000e+00
5.184158e-10 1.137889e+06 1.480950e-04 3.000000e+01 1.353605e-02 1.000000e+00
5.598890e-10 1.153682e+06 1.501505e-04 3.000000e+01 1.370406e-02 1.000000e+00
6.046802e-10 1.170751e+06 1.523720e-04 3.000000e+01 1.388509e-02 1.000000e+00
6.530546e-10 1.189201e+06 1.547732e-04 3.000000e+01 1.408010e-02 1.000000e+00
7.052989e-10 1.209143e+06 1.573686e-04 3.000000e+01 1.429013e-02 1.000000e+00
7.617228e-10 1.230699e+06 1.601741e-04 3.000000e+01 1.451628e-02 1.000000e+00
8.226607e-10 1.254001e+06 1.632069e-04 3.000000e+01 1.475973e-02 1.000000e+00
8.884735e-10 1.279193e+06 1.664856e-04 3.000000e+01 1.502173e-02 1.000000e+00
9.595514e-10 1.306427e+06 1.700301e-04 3.000000e+01 1.530360e-02 1.000000e+00
1.036316e-09 1.335872e+06 1.738623e-04 3.000000e+01 1.560674e-02 1.000000e+00
1.119221e-09 1.367708e+06 1.780057e-04 3.000000e+01 1.593265e-02 1.000000e+00
1.208758e-09 1.402129e+06 1.824856e-04 3.000000e+01 1.628290e-02 1.000000e+00
1.305459e-09 1.439349e+06 1.873297e-04 3.000000e+01 1.665914e-02 1.000000e+00
1.409896e-09 1.479594e+06 1.925676e-04 3.000000e+01 1.706311e-02 1.000000e+00
1.522687e-09 1.523112e+06 1.982313e-04 3.000000e+01 1.749662e-02 1.000000e+00
1.644502e-09 1.570168e+06 2.043557e-04 3.000000e+01 1.796159e-02 1.000000e+00
1.776063e-09 1.621050e+06 2.109780e-04 3.000000e+01 1.845998e-02 1.000000e+00
1.918148e-09 1.676068e+06 2.181385e-04 3.000000e+01 1.899386e-02 1.000000e+00
2.071600e-09 1.735554e+06 2.258805e-04 3.000000e+01 1.956533e-02 1.000000e+00
2.237327e-09 1.799866e+06 2.342507e-04 3.000000e+01 2.017657e-02 1.000000e+00
2.416314e-09 1.869388e+06 2.432988e-04 3.000000e+01 2.082981e-02 1.000000e+00
2.609619e-09 1.944529e+06 2.530783e-04 3.000000e+01 2.152729e-02 1.000000e+00
2.818388e-09 2.025727e+06 2.636461e-04 3.000000e+01 2.227128e-02 1.000000e+00
3.043859e-09 2.113446e+06 2.750627e-04 3.000000e+01 2.306407e-02 1.000000e+00
3.287368e-09 2.208178e+06 2.873920e-04 3.000000e+01 2.390791e-02 1.000000e+00
3.550358e-09 2.310440e+06 3.007012e-04 3.000000e+01 2.480502e-02 1.000000e+00
3.834386e-09 2.420770e+06 3.150606e-04 3.000000e+01 2.575756e-02 1.000000e+00
4.141137e-09 2.539725e+06 3.305425e-04 3.000000e+01 2.676762e-02 1.000000e+00
4.472428e-09 2.667876e+06 3.472212e-04 3.000000e+01 2.783719e-02 1.000000e+00
4.830222e-09 2.805794e+06 3.651711e-04 3.000000e+01 2.896816e-02 1.000000e+00
5.216640e-09 2.954042e+06 3.844654e-04 3.000000e+01 3.016229e-02 1.000000e+00
5.633971e-09 3.113154e+06 4.051736e-04 3.000000e+01 3.142126e-02 1.000000e+00
6.084689e-09 3.283613e+06 4.273587e-04 3.000000e+01 3.274661e-02 1.000000e+00
6.571464e-09 3.465820e+06 4.510728e-04 3.000000e+01 3.413987e-02 1.000000e+00
7.097181e-09 3.660052e+06 4.763519e-04 3.000000e+01 3.560254e-02 1.000000e+00
7.664956e-09 3.866407e+06 5.032087e-04 3.000000e+01 3.713625e-02 1.000000e+00
8.278152e-09 4.084732e+06 5.316235e-04 3.000000e+01 3.874285e-02 1.000000e+00
8.940404e-09 4.314532e+06 5.615317e-04 3.000000e+01 4.042463e-02 1.000000e+00
9.655637e-09 4.555147e+06 5.928475e-04 3.000000e+01 4.218445e-02 1.000000e+00
1.042809e-08 4.806301e+06 6.255349e-04 3.000000e+01 4.402538e-02 1.000000e+00
1.126233e-08 5.067685e+06 6.595538e-04 3.000000e+01 4.595051e-02 1.000000e+00
1.216332e-08 5.338854e+06 6.948461e-04 3.000000e+01 4.796313e-02 1.000000e+00
1.313639e-08 5.619212e+06 7.313344e-04 3.000000e+01 5.006691e-02 1.000000e+00
1.418730e-08 5.908011e+06 7.689213e-04 3.000000e+01 5.226602e-02 1.000000e+00
1.532228e-08 6.204352e+06 8.074897e-04 3.000000e+01 5.456524e-02 1.000000e+00
1.654806e-08 6.507194e+06 8.469044e-04 3.000000e+01 5.696997e-02 1.000000e+00
1.787191e-08 6.815390e+06 8.870156e-04 3.000000e+01 5.948630e-02 1.000000e+00
1.930166e-08 7.127728e+06 9.276662e-04 3.000000e+01 6.212094e-02 1.000000e+00
2.084580e-08 7.443023e+06 9.687014e-04 3.000000e+01 6.488108e-02 1.000000e+00
2.251346e-08 7.760228e+06 1.009985e-03 3.000000e+01 6.777418e-02 1.000000e+00
2.431454e-08 8.078625e+06 1.051424e-03 3.000000e+01 7.080749e-02 1.000000e+00
2.625970e-08 8.398069e+06 1.093000e-03 3.000000e+01 7.398750e-02 1.000000e+00
2.836047e-08 8.719348e+06 1.134814e-03 3.000000e+01 7.731900e-02 1.000000e+00
3.062931e-08 9.044671e+06 1.177154e-03 3.000000e+01 8.080391e-02 1.000000e+00
3.307966e-08 9.378323e+06 1.220579e-03 3.000000e+01 8.443976e-02 1.000000e+00
3.572603e-08 9.727561e+06 1.266032e-03 3.000000e+01 8.821755e-02 1.000000e+00
3.858411e-08 1.010340e+07 1.314946e-03 3.000000e+01 9.211953e-02 1.000000e+00
4.167084e-08 1.051399e+07 1.368385e-03 3.000000e+01 9.612132e-02 1.000000e+00
4.500451e-08 1.096241e+07 1.426746e-03 3.000000e+01 1.002021e-01 1.000000e+00
4.860487e-08 1.145154e+07 1.490406e-03 3.000000e+01 1.043474e-01 1.000000e+00
5.249326e-08 1.198425e+07 1.559737e-03 3.000000e+01 1.085489e-01 1.000000e+00
5.669272e-08 1.256322e+07 1.635089e-03 3.000000e+01 1.128041e-01 1.000000e+00
6.122814e-08 1.319085e+07 1.716775e-03 3.000000e+01 1.171159e-01 1.000000e+00
6.612639e-08 1.386900e+07 1.805036e-03 3.000000e+01 1.214913e-01 1.000000e+00
7.141650e-08 1.459873e+07 1.900009e-03 3.000000e+01 1.259413e-01 1.000000e+00
7.712982e-08 1.537987e+07 2.001674e-03 3.000000e+01 1.304794e-01 1.000000e+00
8.330020e-08 1.621056e+07 2.109787e-03 3.000000e+01 1.351220e-01 1.000000e+00
8.996422e-08 1.708650e+07 2.223789e-03 3.000000e+01 1.398883e-01 1.000000e+00
9.716136e-08 1.800032e+07 2.342723e-03 3.000000e+01 1.448012e-01 1.000000e+00
1.049343e-07 1.894651e+07 2.465867e-03 3.000000e+01 1.498872e-01 1.000000e+00
1.133290e-07 1.992439e+07 2.593138e-03 3.000000e+01 1.551713e-01 1.000000e+00
1.223953e-07 2.093405e+07 2.724544e-03 3.000000e+01 1.606757e-01 1.000000e+00
1.321870e-07 2.197645e+07 2.860212e-03 3.000000e+01 1.664206e-01 1.000000e+00
1.427619e-07 2.305395e+07 3.000447e-03 3.000000e+01 1.724233e-01 1.000000e+00
1.541829e-07 2.417106e+07 3.145838e-03 3.000000e+01 1.786981e-01 1.000000e+00
1.665175e-07 2.533548e+07 3.297385e-03 3.000000e+01 1.852542e-01 1.000000e+00
1.798389e-07 2.655943e+07 3.456681e-03 3.000000e+01 1.920933e-01 1.000000e+00
1.942260e-07 2.786117e+07 3.626101e-03 3.000000e+01 1.992062e-01 1.000000e+00
2.097641e-07 2.925505e+07 3.807513e-03 3.000000e+01 2.065722e-01 1.000000e+00
2.265452e-07 3.074550e+07 4.001494e-03 3.000000e+01 2.141697e-01 1.000000e+00
2.446688e-07 3.233565e+07 4.208451e-03 3.000000e+01 2.219798e-01 1.000000e+00
2.642423e-07 3.402761e+07 4.428657e-03 3.000000e+01 2.299875e-01 1.000000e+00
2.853817e-07 3.582195e+07 4.662188e-03 3.000000e+01 2.381820e-01 1.000000e+00
3.082123e-07 3.771720e+07 4.908853e-03 3.000000e+01 2.465578e-01 1.000000e+00
3.328692e-07 3.970910e+07 5.168097e-03 3.000000e+01 2.551155e-01 1.000000e+00
3.594988e-07 4.179508e+07 5.439585e-03 3.000000e+01 2.638619e-01 1.000000e+00
3.882587e-07 4.398212e+07 5.724226e-03 3.000000e+01 2.728039e-01 1.000000e+00
4.193194e-07 4.628186e+07 6.023535e-03 3.000000e+01 2.819437e-01 1.000000e+00
4.528649e-07 4.871124e+07 6.339715e-03 3.000000e+01 2.912764e-01 1.000000e+00
4.890941e-07 5.129460e+07 6.675937e-03 3.000000e+01 3.007871e-01 1.000000e+00
5.282217e-07 5.406650e+07 7.036697e-03 3.000000e+01 3.104469e-01 1.000000e+00
5.704794e-07 5.705407e+07 7.425526e-03 3.000000e+01 3.202125e-01 1.000000e+00
6.161177e-07 6.023328e+07 7.839296e-03 3.000000e+01 3.300507e-01 1.000000e+00
6.654072e-07 6.355081e+07 8.271070e-03 3.000000e+01 3.399622e-01 1.000000e+00
7.186397e-07 6.692188e+07 8.709811e-03 3.000000e+01 3.499914e-01 1.000000e+00
7.761309e-07 7.021908e+07 9.138938e-03 3.000000e+01 3.602390e-01 1.000000e+00
8.382214e-07 7.330056e+07 9.539990e-03 3.000000e+01 3.708791e-01 1.000000e+00
9.052791e-07 7.623233e+07 9.921556e-03 3.000000e+01 3.821037e-01 1.000000e+00
9.777014e-07 7.924194e+07 1.031325e-02 3.000000e+01 3.940076e-01 1.000000e+00
