# section=2
# run_id=F
# param_name=lamdelta
# param_value=lam0div2
# m_delta_mev=500.0
# g_delta_factor=2.0000
# lambda_3_factor=1.0000
# lambda_delta_factor=0.5000
# t_loop4_factor=4.0
# include_omega_1_num=True
# mu_min_mev=250.0
# mu_max_mev=900.0
# num_raw_points=700
# omega_vac_mev4=-5.8164593665e+08
# branch=stable
# columns=mu_q_mev mu_B_mev phi_mev delta_mev gap_mev mu_e_mev mu_8_mev delta_mu_mev gap_minus_delta_mu_mev pressure_mev4 quark_density_mev3 baryon_density_mev3 energy_density_mev4 cs2 omega_min_mev4 phase success neutrality_residual_norm
2.7417739628e+02 8.2253218884e+02 9.2999971707e+01 9.8071272740e-03 6.3271788865e-02 5.1893821518e-01 0.0000000000e+00 2.5946910759e-01 -1.9619731872e-01 6.2660717964e+00 3.8478412834e+00 1.2826137611e+00 1.0487250326e+03 1.0260257710e-04 -5.8164594292e+08 normal 1 3.2594129966e-01
2.7696709585e+02 8.3090128755e+02 9.2999972395e+01 9.8071272015e-03 6.3271788397e-02 2.0664037210e+00 0.0000000000e+00 1.0332018605e+00 -9.6993007211e-01 8.6813241243e+00 8.7724880729e+01 2.9241626910e+01 2.4288224125e+04 1.0525494326e-04 -5.8164594534e+08 normal 1 3.3190840549e-01
2.7789699571e+02 8.3369098712e+02 9.2998153415e+01 5.1956841579e-01 3.3520542954e+00 1.6113865791e+00 -3.4762796620e+01 8.0569328954e-01 2.5463610059e+00 1.7108327782e+02 3.6878014973e+03 1.2292671658e+03 1.0246578736e+06 6.0799532987e-04 -5.8164610774e+08 2SC 1 1.3417015338e-07
2.7882689557e+02 8.3648068670e+02 9.2836052785e+01 1.2642249472e+00 8.1562899818e+00 5.2154318517e+00 -3.6249258420e+01 2.6077159259e+00 5.5485740559e+00 6.8672534937e+03 1.5370545885e+04 5.1235152950e+03 4.2788543388e+06 2.7327248301e-03 -5.8165280391e+08 2SC 1 1.0687164566e-06
2.7975679542e+02 8.3927038627e+02 9.2717820382e+01 1.6103041214e+00 1.0389058848e+01 7.2245793673e+00 -3.6354210794e+01 3.6122896836e+00 6.7767691644e+00 2.8757220117e+04 3.5472787869e+04 1.1824262623e+04 9.8949962388e+06 4.6782066654e-03 -5.8167469387e+08 2SC 1 7.0579169682e-08
2.8068669528e+02 8.4206008584e+02 9.2425696799e+01 2.3405714875e+00 1.5100461210e+01 1.1699902171e+01 -3.8234529693e+01 5.8499510854e+00 9.2505101244e+00 7.2839534223e+04 6.2851007376e+04 2.0950335792e+04 1.7568602021e+07 6.5314331875e-03 -5.8171877619e+08 2SC 1 3.9766633281e-08
2.8161659514e+02 8.4484978541e+02 9.2187845106e+01 2.9130355474e+00 1.8793777725e+01 1.5454743751e+01 -3.9701388729e+01 7.7273718757e+00 1.1066405849e+01 1.4564750565e+05 9.7265185613e+04 3.2421728538e+04 2.7245842892e+07 8.2030408283e-03 -5.8179158416e+08 2SC 1 1.5188380176e-06
2.8254649499e+02 8.4763948498e+02 9.1798519377e+01 3.4739353092e+00 2.2412485866e+01 1.9399823488e+01 -4.0717981959e+01 9.6999117441e+00 1.2712574122e+01 2.5373329860e+05 1.3963360710e+05 4.6544535700e+04 3.9199252971e+07 9.7178403993e-03 -5.8189966995e+08 2SC 1 1.1049368971e-07
2.8347639485e+02 8.5042918455e+02 9.1405893653e+01 4.0819386345e+00 2.6335087964e+01 2.3712096023e+01 -4.2211292274e+01 1.1856048012e+01 1.4479039953e+01 4.0533804818e+05 1.9049215505e+05 6.3497385018e+04 5.3594691314e+07 1.1184409433e-02 -5.8205127470e+08 2SC 1 5.7794090840e-06
2.8440629471e+02 8.5321888412e+02 9.0947165779e+01 4.6098866825e+00 2.9741204403e+01 2.7688883301e+01 -4.3101311161e+01 1.3844441651e+01 1.5896762752e+01 6.0801055406e+05 2.5019772278e+05 8.3399240928e+04 7.0549796727e+07 1.4600150529e-02 -5.8225394721e+08 2SC 1 2.6910220522e-06
2.8533619456e+02 8.5600858369e+02 9.0238957093e+01 5.3024635313e+00 3.4209442137e+01 3.2974957424e+01 -4.4402725246e+01 1.6487478712e+01 1.7721963425e+01 8.7065570143e+05 3.0441548150e+05 1.0147182717e+05 8.5990099355e+07 1.4841638836e-02 -5.8251659236e+08 2SC 1 2.0467876641e-06
2.8626609442e+02 8.5879828326e+02 9.0238957093e+01 5.3024635313e+00 3.4209442137e+01 3.3393877585e+01 -4.3497969572e+01 1.6696938792e+01 1.7512503345e+01 1.1741623795e+06 4.0133203666e+05 1.3377734555e+05 1.1371359232e+08 1.2697364383e-02 -5.8282009903e+08 2SC 1 8.0164528500e-06
2.8719599428e+02 8.6158798283e+02 8.8878976422e+01 6.6241427662e+00 4.2736404944e+01 4.3078544618e+01 -4.7170863354e+01 2.1539272309e+01 2.1197132634e+01 1.6170529084e+06 5.0712317151e+05 1.6904105717e+05 1.4402669056e+08 1.6880890555e-02 -5.8326298956e+08 2SC 1 7.3726500915e-07
2.8812589413e+02 8.6437768240e+02 8.8316657390e+01 7.1706250927e+00 4.6262097372e+01 4.7280519448e+01 -4.8274669394e+01 2.3640259724e+01 2.2621837649e+01 2.1173099087e+06 5.9924917867e+05 1.9974972622e+05 1.7054189551e+08 2.1889623259e-02 -5.8376324656e+08 2SC 1 2.4540207598e-06
2.8905579399e+02 8.6716738197e+02 8.7077071407e+01 7.7816741518e+00 5.0204349367e+01 5.2966683957e+01 -4.8148287379e+01 2.6483341978e+01 2.3721007388e+01 2.7315363594e+06 6.8539950910e+05 2.2846650303e+05 1.9538716295e+08 2.1725498511e-02 -5.8437747301e+08 2SC 1 1.4615912994e-05
2.8998569385e+02 8.6995708155e+02 8.7077071407e+01 7.7816741518e+00 5.0204349367e+01 5.3489645064e+01 -4.7422448111e+01 2.6744822532e+01 2.3459526835e+01 3.3920157197e+06 8.1902821654e+05 2.7300940551e+05 2.3411444994e+08 1.5750466229e-02 -5.8503795237e+08 2SC 1 9.7556354161e-06
2.9091559371e+02 8.7274678112e+02 8.3808227168e+01 1.0059132355e+01 6.4897628095e+01 7.0210475731e+01 -5.2812343303e+01 3.5105237866e+01 2.9792390230e+01 4.2547648022e+06 1.0371677855e+06 3.4572259518e+05 2.9747351730e+08 2.1737919225e-02 -5.8590070146e+08 2SC 1 5.0482652491e-06
2.9184549356e+02 8.7553648069e+02 8.2972547095e+01 1.0053209447e+01 6.4859415786e+01 7.2366367052e+01 -5.0493139049e+01 3.6183183526e+01 2.8676232260e+01 5.3209400704e+06 1.1736720612e+06 3.9122402039e+05 3.3720996190e+08 2.5115028931e-02 -5.8696687672e+08 2SC 1 1.9474949618e-05
2.9277539342e+02 8.7832618026e+02 8.2972547095e+01 1.0053209447e+01 6.4859415786e+01 7.2935831868e+01 -4.9891518508e+01 3.6467915934e+01 2.8391499852e+01 6.4375597658e+06 1.3394354149e+06 4.4647847164e+05 3.8571617080e+08 2.1212457453e-02 -5.8808349642e+08 2SC 1 1.9570127104e-05
