# source=C  m_Δ=400
# integrator=rk4  rstep_km=0.01
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm3 radius_km mass_msun stable_flag
1.264458e-11 7.063189e+06 9.192665e-04 7.400000e-01 1.398211e-06 1.000000e+00
1.365614e-11 7.063334e+06 9.192853e-04 7.700000e-01 1.575262e-06 1.000000e+00
1.474864e-11 7.063490e+06 9.193056e-04 8.000000e-01 1.766665e-06 1.000000e+00
1.592853e-11 7.063658e+06 9.193275e-04 8.300000e-01 1.972980e-06 1.000000e+00
1.720281e-11 7.063840e+06 9.193512e-04 8.700000e-01 2.272213e-06 1.000000e+00
1.857903e-11 7.064037e+06 9.193768e-04 9.000000e-01 2.515499e-06 1.000000e+00
2.006536e-11 7.064249e+06 9.194045e-04 9.400000e-01 2.866053e-06 1.000000e+00
2.167058e-11 7.064479e+06 9.194343e-04 9.700000e-01 3.149363e-06 1.000000e+00
2.340423e-11 7.064726e+06 9.194665e-04 1.010000e+00 3.555307e-06 1.000000e+00
2.527657e-11 7.064994e+06 9.195013e-04 1.050000e+00 3.994728e-06 1.000000e+00
2.729870e-11 7.065283e+06 9.195389e-04 1.090000e+00 4.468955e-06 1.000000e+00
2.948259e-11 7.065595e+06 9.195796e-04 1.130000e+00 4.979321e-06 1.000000e+00
3.184120e-11 7.065932e+06 9.196234e-04 1.180000e+00 5.670056e-06 1.000000e+00
3.438849e-11 7.066296e+06 9.196708e-04 1.220000e+00 6.266592e-06 1.000000e+00
3.713957e-11 7.066689e+06 9.197219e-04 1.270000e+00 7.069227e-06 1.000000e+00
4.011074e-11 7.067113e+06 9.197772e-04 1.320000e+00 7.937666e-06 1.000000e+00
4.331960e-11 7.067572e+06 9.198369e-04 1.370000e+00 8.874510e-06 1.000000e+00
4.678517e-11 7.068067e+06 9.199013e-04 1.430000e+00 1.009255e-05 1.000000e+00
5.052798e-11 7.068602e+06 9.199709e-04 1.480000e+00 1.118904e-05 1.000000e+00
5.457022e-11 7.069179e+06 9.200461e-04 1.540000e+00 1.260617e-05 1.000000e+00
5.893584e-11 7.069803e+06 9.201273e-04 1.600000e+00 1.413826e-05 1.000000e+00
