# section=2
# run_id=D
# param_name=mdelta
# param_value=700
# m_delta_mev=700.0
# g_delta_factor=2.0000
# lambda_3_factor=1.0000
# lambda_delta_factor=0.2500
# t_loop4_factor=4.0
# include_omega_1_num=True
# mu_min_mev=250.0
# mu_max_mev=900.0
# num_raw_points=700
# omega_vac_mev4=-5.8164593665e+08
# branch=stable
# columns=mu_q_mev mu_B_mev phi_mev delta_mev gap_mev mu_e_mev mu_8_mev delta_mu_mev gap_minus_delta_mu_mev pressure_mev4 quark_density_mev3 baryon_density_mev3 energy_density_mev4 cs2 omega_min_mev4 phase success neutrality_residual_norm
2.5278969957e+02 7.5836909871e+02 9.2999999619e+01 2.9067322073e-08 1.8753111015e-07 5.1100000000e-01 0.0000000000e+00 2.5550000000e-01 -2.5549981247e-01 2.3841857910e-07 1.1276137783e-01 3.7587125943e-02 2.8504914586e+01 1.2267601825e-03 -5.8164593665e+08 normal 1 2.1739784200e-12
2.9370529328e+02 8.8111587983e+02 9.2939504967e+01 6.1316409017e-01 3.9558973559e+00 3.1535022941e+00 -1.2327068222e+01 1.5767511470e+00 2.3791462089e+00 2.3268513044e+03 5.6795238916e+03 1.8931746305e+03 1.6657793789e+06 1.5669964836e-03 -5.8164826351e+08 2SC 1 1.1865677066e-11
2.9463519313e+02 8.8390557940e+02 9.2913246609e+01 6.1549798408e-01 3.9709547360e+00 3.3259748229e+00 -1.0980437520e+01 1.6629874115e+00 2.3079673245e+00 1.0562776909e+04 1.9738215338e+04 6.5794051127e+03 5.8050101114e+06 2.4305185336e-03 -5.8165649943e+08 2SC 1 6.2558704444e-08
2.9556509299e+02 8.8669527897e+02 9.2519952022e+01 1.7184915251e+00 1.1087042097e+01 1.1705703633e+01 -1.6378799483e+01 5.8528518166e+00 5.2341902808e+00 3.9035978543e+04 4.8626388695e+04 1.6208796232e+04 1.4333227118e+07 5.3389635849e-03 -5.8168497263e+08 2SC 1 3.0320867157e-06
2.9649499285e+02 8.8948497854e+02 9.2393831740e+01 1.8069599913e+00 1.1657806395e+01 1.2882947707e+01 -1.5624182897e+01 6.4414738533e+00 5.2163325419e+00 1.0099812069e+05 7.7219013159e+04 2.5739671053e+04 2.2794052633e+07 1.1841893483e-02 -5.8174693477e+08 2SC 1 3.1760315831e-06
2.9742489270e+02 8.9227467811e+02 9.2244606726e+01 2.1182256831e+00 1.3665972149e+01 1.5720893428e+01 -1.6550260263e+01 7.8604467139e+00 5.8055254351e+00 1.8264787712e+05 9.5813290232e+04 3.1937763411e+04 2.8314609690e+07 1.2558309267e-02 -5.8182858453e+08 2SC 1 9.2339195808e-07
2.9835479256e+02 8.9506437768e+02 9.1987431173e+01 2.1123200697e+00 1.3627871417e+01 1.6591298942e+01 -1.4854134863e+01 8.2956494712e+00 5.3322219463e+00 2.7919165045e+05 1.5312445155e+05 5.1041483849e+04 4.5406222327e+07 7.8626479062e-03 -5.8192512830e+08 2SC 1 5.1692527039e-06
2.9928469242e+02 8.9785407725e+02 9.1217127018e+01 3.1316215369e+00 2.0204009916e+01 2.5372194959e+01 -1.9455476283e+01 1.2686097479e+01 7.5179124363e+00 4.6742868830e+05 2.1468012102e+05 7.1560040341e+04 6.3783045300e+07 1.2802426572e-02 -5.8211336534e+08 2SC 1 9.4626953546e-07
3.0021459227e+02 9.0064377682e+02 9.1017777084e+01 3.2802403827e+00 2.1162841179e+01 2.7287351933e+01 -1.9271347966e+01 1.3643675967e+01 7.5191652124e+00 6.7845367810e+05 2.6224585670e+05 8.7415285568e+04 7.8051579268e+07 1.6501833264e-02 -5.8232439033e+08 2SC 1 5.2467324584e-06
3.0114449213e+02 9.0343347639e+02 9.0296684143e+01 3.8437280115e+00 2.4798245236e+01 3.2850193460e+01 -2.0822053284e+01 1.6425096730e+01 8.3731485056e+00 9.5515345756e+05 3.1252329299e+05 1.0417443100e+05 9.3159514891e+07 1.5967151244e-02 -5.8260109011e+08 2SC 1 2.1498420338e-06
3.0207439199e+02 9.0622317597e+02 9.0235307128e+01 3.8411153254e+00 2.4781389196e+01 3.3592449650e+01 -2.0000597509e+01 1.6796224825e+01 7.9851643715e+00 1.2596844090e+06 3.9633558608e+05 1.3211186203e+05 1.1846314678e+08 1.3081962785e-02 -5.8290562106e+08 2SC 1 7.4608796315e-06
