# description=Truncated (no Omega_1_num): $m_\Delta = 700~\mathrm{MeV}$
# include_omega_1_num=False
# m_delta_mev=700.0
# g_delta_factor=2.0000
# lambda_3_factor=1.0000
# lambda_delta_factor=0.2500
# t_loop4_factor=4.0
# residual_cutoff_mev=3000.0
# mu_min_mev=0.0
# mu_max_mev=900.0
# num_points=5000
# columns=mu_q_mev phi_mev delta_mev gap_mev phase_2sc omega_min_mev4 pressure_mev4 n_q_mev3 energy_density_mev4 cs2 success
0.000e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.800e-01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
3.601e-01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
5.401e-01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
7.201e-01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
9.002e-01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.080e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.260e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.440e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.620e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.800e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.980e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
2.160e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
2.340e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
2.521e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
2.701e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
2.881e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
3.061e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
3.241e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
3.421e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
3.601e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
3.781e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
3.961e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
4.141e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
4.321e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
4.501e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
4.681e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
4.861e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
5.041e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
5.221e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
5.401e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
5.581e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
5.761e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
5.941e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
6.121e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
6.301e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
6.481e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
6.661e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
6.841e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
7.021e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
7.201e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
7.381e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
7.562e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
7.742e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
7.922e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
8.102e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
8.282e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
8.462e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
8.642e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
8.822e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
9.002e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
9.182e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
9.362e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
9.542e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
9.722e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
9.902e+00 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.008e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.026e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.044e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.062e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.080e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.098e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.116e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.134e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.152e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.170e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.188e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.206e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
1.224e+01 9.300e+01 0.000e+00 0.000e+00 0.000e+00 -5.816e+08 -0.000e+00 0.000e+00 0.000e+00 nan 1.000e+00
