# pipeline=simple
# diagnostic=speed_of_sound_squared
# definition=c_s^2=(dP/dmu_q)/(depsilon/dmu_q) on the P>=0 branch
# units=mu_q in MeV; c_s^2 dimensionless
# m_sigma_1_mev=500.000000
# m_sigma_2_mev=600.000000
# m_sigma_3_mev=700.000000
# columns=mu_q_mev_sigma_500 c_s2_sigma_500 mu_q_mev_sigma_600 c_s2_sigma_600 mu_q_mev_sigma_700 c_s2_sigma_700
2.882e+02 3.836e-03 2.995e+02 9.780e-04 1.817e+02 9.886e-04
2.957e+02 8.262e-02 3.008e+02 2.552e-03 3.008e+02 3.055e-03
2.970e+02 1.745e-01 3.020e+02 4.383e-03 3.020e+02 4.551e-03
2.982e+02 1.874e-01 3.033e+02 6.544e-03 3.033e+02 6.939e-03
2.995e+02 1.990e-01 3.045e+02 8.608e-03 3.045e+02 9.318e-03
3.008e+02 2.094e-01 3.058e+02 1.053e-02 3.058e+02 1.164e-02
3.020e+02 2.188e-01 3.070e+02 1.230e-02 3.070e+02 1.391e-02
3.033e+02 2.274e-01 3.083e+02 1.390e-02 3.083e+02 1.611e-02
3.045e+02 2.351e-01 3.095e+02 1.532e-02 3.095e+02 1.825e-02
3.058e+02 2.421e-01 3.108e+02 1.654e-02 3.108e+02 2.033e-02
3.070e+02 2.485e-01 3.120e+02 1.756e-02 3.120e+02 2.235e-02
3.083e+02 2.543e-01 3.133e+02 1.833e-02 3.133e+02 2.432e-02
3.095e+02 2.597e-01 3.145e+02 1.884e-02 3.145e+02 2.622e-02
3.108e+02 2.646e-01 3.158e+02 1.904e-02 3.158e+02 2.807e-02
3.120e+02 2.691e-01 3.170e+02 1.885e-02 3.170e+02 2.986e-02
3.133e+02 2.732e-01 3.183e+02 1.818e-02 3.183e+02 3.160e-02
3.145e+02 2.770e-01 3.195e+02 1.684e-02 3.195e+02 3.328e-02
3.158e+02 2.805e-01 3.208e+02 1.442e-02 3.208e+02 3.491e-02
3.170e+02 2.837e-01 3.221e+02 9.463e-03 3.221e+02 3.649e-02
3.183e+02 2.867e-01 3.233e+02 7.918e-03 3.233e+02 3.802e-02
3.195e+02 2.894e-01 3.246e+02 1.357e-02 3.246e+02 3.950e-02
3.208e+02 2.920e-01 3.258e+02 3.911e-02 3.258e+02 4.092e-02
3.221e+02 2.944e-01 3.271e+02 6.252e-02 3.271e+02 4.230e-02
3.233e+02 2.965e-01 3.283e+02 8.387e-02 3.283e+02 4.362e-02
3.246e+02 2.986e-01 3.296e+02 1.037e-01 3.296e+02 4.490e-02
3.258e+02 3.005e-01 3.308e+02 1.220e-01 3.308e+02 4.613e-02
3.271e+02 3.023e-01 3.321e+02 1.390e-01 3.321e+02 4.731e-02
3.283e+02 3.039e-01 3.333e+02 1.546e-01 3.333e+02 4.845e-02
3.296e+02 3.055e-01 3.346e+02 1.690e-01 3.346e+02 4.954e-02
3.308e+02 3.069e-01 3.358e+02 1.822e-01 3.358e+02 5.058e-02
3.321e+02 3.082e-01 3.371e+02 1.942e-01 3.371e+02 5.157e-02
3.333e+02 3.095e-01 3.383e+02 2.052e-01 3.383e+02 5.252e-02
3.346e+02 3.107e-01 3.396e+02 2.152e-01 3.396e+02 5.343e-02
3.358e+02 3.118e-01 3.409e+02 2.244e-01 3.409e+02 5.429e-02
3.371e+02 3.128e-01 3.421e+02 2.327e-01 3.421e+02 5.511e-02
3.383e+02 3.138e-01 3.434e+02 2.403e-01 3.434e+02 5.589e-02
3.396e+02 3.147e-01 3.446e+02 2.473e-01 3.446e+02 5.662e-02
3.409e+02 3.156e-01 3.459e+02 2.536e-01 3.459e+02 5.732e-02
3.421e+02 3.164e-01 3.471e+02 2.594e-01 3.471e+02 5.798e-02
3.434e+02 3.172e-01 3.484e+02 2.647e-01 3.484e+02 5.861e-02
3.446e+02 3.179e-01 3.496e+02 2.695e-01 3.496e+02 5.921e-02
3.459e+02 3.186e-01 3.509e+02 2.739e-01 3.509e+02 5.977e-02
3.471e+02 3.193e-01 3.521e+02 2.780e-01 3.521e+02 6.031e-02
3.484e+02 3.199e-01 3.534e+02 2.817e-01 3.534e+02 6.083e-02
3.496e+02 3.204e-01 3.546e+02 2.851e-01 3.546e+02 6.134e-02
3.509e+02 3.210e-01 3.559e+02 2.882e-01 3.559e+02 6.185e-02
3.521e+02 3.215e-01 3.571e+02 2.911e-01 3.571e+02 6.235e-02
3.534e+02 3.220e-01 3.584e+02 2.938e-01 3.584e+02 6.288e-02
3.546e+02 3.225e-01 3.596e+02 2.962e-01 3.596e+02 6.343e-02
3.559e+02 3.229e-01 3.609e+02 2.985e-01 3.609e+02 6.404e-02
3.571e+02 3.233e-01 3.622e+02 3.006e-01 3.622e+02 6.472e-02
3.584e+02 3.237e-01 3.634e+02 3.025e-01 3.634e+02 6.551e-02
3.596e+02 3.241e-01 3.647e+02 3.043e-01 3.647e+02 6.643e-02
3.609e+02 3.245e-01 3.659e+02 3.060e-01 3.659e+02 6.754e-02
3.622e+02 3.248e-01 3.672e+02 3.075e-01 3.672e+02 6.888e-02
3.634e+02 3.251e-01 3.684e+02 3.090e-01 3.684e+02 7.051e-02
3.647e+02 3.254e-01 3.697e+02 3.103e-01 3.697e+02 7.252e-02
3.659e+02 3.257e-01 3.709e+02 3.116e-01 3.709e+02 7.498e-02
3.672e+02 3.260e-01 3.722e+02 3.127e-01 3.722e+02 7.798e-02
