# pipeline=quark_stars
# construction=with_maxwell
# m_sigma_mev=400.000000
# units=chemical potentials and sigma in MeV; densities in fm^-3; pressure and energy density in GeV fm^-3
# B0_mev4=3.138943658406e+08
# B0_gev_fm3=4.085301464549e-02
# B_mev4=1.919841253022e+08
# B_gev_fm3=2.498652775009e-02
# B_1_4_mev=117.710805
# B_min_mev4=1.345975290658e+08
# B_min_gev_fm3=1.751772387328e-02
# B_min_1_4_mev=107.710805
# columns=mu_u_mev mu_d_mev mu_e_mev sigma_mev constituent_mass_mev n_u_fm-3 n_d_fm-3 n_e_fm-3 n_B_fm-3 pressure_gev_fm-3 energy_density_gev_fm-3
3.005e+02 3.011e+02 6.064e-01 9.284e+01 2.995e+02 2.041e-04 4.082e-04 1.529e-10 2.041e-04 -2.499e-02 2.517e-02
3.006e+02 3.015e+02 9.463e-01 9.268e+01 2.990e+02 3.984e-04 7.968e-04 2.221e-09 3.984e-04 -2.499e-02 2.535e-02
3.006e+02 3.018e+02 1.235e+00 9.253e+01 2.985e+02 5.944e-04 1.189e-03 6.245e-09 5.944e-04 -2.499e-02 2.552e-02
3.005e+02 3.020e+02 1.495e+00 9.238e+01 2.980e+02 7.919e-04 1.584e-03 1.219e-08 7.919e-04 -2.499e-02 2.570e-02
3.001e+02 3.025e+02 2.386e+00 9.176e+01 2.960e+02 1.598e-03 3.195e-03 5.567e-08 1.597e-03 -2.499e-02 2.643e-02
3.000e+02 3.026e+02 2.587e+00 9.161e+01 2.955e+02 1.803e-03 3.605e-03 7.168e-08 1.803e-03 -2.499e-02 2.662e-02
2.998e+02 3.026e+02 2.781e+00 9.145e+01 2.950e+02 2.009e-03 4.018e-03 8.983e-08 2.009e-03 -2.499e-02 2.680e-02
2.996e+02 3.026e+02 2.971e+00 9.130e+01 2.945e+02 2.217e-03 4.434e-03 1.102e-07 2.217e-03 -2.499e-02 2.699e-02
2.995e+02 3.026e+02 3.156e+00 9.115e+01 2.940e+02 2.427e-03 4.853e-03 1.328e-07 2.427e-03 -2.499e-02 2.718e-02
2.993e+02 3.026e+02 3.337e+00 9.099e+01 2.935e+02 2.638e-03 5.275e-03 1.576e-07 2.637e-03 -2.499e-02 2.737e-02
2.991e+02 3.026e+02 3.515e+00 9.084e+01 2.930e+02 2.850e-03 5.699e-03 1.848e-07 2.850e-03 -2.499e-02 2.756e-02
2.989e+02 3.026e+02 3.689e+00 9.069e+01 2.925e+02 3.063e-03 6.126e-03 2.144e-07 3.063e-03 -2.499e-02 2.776e-02
2.987e+02 3.026e+02 3.861e+00 9.053e+01 2.920e+02 3.278e-03 6.556e-03 2.465e-07 3.278e-03 -2.499e-02 2.795e-02
2.985e+02 3.026e+02 4.031e+00 9.038e+01 2.915e+02 3.495e-03 6.989e-03 2.810e-07 3.494e-03 -2.499e-02 2.815e-02
2.983e+02 3.025e+02 4.198e+00 9.022e+01 2.910e+02 3.712e-03 7.424e-03 3.181e-07 3.712e-03 -2.499e-02 2.834e-02
2.981e+02 3.025e+02 4.364e+00 9.007e+01 2.906e+02 3.932e-03 7.862e-03 3.577e-07 3.931e-03 -2.499e-02 2.854e-02
2.979e+02 3.025e+02 4.527e+00 8.992e+01 2.901e+02 4.152e-03 8.303e-03 4.000e-07 4.152e-03 -2.499e-02 2.874e-02
2.977e+02 3.024e+02 4.689e+00 8.976e+01 2.896e+02 4.374e-03 8.746e-03 4.450e-07 4.373e-03 -2.499e-02 2.894e-02
2.975e+02 3.024e+02 4.849e+00 8.961e+01 2.891e+02 4.597e-03 9.192e-03 4.928e-07 4.596e-03 -2.499e-02 2.914e-02
2.973e+02 3.023e+02 5.007e+00 8.946e+01 2.886e+02 4.821e-03 9.641e-03 5.433e-07 4.821e-03 -2.500e-02 2.934e-02
2.971e+02 3.022e+02 5.165e+00 8.930e+01 2.881e+02 5.047e-03 1.009e-02 5.967e-07 5.046e-03 -2.500e-02 2.955e-02
2.969e+02 3.022e+02 5.321e+00 8.915e+01 2.876e+02 5.274e-03 1.055e-02 6.530e-07 5.273e-03 -2.500e-02 2.975e-02
2.966e+02 3.021e+02 5.476e+00 8.899e+01 2.871e+02 5.502e-03 1.100e-02 7.123e-07 5.501e-03 -2.500e-02 2.996e-02
2.964e+02 3.021e+02 5.630e+00 8.884e+01 2.866e+02 5.732e-03 1.146e-02 7.746e-07 5.731e-03 -2.500e-02 3.016e-02
2.962e+02 3.020e+02 5.782e+00 8.869e+01 2.861e+02 5.962e-03 1.192e-02 8.399e-07 5.961e-03 -2.501e-02 3.037e-02
2.960e+02 3.019e+02 5.934e+00 8.853e+01 2.856e+02 6.194e-03 1.239e-02 9.084e-07 6.193e-03 -2.501e-02 3.058e-02
2.958e+02 3.018e+02 6.085e+00 8.838e+01 2.851e+02 6.428e-03 1.285e-02 9.801e-07 6.427e-03 -2.501e-02 3.079e-02
2.955e+02 3.018e+02 6.235e+00 8.823e+01 2.846e+02 6.662e-03 1.332e-02 1.055e-06 6.661e-03 -2.501e-02 3.100e-02
2.953e+02 3.017e+02 6.385e+00 8.807e+01 2.841e+02 6.898e-03 1.379e-02 1.133e-06 6.897e-03 -2.502e-02 3.121e-02
2.951e+02 3.016e+02 6.534e+00 8.792e+01 2.836e+02 7.135e-03 1.427e-02 1.215e-06 7.134e-03 -2.502e-02 3.143e-02
2.949e+02 3.015e+02 6.681e+00 8.777e+01 2.831e+02 7.373e-03 1.474e-02 1.300e-06 7.372e-03 -2.502e-02 3.164e-02
2.946e+02 3.015e+02 6.829e+00 8.761e+01 2.826e+02 7.613e-03 1.522e-02 1.388e-06 7.611e-03 -2.502e-02 3.186e-02
2.944e+02 3.014e+02 6.975e+00 8.746e+01 2.821e+02 7.853e-03 1.570e-02 1.480e-06 7.852e-03 -2.503e-02 3.207e-02
2.942e+02 3.013e+02 7.122e+00 8.730e+01 2.816e+02 8.095e-03 1.619e-02 1.575e-06 8.094e-03 -2.503e-02 3.229e-02
2.939e+02 3.012e+02 7.267e+00 8.715e+01 2.811e+02 8.338e-03 1.667e-02 1.674e-06 8.336e-03 -2.503e-02 3.251e-02
2.937e+02 3.011e+02 7.412e+00 8.700e+01 2.806e+02 8.582e-03 1.716e-02 1.777e-06 8.581e-03 -2.504e-02 3.272e-02
2.935e+02 3.010e+02 7.557e+00 8.684e+01 2.801e+02 8.828e-03 1.765e-02 1.884e-06 8.826e-03 -2.504e-02 3.294e-02
2.932e+02 3.009e+02 7.701e+00 8.669e+01 2.796e+02 9.074e-03 1.814e-02 1.994e-06 9.072e-03 -2.504e-02 3.316e-02
2.930e+02 3.009e+02 7.844e+00 8.654e+01 2.791e+02 9.322e-03 1.864e-02 2.108e-06 9.320e-03 -2.505e-02 3.339e-02
2.928e+02 3.008e+02 7.987e+00 8.638e+01 2.787e+02 9.571e-03 1.913e-02 2.226e-06 9.569e-03 -2.505e-02 3.361e-02
2.926e+02 3.007e+02 8.130e+00 8.623e+01 2.782e+02 9.821e-03 1.963e-02 2.348e-06 9.818e-03 -2.506e-02 3.383e-02
2.923e+02 3.006e+02 8.273e+00 8.607e+01 2.777e+02 1.007e-02 2.014e-02 2.474e-06 1.007e-02 -2.506e-02 3.406e-02
2.921e+02 3.005e+02 8.415e+00 8.592e+01 2.772e+02 1.032e-02 2.064e-02 2.604e-06 1.032e-02 -2.506e-02 3.428e-02
2.919e+02 3.004e+02 8.556e+00 8.577e+01 2.767e+02 1.058e-02 2.115e-02 2.739e-06 1.057e-02 -2.507e-02 3.451e-02
2.916e+02 3.003e+02 8.697e+00 8.561e+01 2.762e+02 1.083e-02 2.166e-02 2.877e-06 1.083e-02 -2.507e-02 3.473e-02
2.914e+02 3.002e+02 8.838e+00 8.546e+01 2.757e+02 1.109e-02 2.217e-02 3.020e-06 1.108e-02 -2.508e-02 3.496e-02
2.912e+02 3.001e+02 8.979e+00 8.531e+01 2.752e+02 1.134e-02 2.268e-02 3.167e-06 1.134e-02 -2.508e-02 3.519e-02
2.909e+02 3.000e+02 9.120e+00 8.515e+01 2.747e+02 1.160e-02 2.319e-02 3.318e-06 1.160e-02 -2.509e-02 3.542e-02
2.907e+02 2.999e+02 9.260e+00 8.500e+01 2.742e+02 1.186e-02 2.371e-02 3.474e-06 1.186e-02 -2.509e-02 3.565e-02
