# pipeline=quark_stars
# product=mass_radius
# m_sigma_mev=500.000000
# units=central pressure is npemu-dimensionless; central energy density in MeV^4/GeV fm^-3; radius in km; mass in Msun
# B0_mev4=4.033789244638e+08
# B0_gev_fm3=5.249933385925e-02
# B_mev4=8.023843572605e+07
# B_gev_fm3=1.044294624744e-02
# B_1_4_mev=94.644551
# B_min_mev4=5.133292528459e+07
# B_min_gev_fm3=6.680925103039e-03
# B_min_1_4_mev=84.644551
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm-3 radius_km mass_msun stable_flag
1.902e-06 1.768e+09 2.301e-01 1.150e+00 1.311e-03 1.000e+00
2.054e-06 1.769e+09 2.302e-01 1.190e+00 1.453e-03 1.000e+00
2.218e-06 1.769e+09 2.302e-01 1.240e+00 1.644e-03 1.000e+00
2.396e-06 1.770e+09 2.303e-01 1.290e+00 1.851e-03 1.000e+00
2.588e-06 1.770e+09 2.304e-01 1.340e+00 2.075e-03 1.000e+00
2.795e-06 1.771e+09 2.305e-01 1.390e+00 2.317e-03 1.000e+00
3.018e-06 1.772e+09 2.306e-01 1.440e+00 2.576e-03 1.000e+00
3.260e-06 1.772e+09 2.307e-01 1.500e+00 2.912e-03 1.000e+00
3.520e-06 1.773e+09 2.308e-01 1.560e+00 3.277e-03 1.000e+00
3.802e-06 1.774e+09 2.309e-01 1.620e+00 3.670e-03 1.000e+00
4.106e-06 1.775e+09 2.310e-01 1.680e+00 4.094e-03 1.000e+00
4.435e-06 1.776e+09 2.311e-01 1.740e+00 4.550e-03 1.000e+00
4.790e-06 1.777e+09 2.313e-01 1.810e+00 5.123e-03 1.000e+00
5.173e-06 1.778e+09 2.314e-01 1.880e+00 5.742e-03 1.000e+00
5.587e-06 1.779e+09 2.316e-01 1.950e+00 6.409e-03 1.000e+00
6.033e-06 1.781e+09 2.318e-01 2.030e+00 7.233e-03 1.000e+00
6.516e-06 1.782e+09 2.320e-01 2.100e+00 8.010e-03 1.000e+00
7.037e-06 1.784e+09 2.322e-01 2.180e+00 8.964e-03 1.000e+00
7.600e-06 1.786e+09 2.324e-01 2.270e+00 1.012e-02 1.000e+00
8.208e-06 1.787e+09 2.326e-01 2.350e+00 1.124e-02 1.000e+00
8.865e-06 1.789e+09 2.329e-01 2.440e+00 1.258e-02 1.000e+00
9.574e-06 1.792e+09 2.332e-01 2.540e+00 1.420e-02 1.000e+00
1.034e-05 1.794e+09 2.335e-01 2.630e+00 1.578e-02 1.000e+00
1.117e-05 1.796e+09 2.338e-01 2.730e+00 1.765e-02 1.000e+00
1.206e-05 1.799e+09 2.342e-01 2.830e+00 1.968e-02 1.000e+00
1.303e-05 1.802e+09 2.345e-01 2.940e+00 2.208e-02 1.000e+00
1.407e-05 1.805e+09 2.349e-01 3.050e+00 2.466e-02 1.000e+00
1.519e-05 1.809e+09 2.354e-01 3.160e+00 2.745e-02 1.000e+00
1.641e-05 1.812e+09 2.359e-01 3.280e+00 3.072e-02 1.000e+00
1.772e-05 1.816e+09 2.364e-01 3.400e+00 3.425e-02 1.000e+00
1.914e-05 1.820e+09 2.369e-01 3.520e+00 3.804e-02 1.000e+00
2.067e-05 1.825e+09 2.375e-01 3.650e+00 4.246e-02 1.000e+00
2.232e-05 1.830e+09 2.381e-01 3.780e+00 4.721e-02 1.000e+00
2.411e-05 1.835e+09 2.388e-01 3.920e+00 5.271e-02 1.000e+00
2.604e-05 1.841e+09 2.396e-01 4.050e+00 5.821e-02 1.000e+00
2.812e-05 1.847e+09 2.404e-01 4.200e+00 6.501e-02 1.000e+00
3.037e-05 1.853e+09 2.412e-01 4.350e+00 7.232e-02 1.000e+00
3.280e-05 1.860e+09 2.421e-01 4.500e+00 8.019e-02 1.000e+00
3.543e-05 1.868e+09 2.431e-01 4.650e+00 8.864e-02 1.000e+00
3.826e-05 1.876e+09 2.442e-01 4.810e+00 9.828e-02 1.000e+00
4.132e-05 1.885e+09 2.453e-01 4.970e+00 1.086e-01 1.000e+00
4.463e-05 1.894e+09 2.466e-01 5.140e+00 1.204e-01 1.000e+00
4.820e-05 1.905e+09 2.479e-01 5.310e+00 1.330e-01 1.000e+00
5.205e-05 1.915e+09 2.493e-01 5.480e+00 1.466e-01 1.000e+00
5.622e-05 1.927e+09 2.508e-01 5.660e+00 1.619e-01 1.000e+00
6.071e-05 1.940e+09 2.525e-01 5.840e+00 1.783e-01 1.000e+00
6.557e-05 1.953e+09 2.542e-01 6.020e+00 1.959e-01 1.000e+00
7.082e-05 1.968e+09 2.561e-01 6.210e+00 2.157e-01 1.000e+00
7.648e-05 1.983e+09 2.581e-01 6.400e+00 2.368e-01 1.000e+00
8.260e-05 2.000e+09 2.603e-01 6.590e+00 2.595e-01 1.000e+00
8.921e-05 2.018e+09 2.626e-01 6.780e+00 2.836e-01 1.000e+00
9.634e-05 2.037e+09 2.651e-01 6.970e+00 3.094e-01 1.000e+00
1.041e-04 2.058e+09 2.678e-01 7.170e+00 3.382e-01 1.000e+00
1.124e-04 2.080e+09 2.707e-01 7.360e+00 3.674e-01 1.000e+00
1.214e-04 2.104e+09 2.738e-01 7.560e+00 4.000e-01 1.000e+00
1.311e-04 2.129e+09 2.771e-01 7.750e+00 4.332e-01 1.000e+00
1.416e-04 2.157e+09 2.807e-01 7.950e+00 4.700e-01 1.000e+00
1.529e-04 2.186e+09 2.845e-01 8.140e+00 5.074e-01 1.000e+00
1.651e-04 2.217e+09 2.886e-01 8.330e+00 5.471e-01 1.000e+00
1.783e-04 2.251e+09 2.930e-01 8.520e+00 5.890e-01 1.000e+00
1.926e-04 2.288e+09 2.977e-01 8.710e+00 6.334e-01 1.000e+00
2.080e-04 2.327e+09 3.028e-01 8.890e+00 6.783e-01 1.000e+00
2.246e-04 2.368e+09 3.082e-01 9.070e+00 7.257e-01 1.000e+00
2.426e-04 2.413e+09 3.141e-01 9.240e+00 7.734e-01 1.000e+00
2.620e-04 2.462e+09 3.204e-01 9.410e+00 8.235e-01 1.000e+00
2.830e-04 2.514e+09 3.271e-01 9.580e+00 8.762e-01 1.000e+00
3.056e-04 2.569e+09 3.344e-01 9.730e+00 9.267e-01 1.000e+00
3.301e-04 2.629e+09 3.422e-01 9.880e+00 9.795e-01 1.000e+00
3.565e-04 2.694e+09 3.506e-01 1.003e+01 1.035e+00 1.000e+00
3.850e-04 2.763e+09 3.596e-01 1.017e+01 1.090e+00 1.000e+00
4.158e-04 2.838e+09 3.694e-01 1.029e+01 1.141e+00 1.000e+00
4.491e-04 2.918e+09 3.798e-01 1.041e+01 1.195e+00 1.000e+00
4.850e-04 3.005e+09 3.911e-01 1.053e+01 1.251e+00 1.000e+00
5.238e-04 3.098e+09 4.032e-01 1.063e+01 1.303e+00 1.000e+00
5.657e-04 3.198e+09 4.162e-01 1.072e+01 1.354e+00 1.000e+00
6.109e-04 3.306e+09 4.303e-01 1.081e+01 1.406e+00 1.000e+00
6.598e-04 3.422e+09 4.454e-01 1.088e+01 1.454e+00 1.000e+00
7.126e-04 3.548e+09 4.617e-01 1.095e+01 1.503e+00 1.000e+00
7.696e-04 3.683e+09 4.793e-01 1.101e+01 1.549e+00 1.000e+00
8.312e-04 3.829e+09 4.983e-01 1.105e+01 1.591e+00 1.000e+00
