# pipeline=quark_stars
# product=mass_radius
# m_sigma_mev=600.000000
# units=central pressure is npemu-dimensionless; central energy density in MeV^4/GeV fm^-3; radius in km; mass in Msun
# B0_mev4=5.806289137042e+08
# B0_gev_fm3=7.556822962283e-02
# B_mev4=0.000000000000e+00
# B_gev_fm3=0.000000000000e+00
# B_1_4_mev=0.000000
# columns=Pc_dimless epsilon_c_mev4 epsilon_c_gev_fm-3 radius_km mass_msun stable_flag
2.463e-08 5.234e+06 6.812e-04 4.360e+00 2.112e-04 1.000e+00
2.660e-08 5.479e+06 7.131e-04 1.277e+01 5.405e-03 1.000e+00
2.873e-08 5.741e+06 7.472e-04 1.738e+01 1.388e-02 1.000e+00
3.103e-08 6.020e+06 7.836e-04 2.087e+01 2.450e-02 1.000e+00
3.351e-08 6.317e+06 8.222e-04 2.375e+01 3.681e-02 1.000e+00
3.619e-08 6.633e+06 8.633e-04 2.620e+01 5.041e-02 1.000e+00
3.909e-08 6.968e+06 9.068e-04 2.835e+01 6.516e-02 1.000e+00
4.221e-08 7.323e+06 9.531e-04 3.025e+01 8.078e-02 1.000e+00
4.559e-08 7.699e+06 1.002e-03 3.196e+01 9.725e-02 1.000e+00
4.924e-08 8.096e+06 1.054e-03 3.349e+01 1.143e-01 1.000e+00
5.318e-08 8.516e+06 1.108e-03 3.489e+01 1.319e-01 1.000e+00
5.743e-08 8.959e+06 1.166e-03 3.615e+01 1.499e-01 1.000e+00
6.203e-08 9.425e+06 1.227e-03 3.731e+01 1.684e-01 1.000e+00
6.699e-08 9.915e+06 1.290e-03 3.837e+01 1.873e-01 1.000e+00
7.235e-08 1.043e+07 1.357e-03 3.934e+01 2.063e-01 1.000e+00
7.813e-08 1.097e+07 1.428e-03 4.024e+01 2.258e-01 1.000e+00
8.439e-08 1.154e+07 1.501e-03 4.106e+01 2.453e-01 1.000e+00
9.114e-08 1.213e+07 1.578e-03 4.182e+01 2.652e-01 1.000e+00
9.843e-08 1.275e+07 1.659e-03 4.251e+01 2.850e-01 1.000e+00
1.063e-07 1.340e+07 1.744e-03 4.316e+01 3.053e-01 1.000e+00
1.148e-07 1.408e+07 1.832e-03 4.375e+01 3.255e-01 1.000e+00
1.240e-07 1.480e+07 1.926e-03 4.429e+01 3.458e-01 1.000e+00
1.339e-07 1.555e+07 2.024e-03 4.479e+01 3.663e-01 1.000e+00
1.446e-07 1.635e+07 2.128e-03 4.525e+01 3.869e-01 1.000e+00
1.562e-07 1.720e+07 2.239e-03 4.567e+01 4.075e-01 1.000e+00
1.687e-07 1.810e+07 2.355e-03 4.605e+01 4.281e-01 1.000e+00
1.822e-07 1.904e+07 2.478e-03 4.639e+01 4.486e-01 1.000e+00
1.968e-07 2.004e+07 2.608e-03 4.670e+01 4.691e-01 1.000e+00
2.125e-07 2.109e+07 2.745e-03 4.697e+01 4.893e-01 1.000e+00
2.295e-07 2.220e+07 2.889e-03 4.721e+01 5.096e-01 1.000e+00
2.479e-07 2.336e+07 3.040e-03 4.742e+01 5.297e-01 1.000e+00
2.677e-07 2.459e+07 3.201e-03 4.760e+01 5.496e-01 1.000e+00
